imu_t vicon_t roll pitch yaw
0.008529 1329939177.154005 0 -1 0
0.008529 1329939177.324097 0 -1 0
0.008529 1329939177.359255 0 -1 0
0.008529 1329939177.367265 0 -1 0
0.008529 1329939177.375416 0 -1 0
0.008529 1329939177.383977 0 -1 0
0.008529 1329939177.392191 0 -1 0
0.008529 1329939177.400559 0 -1 0
0.008529 1329939177.408567 0 -1 0
0.008529 1329939177.417264 0 -1 0
0.008529 1329939177.436152 0 -1 0
0.008529 1329939177.442274 0 -1 0
0.008529 1329939177.450368 0 -1 0
0.008529 1329939177.458827 0 -1 0
0.008529 1329939177.467077 0 -1 0
0.008529 1329939177.477481 0 -1 0
0.008529 1329939177.491820 0 -1 0
0.008529 1329939177.506589 0 -1 0
0.008529 1329939177.546442 0 -1 0
0.008529 1329939177.560360 0 -1 0
0.008529 1329939177.566538 0 -1 0
0.008529 1329939177.574956 0 -1 0
0.008529 1329939177.583427 0 -1 0
0.008529 1329939177.591944 0 -1 0
0.008529 1329939177.599868 0 -1 0
0.008529 1329939177.608435 0 -1 0
0.008529 1329939177.616550 0 -1 0
0.008529 1329939177.625092 0 -1 0
0.008529 1329939177.633305 0 -1 0
0.008529 1329939177.641678 0 -1 0
0.008529 1329939177.649899 0 -1 0
0.008529 1329939177.658287 0 -1 0
0.008529 1329939177.666462 0 -1 0
0.008529 1329939177.674776 0 -1 0
0.008529 1329939177.683301 0 -1 0
0.008529 1329939177.701141 0 -1 0
0.008529 1329939177.708024 0 -1 0
0.008529 1329939177.716442 0 -1 0
0.008529 1329939177.724552 0 -1 0
0.008529 1329939177.732857 0 -1 0
0.008529 1329939177.833213 0 -1 0
0.008529 1329939177.843620 0 -1 0
0.008529 1329939177.849199 0 -1 0
0.008529 1329939177.857503 0 -1 0
0.008529 1329939177.865737 0 -1 0
0.008529 1329939177.874008 0 -1 0
0.008529 1329939177.882375 0 -1 0
0.008529 1329939177.890601 0 -1 0
0.008529 1329939177.899271 0 -1 0
0.008529 1329939177.907341 0 -1 0
0.008529 1329939177.918622 0 -1 0
0.008529 1329939177.923919 0 -1 0
0.008529 1329939177.943932 0 -1 0
0.008529 1329939177.949093 0 -1 0
0.008529 1329939177.961573 0 -1 0
0.008529 1329939177.995722 0 -1 0
0.008529 1329939178.053753 0 -1 0
0.008529 1329939178.057431 0 -1 0
0.008529 1329939178.065366 0 -1 0
0.008529 1329939178.073714 0 -1 0
0.008529 1329939178.083909 0 -1 0
0.008529 1329939178.090348 0 -1 0
0.008529 1329939178.100880 0 -1 0
0.008529 1329939178.107280 0 -1 0
0.008529 1329939178.117608 0 -1 0
0.008529 1329939178.131422 0 -1 0
0.008529 1329939178.153534 0 -1 0
0.008529 1329939178.157317 0 -1 0
0.062712 1329939178.165342 0 -1 0
0.062712 1329939178.174180 0 -1 0
0.062712 1329939178.181835 0 -1 0
0.062712 1329939178.190329 0 -3 -1
0.062712 1329939178.199057 0 -3 -1
0.104670 1329939178.216128 0 -3 -1
0.104670 1329939178.223819 0 -3 -1
0.146183 1329939178.232340 0 -3 -1
0.146183 1329939178.240298 0 -3 -1
0.179931 1329939178.249226 0 -3 -1
0.179931 1329939178.257411 0 -3 -1
0.233939 1329939178.266634 0 -3 -1
0.233939 1329939178.273612 0 -3 -1
0.262275 1329939178.281858 0 -3 -1
0.262275 1329939178.290401 0 -3 -1
0.303874 1329939178.299223 0 -3 -1
0.303874 1329939178.307395 0 -3 -1
0.345635 1329939178.315499 0 -3 -1
0.345635 1329939178.323824 0 -3 -1
0.388459 1329939178.331970 0 -3 -1
0.388459 1329939178.340507 0 -3 -1
0.420178 1329939178.349715 0 -3 -1
0.420178 1329939178.357032 0 -3 -1
0.521092 1329939178.365600 0 -3 -1
0.521092 1329939178.373935 0 -3 -1
0.521092 1329939178.382157 0 -3 -1
0.521092 1329939178.390426 0 -3 -1
0.540313 1329939178.404269 0 -3 -1
0.540313 1329939178.406827 0 -3 -1
0.593498 1329939178.415349 0 -3 -1
0.593498 1329939178.423916 0 -3 -1
0.631972 1329939178.432070 0 -3 -1
0.631972 1329939178.440253 0 -3 -1
0.673266 1329939178.448512 0 -3 -1
0.673266 1329939178.457177 0 -3 -1
0.742594 1329939178.465080 0 -3 -1
0.742594 1329939178.473736 0 -3 -1
0.742594 1329939178.482252 0 -3 -1
0.742594 1329939178.490117 0 -3 -1
0.788840 1329939178.503164 0 -3 -1
0.788840 1329939178.508401 0 -3 -1
0.818802 1329939178.515205 0 -3 -1
