imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.008529 1329939177.154005 507 502 606 374 376 370
0.008529 1329939177.324097 507 502 605 374 376 370
0.008529 1329939177.359255 507 502 605 374 377 370
0.008529 1329939177.367265 507 502 605 373 376 370
0.008529 1329939177.375416 508 502 606 374 376 370
0.008529 1329939177.383977 507 502 605 374 375 370
0.008529 1329939177.392191 507 502 605 374 376 371
0.008529 1329939177.400559 508 502 606 375 375 370
0.008529 1329939177.408567 508 502 605 374 376 370
0.008529 1329939177.417264 508 502 605 374 377 370
0.008529 1329939177.436152 507 502 605 374 376 370
0.008529 1329939177.442274 507 502 605 374 376 370
0.008529 1329939177.450368 508 502 605 375 376 370
0.008529 1329939177.458827 508 502 606 374 375 370
0.008529 1329939177.467077 507 502 605 374 375 370
0.008529 1329939177.477481 507 502 606 374 375 370
0.008529 1329939177.491820 508 502 605 373 376 370
0.008529 1329939177.506589 508 502 605 373 376 370
0.008529 1329939177.546442 508 502 605 375 376 371
0.008529 1329939177.560360 508 502 606 374 376 372
0.008529 1329939177.566538 508 502 606 374 376 370
0.008529 1329939177.574956 508 502 606 374 376 369
0.008529 1329939177.583427 508 502 605 375 377 370
0.008529 1329939177.591944 508 502 605 374 376 369
0.008529 1329939177.599868 508 502 605 375 377 371
0.008529 1329939177.608435 507 502 605 374 377 370
0.008529 1329939177.616550 507 502 606 374 376 370
0.008529 1329939177.625092 507 502 605 375 376 371
0.008529 1329939177.633305 507 502 606 374 377 371
0.008529 1329939177.641678 507 502 605 374 376 370
0.008529 1329939177.649899 508 502 606 374 376 370
0.008529 1329939177.658287 507 502 605 374 375 369
0.008529 1329939177.666462 507 502 605 374 376 372
0.008529 1329939177.674776 508 502 606 374 376 369
0.008529 1329939177.683301 507 502 605 375 376 371
0.008529 1329939177.701141 508 502 606 374 376 371
0.008529 1329939177.708024 508 502 605 374 376 370
0.008529 1329939177.716442 507 502 605 375 375 371
0.008529 1329939177.724552 507 502 605 374 377 369
0.008529 1329939177.732857 508 502 606 374 376 370
0.008529 1329939177.833213 507 502 606 374 377 370
0.008529 1329939177.843620 507 502 606 373 377 371
0.008529 1329939177.849199 508 502 606 374 377 371
0.008529 1329939177.857503 507 502 605 373 376 370
0.008529 1329939177.865737 507 502 605 375 376 370
0.008529 1329939177.874008 508 502 605 375 376 370
0.008529 1329939177.882375 507 502 605 375 377 370
0.008529 1329939177.890601 507 502 605 375 376 371
0.008529 1329939177.899271 508 502 606 375 376 369
0.008529 1329939177.907341 507 502 605 374 377 370
0.008529 1329939177.918622 507 502 605 374 375 370
0.008529 1329939177.923919 507 502 605 374 376 371
0.008529 1329939177.943932 507 502 606 374 376 370
0.008529 1329939177.949093 507 502 605 374 376 370
0.008529 1329939177.961573 507 502 605 374 377 371
0.008529 1329939177.995722 507 502 605 373 375 370
0.008529 1329939178.053753 507 502 605 375 377 370
0.008529 1329939178.057431 507 502 605 374 375 370
0.008529 1329939178.065366 508 502 605 375 375 370
0.008529 1329939178.073714 507 502 606 374 375 370
0.008529 1329939178.083909 507 502 605 373 376 371
0.008529 1329939178.090348 508 502 605 375 377 370
0.008529 1329939178.100880 508 502 606 375 376 370
0.008529 1329939178.107280 508 502 605 374 376 370
0.008529 1329939178.117608 508 502 605 375 376 370
0.008529 1329939178.131422 508 502 606 374 376 369
0.008529 1329939178.153534 507 502 605 374 377 370
0.008529 1329939178.157317 507 502 605 375 377 370
0.062712 1329939178.165342 508 502 606 375 375 371
0.062712 1329939178.174180 508 502 605 375 376 371
0.062712 1329939178.181835 508 502 605 374 376 371
0.062712 1329939178.190329 505 502 606 374 376 370
0.104670 1329939178.199057 504 502 605 374 377 370
0.146183 1329939178.216128 504 503 605 374 376 370
0.146183 1329939178.223819 504 502 605 375 376 370
0.179931 1329939178.232340 504 502 605 375 376 371
0.179931 1329939178.240298 504 502 605 374 376 370
0.233939 1329939178.249226 504 502 605 375 376 370
0.233939 1329939178.257411 504 502 605 374 375 371
0.262275 1329939178.266634 504 503 605 375 377 370
0.262275 1329939178.273612 504 502 605 375 376 370
0.303874 1329939178.281858 504 502 605 375 376 371
0.303874 1329939178.290401 504 503 605 375 376 370
0.345635 1329939178.299223 504 502 605 374 375 371
0.345635 1329939178.307395 505 502 605 374 376 370
