vicon_t u v w x y z
1329939177.154005 -0.012687 -0.051351 0.013760 973.047791 499.547058 765.157227
1329939177.324097 -0.012544 -0.051231 0.013662 973.027405 499.510284 765.066650
1329939177.359255 -0.012436 -0.051305 0.013740 973.056274 499.461609 765.027893
1329939177.367265 -0.012466 -0.051310 0.013725 973.052979 499.460724 765.021729
1329939177.375416 -0.012467 -0.051336 0.013717 973.047302 499.456268 765.022583
1329939177.383977 -0.012421 -0.051290 0.013716 973.045227 499.460510 765.018066
1329939177.392191 -0.012405 -0.051301 0.013710 973.035645 499.463898 765.029541
1329939177.400559 -0.012457 -0.051297 0.013675 973.034485 499.468597 765.039429
1329939177.408567 -0.012462 -0.051353 0.013723 973.035339 499.469910 765.043457
1329939177.417264 -0.012548 -0.051392 0.013732 973.029724 499.466797 765.054443
1329939177.436152 -0.012524 -0.051404 0.013719 973.031067 499.479492 765.036011
1329939177.442274 -0.012508 -0.051386 0.013716 973.052612 499.476135 765.025635
1329939177.450368 -0.012566 -0.051387 0.013729 973.064453 499.475220 765.022644
1329939177.458827 -0.012483 -0.051319 0.013724 973.064453 499.470795 765.013062
1329939177.467077 -0.012506 -0.051339 0.013707 973.058655 499.468567 765.019470
1329939177.477481 -0.012496 -0.051298 0.013702 973.051147 499.467529 765.024170
1329939177.491820 -0.012487 -0.051339 0.013719 973.059082 499.468750 765.039917
1329939177.506589 -0.012490 -0.051256 0.013725 973.047974 499.475433 765.056763
1329939177.546442 -0.012554 -0.051254 0.013719 973.036926 499.488525 765.070496
1329939177.560360 -0.012601 -0.050845 0.013508 973.038513 499.579926 765.146240
1329939177.566538 -0.012156 -0.051587 0.013336 972.969482 499.518250 764.965454
1329939177.574956 -0.012192 -0.051690 0.013303 972.966492 499.512512 765.048096
1329939177.583427 -0.012139 -0.051686 0.013390 972.973083 499.495178 765.044556
1329939177.591944 -0.012123 -0.051672 0.013345 972.951965 499.497406 765.047424
1329939177.599868 -0.012143 -0.051699 0.013362 972.955811 499.490479 765.047119
1329939177.608435 -0.012064 -0.051632 0.013384 972.948975 499.499329 765.051392
1329939177.616550 -0.012126 -0.051717 0.013406 972.949951 499.501892 765.061768
1329939177.625092 -0.012109 -0.051624 0.013451 972.946777 499.514313 765.069885
1329939177.633305 -0.012185 -0.051659 0.013442 972.946106 499.522278 765.082886
1329939177.641678 -0.012221 -0.051634 0.013369 972.939697 499.535370 765.089539
1329939177.649899 -0.012240 -0.051693 0.013407 972.946594 499.526642 765.086487
1329939177.658287 -0.012218 -0.051683 0.013390 972.936157 499.531067 765.079834
1329939177.666462 -0.012290 -0.051761 0.013323 972.929810 499.530670 765.075317
1329939177.674776 -0.012273 -0.051680 0.013312 972.932678 499.536835 765.065613
1329939177.683301 -0.012226 -0.051664 0.013301 972.928833 499.531006 765.063538
1329939177.701141 -0.012255 -0.051697 0.013336 972.938293 499.531799 765.077576
1329939177.708024 -0.012151 -0.051634 0.013423 972.937500 499.528778 765.085266
1329939177.716442 -0.012231 -0.051569 0.013466 972.932922 499.522156 765.116821
1329939177.724552 -0.012124 -0.051554 0.013469 972.927490 499.524048 765.091003
1329939177.732857 -0.012189 -0.051629 0.013507 972.934082 499.510681 765.106140
1329939177.833213 -0.012141 -0.051659 0.013454 972.921387 499.509949 765.083313
1329939177.843620 -0.012422 -0.051689 0.013523 972.926697 499.478455 765.076782
1329939177.849199 -0.012321 -0.051578 0.013520 972.919312 499.480316 765.073853
1329939177.857503 -0.012253 -0.051425 0.013469 972.910034 499.480103 765.096130
