imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.386448 1329939828.300570 506 503 606 374 376 370
0.386448 1329939828.432065 506 503 605 374 375 370
0.386448 1329939828.440484 506 503 605 375 376 370
0.386448 1329939828.448844 506 503 606 374 377 370
0.386448 1329939828.457128 506 503 606 374 377 370
0.386448 1329939828.465427 506 503 605 375 375 370
0.452334 1329939828.473378 507 503 605 374 376 371
0.452334 1329939828.482141 506 503 606 374 376 370
0.452334 1329939828.500583 506 503 606 375 376 369
0.452334 1329939828.507505 507 503 605 374 376 371
0.452334 1329939828.515550 506 503 605 373 376 370
0.452334 1329939828.523882 507 503 604 374 376 370
0.500965 1329939828.531665 506 502 607 374 377 370
0.500965 1329939828.540365 507 503 605 375 376 370
0.500965 1329939828.553334 506 502 605 374 377 370
0.500965 1329939828.556623 506 503 606 374 376 370
0.500965 1329939828.565457 506 503 604 374 375 371
0.500965 1329939828.573642 506 503 605 373 377 370
0.567021 1329939828.581902 506 503 605 374 377 371
0.567021 1329939828.590484 506 503 606 375 376 371
0.567021 1329939828.598634 506 503 605 375 375 370
0.567021 1329939828.606840 507 503 606 374 376 370
0.567021 1329939828.615180 507 502 606 373 377 370
0.567021 1329939828.629368 507 503 606 374 376 371
0.625315 1329939828.631744 507 503 606 374 377 370
0.625315 1329939828.640808 506 503 605 374 376 369
0.625315 1329939828.678818 506 503 605 374 377 371
0.625315 1329939828.683517 506 503 605 373 376 369
0.625315 1329939828.690214 506 503 605 374 376 371
0.625315 1329939828.698520 506 503 605 374 377 370
0.683530 1329939828.706877 506 503 605 374 377 371
0.683530 1329939828.730622 506 503 606 374 376 371
0.683530 1329939828.732938 507 503 606 374 376 371
0.683530 1329939828.739813 507 503 605 374 376 370
0.683530 1329939828.748678 507 503 606 375 376 370
0.683530 1329939828.756870 507 503 605 374 375 371
0.741179 1329939828.765762 507 503 605 374 377 370
0.741179 1329939828.773496 506 502 606 374 376 370
0.741179 1329939828.782647 506 503 605 374 376 370
0.741179 1329939828.790019 506 503 605 374 375 370
0.741179 1329939828.798697 505 503 605 375 376 370
0.741179 1329939828.806979 505 503 605 374 376 369
0.800629 1329939828.814878 505 503 605 374 377 371
0.800629 1329939828.823548 506 503 606 374 377 370
0.800629 1329939828.831598 507 503 605 376 376 369
0.800629 1329939828.840096 507 503 605 375 375 370
0.800629 1329939828.848382 508 502 606 375 377 370
0.800629 1329939828.856698 508 503 605 374 376 371
0.866102 1329939828.864892 507 503 605 374 376 370
0.866102 1329939828.883001 507 503 605 373 376 370
0.866102 1329939828.890116 506 503 605 375 376 370
0.866102 1329939828.898265 505 503 605 374 377 369
0.866102 1329939828.906918 504 503 604 374 376 370
0.866102 1329939828.914571 504 503 605 373 376 370
0.924058 1329939828.923286 505 503 605 374 376 371
0.924058 1329939828.931572 506 503 605 374 377 370
0.924058 1329939828.940045 507 503 605 375 377 370
0.924058 1329939828.948352 507 503 606 374 376 369
0.924058 1329939828.956857 508 503 606 374 376 370
0.924058 1329939828.964661 508 503 605 374 376 371
0.982549 1329939828.973243 507 503 606 374 375 369
0.982549 1329939828.981283 506 503 605 375 376 369
0.982549 1329939828.989950 506 503 605 374 376 370
0.982549 1329939828.998384 505 503 605 374 376 370
0.982549 1329939829.006659 505 503 605 374 376 370
0.982549 1329939829.014459 505 503 605 375 376 369
1.040846 1329939829.023156 505 503 605 375 378 371
1.040846 1329939829.031375 506 503 606 374 377 370
1.040846 1329939829.040092 507 503 605 375 377 370
1.040846 1329939829.048193 507 503 605 374 376 370
1.040846 1329939829.056431 508 503 606 373 376 371
1.040846 1329939829.064681 508 503 606 374 376 369
1.107309 1329939829.073340 508 503 605 374 376 370
1.107309 1329939829.081349 507 503 605 374 375 370
1.107309 1329939829.089989 505 503 605 374 375 370
1.107309 1329939829.098167 505 503 605 374 377 369
1.107309 1329939829.106498 505 502 605 375 376 369
1.107309 1329939829.114456 505 503 605 374 377 371
1.165929 1329939829.123229 505 503 605 374 376 370
1.165929 1329939829.131264 506 503 604 374 377 371
1.165929 1329939829.139866 507 503 605 375 377 371
1.165929 1329939829.148002 507 503 606 374 377 371
1.165929 1329939829.156247 508 503 606 375 376 371
1.165929 1329939829.164181 507 503 606 374 376 370
1.224208 1329939829.173026 507 503 606 374 376 370
1.224208 1329939829.181062 506 503 606 373 376 370
1.224208 1329939829.193764 506 503 605 374 376 370
1.224208 1329939829.199668 505 503 604 374 376 371
1.224208 1329939829.211956 505 503 605 374 376 370
1.224208 1329939829.218280 505 503 605 375 377 370
1.282243 1329939829.223470 505 503 605 374 376 371
1.282243 1329939829.230673 506 503 605 375 375 371
1.282243 1329939829.246355 507 503 605 373 378 370
1.282243 1329939829.268527 507 503 605 375 376 370
1.282243 1329939829.272289 507 503 605 374 376 370
1.282243 1329939829.280387 507 503 605 375 376 370
