imu_t vicon_t roll pitch yaw
0.011434 1329939828.300570 0 -2 -8
1.340628 1329939828.432065 0 0 0
1.373775 1329939828.440484 0 0 0
1.407240 1329939828.448844 0 0 0
1.407240 1329939828.457128 0 0 0
1.432268 1329939828.465427 0 0 0
1.465492 1329939828.473378 0 0 0
1.465492 1329939828.482141 0 0 0
1.490759 1329939828.500583 0 0 0
1.525606 1329939828.507505 0 0 0
1.525606 1329939828.515550 0 0 0
1.553731 1329939828.523882 0 0 0
1.581760 1329939828.531665 0 0 0
1.581760 1329939828.540365 0 0 0
1.615524 1329939828.553334 0 0 0
1.640638 1329939828.556623 0 0 0
1.640638 1329939828.565457 0 0 0
1.673497 1329939828.573642 0 0 0
1.706689 1329939828.581902 0 0 0
1.706689 1329939828.590484 0 0 0
1.731923 1329939828.598634 0 0 0
1.764586 1329939828.606840 0 0 0
1.764586 1329939828.615180 0 0 0
1.789924 1329939828.629368 0 0 0
1.822858 1329939828.631744 0 0 0
1.822858 1329939828.640808 0 0 0
1.856621 1329939828.678818 0 0 0
1.881639 1329939828.683517 0 0 0
1.881639 1329939828.690214 0 0 0
1.914634 1329939828.698520 0 0 0
1.945101 1329939828.706877 0 0 0
1.945101 1329939828.730622 0 0 0
1.972865 1329939828.732938 0 0 0
2.006486 1329939828.739813 0 0 0
2.006486 1329939828.748678 0 0 0
2.031302 1329939828.756870 0 0 0
2.064823 1329939828.765762 0 0 0
2.064823 1329939828.773496 0 0 0
2.089829 1329939828.782647 0 0 0
2.123106 1329939828.790019 0 0 0
2.123106 1329939828.798697 0 0 0
2.156636 1329939828.806979 0 0 0
2.181090 1329939828.814878 0 0 0
2.181090 1329939828.823548 0 0 0
2.214811 1329939828.831598 0 0 0
2.239757 1329939828.840096 0 0 0
2.239757 1329939828.848382 0 0 0
2.272848 1329939828.856698 0 0 0
2.306944 1329939828.864892 0 0 0
2.306944 1329939828.883001 0 0 0
2.330967 1329939828.890116 0 0 0
2.364605 1329939828.898265 0 0 0
2.364605 1329939828.906918 0 0 0
2.406209 1329939828.914571 0 0 0
2.406209 1329939828.923286 0 0 0
2.430644 1329939828.931572 0 0 0
2.465824 1329939828.940045 0 0 0
2.465824 1329939828.948352 0 0 0
2.506167 1329939828.956857 0 0 0
2.506167 1329939828.964661 0 0 0
2.535779 1329939828.973243 0 0 0
2.564289 1329939828.981283 0 0 0
2.564289 1329939828.989950 0 0 0
2.606011 1329939828.998384 0 0 0
2.606011 1329939829.006659 0 0 0
2.636074 1329939829.014459 0 0 0
2.664374 1329939829.023156 0 0 0
2.664374 1329939829.031375 0 0 0
2.706084 1329939829.040092 0 0 0
2.706084 1329939829.048193 0 0 0
2.730905 1329939829.056431 0 0 0
2.764263 1329939829.064681 0 0 0
2.764263 1329939829.073340 0 0 0
2.806032 1329939829.081349 0 0 0
2.806032 1329939829.089989 0 0 0
2.831062 1329939829.098167 0 0 0
2.864104 1329939829.106498 0 0 0
2.864104 1329939829.114456 0 0 0
2.906172 1329939829.123229 0 0 0
2.906172 1329939829.131264 0 0 0
2.934044 1329939829.139866 0 0 0
2.960428 1329939829.148002 0 0 0
2.960428 1329939829.156247 0 0 0
3.005802 1329939829.164181 0 0 0
3.005802 1329939829.173026 0 0 0
3.030764 1329939829.181062 0 0 0
3.059578 1329939829.193764 0 0 0
3.059578 1329939829.199668 0 0 0
3.105035 1329939829.211956 0 0 0
3.105035 1329939829.218280 0 0 0
3.130664 1329939829.223470 0 0 0
3.163921 1329939829.230673 0 0 0
3.163921 1329939829.246355 0 0 0
3.209633 1329939829.268527 0 0 0
3.209633 1329939829.272289 0 0 0
3.247099 1329939829.280387 0 0 0
3.247099 1329939829.288765 0 0 0
3.280786 1329939829.297236 0 0 0
3.280786 1329939829.305747 0 0 0
3.322126 1329939829.313712 0 0 0
3.322126 1329939829.322289 0 0 0
3.363707 1329939829.330490 0 0 0
3.363707 1329939829.338858 0 0 0
3.405558 1329939829.347102 0 0 0
3.405558 1329939829.355657 0 0 0
3.447246 1329939829.363811 0 -1 0
3.447246 1329939829.372278 0 -1 0
3.480208 1329939829.380346 0 -1 0
3.480208 1329939829.388524 0 -1 0
3.521767 1329939829.397198 0 -1 0
3.521767 1329939829.405432 0 -1 0
3.563901 1329939829.413442 0 -1 0
3.563901 1329939829.422157 0 -1 0
3.605497 1329939829.430228 0 -1 0
3.605497 1329939829.438551 0 -1 0
3.645753 1329939829.447005 0 -1 0
3.645753 1329939829.455642 0 -1 0
3.688350 1329939829.463680 0 -1 0
3.688350 1329939829.472261 0 -1 0
3.722031 1329939829.480202 0 -1 0
3.722031 1329939829.488554 0 -1 0
3.763314 1329939829.496952 0 -1 0
3.763314 1329939829.505543 0 -1 0
3.805304 1329939829.513652 0 -1 0
3.805304 1329939829.522154 0 -1 0
3.846566 1329939829.530234 0 -1 0
3.846566 1329939829.538687 0 -1 0
3.888692 1329939829.547057 0 -1 0
3.888692 1329939829.555486 0 -1 0
3.921365 1329939829.563665 0 -1 0
3.921365 1329939829.572216 0 -1 0
3.963142 1329939829.580290 0 -1 0
3.963142 1329939829.588897 0 -1 0
4.004713 1329939829.597012 0 -1 0
4.004713 1329939829.605431 0 -1 0
4.047619 1329939829.613917 0 -1 0
4.047619 1329939829.622165 0 -1 0
4.088038 1329939829.630146 0 -1 0
4.088038 1329939829.638783 0 -1 0
4.120870 1329939829.647060 0 -1 0
4.120870 1329939829.655383 0 -1 0
4.163009 1329939829.663903 0 -1 0
4.163009 1329939829.671864 0 -1 0
4.204590 1329939829.680091 0 -1 0
4.204590 1329939829.688612 0 -1 0
4.245779 1329939829.696963 0 -1 0
4.245779 1329939829.705178 0 -1 0
4.287589 1329939829.713721 0 -1 0
4.287589 1329939829.722058 0 -1 0
4.320464 1329939829.730073 0 -1 0
4.320464 1329939829.738553 0 -1 0
4.362454 1329939829.746936 0 -1 0
4.362454 1329939829.755316 0 -1 0
4.403984 1329939829.763613 0 -1 0
4.403984 1329939829.771988 0 -1 0
4.442554 1329939829.780095 0 -1 0
4.442554 1329939829.788656 0 -1 0
4.487291 1329939829.796764 0 -1 0
4.487291 1329939829.805248 0 -1 0
4.520560 1329939829.813768 0 -1 0
4.520560 1329939829.821909 0 -1 0
4.564455 1329939829.830092 0 -1 0
4.564455 1329939829.838597 0 -1 0
4.603699 1329939829.846785 0 -1 0
4.603699 1329939829.855146 0 -1 0
4.647996 1329939829.863832 0 -1 0
4.647996 1329939829.871810 0 -1 0
4.686997 1329939829.879974 0 -1 0
4.686997 1329939829.888460 0 -1 0
4.720347 1329939829.902153 0 -1 0
4.720347 1329939829.904852 0 -1 0
4.762053 1329939829.913743 0 -1 0
4.762053 1329939829.921756 0 -1 0
4.803846 1329939829.929714 0 -1 0
4.803846 1329939829.938570 0 -1 0
4.845404 1329939829.948470 0 -1 0
4.845404 1329939829.954857 0 -1 0
4.883245 1329939829.965222 0 -1 0
4.883245 1329939829.976735 0 -1 0
4.928567 1329939829.979667 0 -1 0
4.928567 1329939829.988177 0 -1 0
4.961484 1329939829.996639 0 -1 0
4.961484 1329939830.004790 0 -1 0
5.003469 1329939830.013661 0 -1 0
5.003469 1329939830.021531 0 -1 0
5.044858 1329939830.029541 0 -1 0
