vicon_t u v w x y z
1329939828.300570 3.081937 0.549690 0.029708 987.085266 540.575256 763.070190
1329939828.432065 3.081894 0.549629 0.029583 987.094849 540.564514 763.097168
1329939828.440484 3.081856 0.549701 0.029599 987.093506 540.555725 763.097534
1329939828.448844 3.081851 0.549610 0.029632 987.084106 540.558838 763.088745
1329939828.457128 3.081926 0.549653 0.029680 987.095825 540.548401 763.062256
1329939828.465427 3.081877 0.549658 0.029566 987.097229 540.545288 763.066406
1329939828.473378 3.081916 0.549651 0.029708 987.099243 540.552368 763.034180
1329939828.482141 3.081924 0.549695 0.029619 987.100586 540.547485 763.038452
1329939828.500583 3.081951 0.549733 0.029603 987.105652 540.546814 763.045471
1329939828.507505 3.081914 0.549634 0.029710 987.088257 540.547913 763.059631
1329939828.515550 3.081895 0.549680 0.029600 987.093872 540.548584 763.082214
1329939828.523882 3.081875 0.549683 0.029643 987.100281 540.546692 763.084412
1329939828.531665 3.081945 0.549612 0.029570 987.092102 540.552307 763.086426
1329939828.540365 3.081914 0.549684 0.029631 987.105835 540.551331 763.083374
1329939828.553334 3.081893 0.549688 0.029795 987.101868 540.557312 763.083435
1329939828.556623 3.081918 0.549669 0.029660 987.098938 540.555237 763.091064
1329939828.565457 3.081877 0.549715 0.029623 987.104797 540.567322 763.090332
1329939828.573642 3.081898 0.549697 0.029732 987.096436 540.578979 763.066162
1329939828.581902 3.081892 0.549678 0.029628 987.084595 540.577026 763.067871
1329939828.590484 3.081873 0.549684 0.029726 987.094482 540.585693 763.050293
1329939828.598634 3.081878 0.549694 0.029730 987.094604 540.582214 763.047913
1329939828.606840 3.081916 0.549670 0.029679 987.087280 540.562012 763.041626
1329939828.615180 3.081884 0.549682 0.029648 987.099304 540.561646 763.055603
1329939828.629368 3.081903 0.549649 0.029659 987.098755 540.548218 763.061523
1329939828.631744 3.081885 0.549660 0.029664 987.106567 540.539734 763.069153
1329939828.640808 3.081936 0.549710 0.029629 987.106873 540.544128 763.070801
1329939828.678818 3.081943 0.549656 0.029715 987.104309 540.543457 763.075256
1329939828.683517 3.081889 0.549704 0.029688 987.099304 540.577698 763.066284
1329939828.690214 3.081886 0.549705 0.029753 987.092957 540.582947 763.057739
1329939828.698520 3.081883 0.549678 0.029576 987.087769 540.579407 763.063293
1329939828.706877 3.081874 0.549713 0.029620 987.096313 540.582092 763.065491
1329939828.730622 3.081864 0.549716 0.029658 987.100037 540.568176 763.069946
1329939828.732938 3.081921 0.549676 0.029710 987.109131 540.559326 763.057983
1329939828.739813 3.081931 0.549724 0.029679 987.106140 540.552856 763.059021
1329939828.748678 3.081931 0.549680 0.029697 987.100037 540.556946 763.052673
1329939828.756870 3.081873 0.549691 0.029621 987.097900 540.560059 763.058777
1329939828.765762 3.081920 0.549727 0.029722 987.092163 540.565674 763.041443
1329939828.773496 3.081928 0.549649 0.029646 987.075745 540.576233 763.059631
1329939828.782647 3.081900 0.549697 0.029634 987.084473 540.578613 763.059998
1329939828.790019 3.081959 0.549695 0.029564 987.087952 540.578247 763.055847
1329939828.798697 3.081865 0.549715 0.029565 987.095825 540.572815 763.080444
1329939828.806979 3.081908 0.549749 0.029642 987.099121 540.560669 763.058716
1329939828.814878 3.081918 0.549668 0.029621 987.092285 540.554871 763.067810
1329939828.823548 3.081872 0.549688 0.029498 987.104553 540.549316 763.087708
1329939828.831598 3.081873 0.549662 0.029587 987.098511 540.542725 763.077393
1329939828.840096 3.081881 0.549659 0.029684 987.102905 540.544189 763.076416
1329939828.848382 3.081926 0.549683 0.029693 987.092896 540.552002 763.071289
1329939828.856698 3.081914 0.549700 0.029599 987.088013 540.557922 763.069519
1329939828.864892 3.081905 0.549716 0.029656 987.085083 540.570129 763.054016
1329939828.883001 3.081854 0.549716 0.029584 987.070618 540.581970 763.040039
1329939828.890116 3.081867 0.549731 0.029686 987.082397 540.584778 763.040955
1329939828.898265 3.081838 0.549737 0.029602 987.074097 540.575378 763.064270
1329939828.906918 3.081865 0.549703 0.029779 987.077209 540.574219 763.056946
1329939828.914571 3.081842 0.549684 0.029722 987.061707 540.560974 763.091064
1329939828.923286 3.081876 0.549662 0.029800 987.063538 540.551025 763.093018
1329939828.931572 3.081880 0.549645 0.029814 987.065125 540.538818 763.102478
1329939828.940045 3.081871 0.549619 0.029740 987.068176 540.538086 763.103333
1329939828.948352 3.081871 0.549662 0.029676 987.075623 540.526489 763.095398
1329939828.956857 3.081911 0.549693 0.029668 987.085144 540.533081 763.068420
1329939828.964661 3.081854 0.549742 0.029751 987.096313 540.536072 763.062317
1329939828.973243 3.081852 0.549805 0.029688 987.091797 540.551636 763.053406
1329939828.981283 3.081905 0.549856 0.029706 987.091370 540.563538 763.045288
1329939828.989950 3.081867 0.549829 0.029740 987.078308 540.572693 763.067627
1329939828.998384 3.081833 0.549767 0.029650 987.061096 540.572815 763.095520
1329939829.006659 3.081853 0.549755 0.029734 987.050903 540.579956 763.088562
1329939829.014459 3.081896 0.549689 0.029812 987.016357 540.564209 763.101990
1329939829.023156 3.081869 0.549676 0.029858 987.013367 540.559448 763.123535
1329939829.031375 3.081835 0.549607 0.029857 986.999146 540.545898 763.129700
1329939829.040092 3.081874 0.549616 0.029873 987.001953 540.546021 763.116150
1329939829.048193 3.081793 0.549590 0.029810 987.006348 540.535767 763.133850
1329939829.056431 3.081773 0.549635 0.029821 987.019531 540.537537 763.119446
1329939829.064681 3.081731 0.549687 0.029700 987.021729 540.547119 763.123169
1329939829.073340 3.081763 0.549745 0.029769 987.031799 540.561646 763.110352
1329939829.081349 3.081774 0.549749 0.029739 987.028320 540.562012 763.123047
1329939829.089989 3.081755 0.549740 0.029743 987.021057 540.563965 763.120361
1329939829.098167 3.081751 0.549781 0.029788 987.019897 540.568787 763.124878
1329939829.106498 3.081774 0.549750 0.029738 987.007385 540.562317 763.133728
1329939829.114456 3.081751 0.549678 0.029684 986.992981 540.562866 763.149597
1329939829.123229 3.081779 0.549698 0.029766 986.994019 540.562256 763.140015
1329939829.131264 3.081858 0.549562 0.029821 986.971130 540.562012 763.149902
1329939829.139866 3.081885 0.549560 0.029894 986.971741 540.558899 763.158630
1329939829.148002 3.081807 0.549492 0.029988 986.952026 540.572998 763.175537
1329939829.156247 3.082456 0.549008 0.029783 986.849670 540.585266 763.075989
1329939829.164181 3.082392 0.549035 0.029806 986.886353 540.597412 763.143860
1329939829.173026 3.082080 0.549337 0.029929 986.957886 540.535767 763.188843
1329939829.181062 3.081994 0.549361 0.029808 986.928406 540.551758 763.172668
1329939829.193764 3.082036 0.549305 0.029765 986.929688 540.567627 763.149109
1329939829.199668 3.082030 0.549437 0.029547 986.951416 540.571960 763.161377
1329939829.211956 3.081933 0.549415 0.029450 986.948914 540.573608 763.164795
1329939829.218280 3.081962 0.549240 0.029114 986.937744 540.605286 763.176453
1329939829.223470 3.082615 0.548902 0.029531 986.898682 540.611572 763.058838
1329939829.230673 3.082059 0.549088 0.030758 986.901062 540.523560 763.106018
1329939829.246355 3.082010 0.549059 0.030648 986.832764 540.526245 763.119507
1329939829.268527 3.082020 0.548981 0.030688 986.796326 540.529480 763.117493
1329939829.272289 3.081995 0.548770 0.030858 986.723877 540.511353 763.155823
1329939829.280387 3.082072 0.548744 0.031008 986.726196 540.513794 763.145569
1329939829.288765 3.081999 0.548808 0.031016 986.742859 540.512512 763.170898
1329939829.297236 3.081960 0.548798 0.030972 986.754272 540.513550 763.171265
1329939829.305747 3.081969 0.548843 0.030878 986.775024 540.523315 763.159912
1329939829.313712 3.081986 0.548968 0.030901 986.805115 540.531738 763.145813
1329939829.322289 3.082013 0.548976 0.030577 986.819397 540.529663 763.151672
1329939829.330490 3.082074 0.549007 0.030708 986.838806 540.537781 763.129578
1329939829.338858 3.082127 0.549019 0.030648 986.835266 540.548218 763.140381
1329939829.347102 3.082152 0.548967 0.030602 986.824890 540.561462 763.127441
1329939829.355657 3.082169 0.548960 0.030643 986.835571 540.556702 763.127136
1329939829.363811 3.082125 0.548859 0.030754 986.820557 540.552002 763.151978
1329939829.372278 3.082132 0.548807 0.030888 986.805603 540.538269 763.132324
1329939829.380346 3.082280 0.548652 0.030805 986.777527 540.535400 763.134033
1329939829.388524 3.082748 0.548234 0.030725 986.762756 540.549316 763.134216
1329939829.397198 3.081732 0.549053 0.031170 986.820129 540.449585 763.209229
1329939829.405432 3.081673 0.549058 0.031176 986.730042 540.471924 763.143494
1329939829.413442 3.081620 0.549054 0.031028 986.731384 540.484192 763.149902
1329939829.422157 3.081667 0.549089 0.031051 986.763733 540.488220 763.143616
1329939829.430228 3.081629 0.549203 0.030908 986.787109 540.496155 763.163635
1329939829.438551 3.081682 0.549195 0.030857 986.797546 540.502014 763.137207
1329939829.447005 3.081689 0.549189 0.030847 986.817627 540.514771 763.131409
1329939829.455642 3.081625 0.549278 0.030830 986.830994 540.513123 763.127136
1329939829.463680 3.081337 0.549483 0.030890 986.864624 540.512878 763.155884
1329939829.472261 3.080899 0.549788 0.030903 986.899841 540.522339 763.201294
1329939829.480202 3.080791 0.549845 0.030894 986.903992 540.444397 763.184387
1329939829.488554 3.081131 0.549580 0.031026 986.829773 540.447937 763.125916
1329939829.496952 3.081294 0.549476 0.031173 986.796326 540.461182 763.135681
1329939829.505543 3.081370 0.549322 0.031125 986.756775 540.484558 763.151428
1329939829.513652 3.081386 0.549253 0.031231 986.748596 540.489868 763.164795
1329939829.522154 3.081338 0.549249 0.031119 986.745178 540.503235 763.176758
1329939829.530234 3.081311 0.549233 0.031010 986.741516 540.505737 763.184082
1329939829.538687 3.081313 0.549296 0.031045 986.764709 540.517029 763.177795
1329939829.547057 3.081272 0.549366 0.030969 986.774902 540.520142 763.181763
1329939829.555486 3.081271 0.549401 0.030894 986.796265 540.516907 763.177612
1329939829.563665 3.081337 0.549484 0.030874 986.823242 540.517700 763.166687
1329939829.572216 3.081249 0.549496 0.030782 986.824951 540.517944 763.185303
1329939829.580290 3.081270 0.549541 0.030798 986.837952 540.521484 763.160339
