imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.011207 1329704302.493088 518 501 606 370 385 368
1.025743 1329704302.501260 506 503 605 374 376 370
1.084110 1329704302.518023 506 503 605 374 376 369
1.084110 1329704302.526234 506 503 605 374 376 370
1.084110 1329704302.534216 506 503 605 375 376 370
1.084110 1329704302.543759 506 503 605 374 376 370
1.084110 1329704302.551132 506 503 605 374 376 370
1.084110 1329704302.560938 506 503 605 375 376 371
1.142640 1329704302.567952 506 503 605 374 376 370
1.142640 1329704302.575964 506 503 605 373 376 369
1.142640 1329704302.584256 506 503 605 374 376 370
1.142640 1329704302.592877 506 503 605 374 376 370
1.142640 1329704302.601099 506 503 605 374 375 370
1.142640 1329704302.613603 506 503 605 374 377 370
1.200749 1329704302.617865 506 503 605 375 375 370
1.200749 1329704302.625853 506 502 605 374 376 371
1.200749 1329704302.634276 506 502 605 374 376 371
1.200749 1329704302.643014 506 502 605 375 377 370
1.200749 1329704302.651164 506 503 605 374 377 371
1.200749 1329704302.659644 506 503 605 374 377 370
1.267097 1329704302.668003 506 503 605 374 376 370
1.267097 1329704302.675948 506 503 605 373 376 370
1.267097 1329704302.684080 506 503 605 375 377 371
1.267097 1329704302.692753 506 503 605 374 376 371
1.267097 1329704302.701076 506 503 605 373 377 370
1.267097 1329704302.709416 506 503 605 372 376 370
1.322119 1329704302.728752 506 503 605 373 376 369
1.322119 1329704302.734269 506 503 605 374 376 370
1.322119 1329704302.742422 506 502 605 375 375 370
1.322119 1329704302.751102 506 503 605 374 375 370
1.322119 1329704302.759345 506 503 605 375 376 370
1.322119 1329704302.767729 506 503 605 374 376 371
1.383589 1329704302.781595 506 503 605 374 376 370
1.383589 1329704302.784155 506 503 605 374 377 370
1.383589 1329704302.792580 506 503 605 374 377 371
1.383589 1329704302.801046 506 503 605 374 377 371
1.383589 1329704302.809990 506 503 605 374 376 371
1.383589 1329704302.817349 506 503 605 376 376 371
1.441380 1329704302.826715 506 503 605 374 376 370
