imu_t vicon_t roll pitch yaw
2.032415 1329704302.493088 0 0 0
2.065940 1329704302.501260 0 0 0
2.093072 1329704302.518023 0 0 0
2.093072 1329704302.526234 0 0 0
2.126553 1329704302.534216 0 0 0
2.156858 1329704302.543759 0 0 0
2.156858 1329704302.551132 0 0 0
2.181631 1329704302.560938 0 0 0
2.215216 1329704302.567952 0 0 0
2.215216 1329704302.575964 0 0 0
2.240131 1329704302.584256 0 0 0
2.274606 1329704302.592877 0 0 0
2.274606 1329704302.601099 0 0 0
2.298668 1329704302.613603 0 0 0
2.331503 1329704302.617865 0 0 0
2.331503 1329704302.625853 0 0 0
2.365047 1329704302.634276 0 0 0
2.389766 1329704302.643014 0 0 0
2.389766 1329704302.651164 0 0 0
2.424061 1329704302.659644 0 0 0
2.456902 1329704302.668003 0 0 0
2.456902 1329704302.675948 0 0 0
2.479150 1329704302.684080 0 0 0
2.515073 1329704302.692753 0 0 0
2.515073 1329704302.701076 0 0 0
2.542975 1329704302.709416 0 0 0
2.573120 1329704302.728752 0 0 0
2.573120 1329704302.734269 0 0 0
2.619530 1329704302.742422 0 0 0
2.633010 1329704302.751102 0 0 0
2.633010 1329704302.759345 0 0 0
2.660235 1329704302.767729 0 0 0
2.696629 1329704302.781595 0 0 0
2.696629 1329704302.784155 0 0 0
2.723198 1329704302.792580 0 0 0
2.759364 1329704302.801046 0 0 0
2.759364 1329704302.809990 0 0 0
2.781563 1329704302.817349 0 0 0
2.811121 1329704302.826715 0 0 0
2.811121 1329704302.833930 0 0 0
2.838763 1329704302.842193 0 0 0
2.873325 1329704302.850900 0 0 0
2.873325 1329704302.859083 0 0 0
2.906516 1329704302.867479 0 0 0
2.930991 1329704302.876773 0 0 0
2.930991 1329704302.896354 0 0 0
2.964897 1329704302.900552 0 0 0
2.990278 1329704302.909164 0 0 0
2.990278 1329704302.917481 0 0 0
3.033674 1329704302.925844 0 0 0
3.049657 1329704302.944417 0 0 0
3.049657 1329704302.960142 0 0 0
3.104828 1329704302.967181 0 0 0
3.104828 1329704302.975933 0 0 0
3.133857 1329704302.983918 0 0 0
3.133857 1329704302.992136 0 0 0
3.173712 1329704303.001044 0 0 0
3.173712 1329704303.009073 0 0 0
3.214629 1329704303.017105 0 0 0
3.214629 1329704303.025640 0 0 0
3.256301 1329704303.034073 0 0 0
3.256301 1329704303.042488 0 0 0
3.298015 1329704303.050700 0 0 0
3.298015 1329704303.059298 0 0 0
3.331213 1329704303.067236 0 0 0
3.331213 1329704303.075781 0 0 0
3.372953 1329704303.083682 0 0 0
3.372953 1329704303.092068 0 0 0
3.414304 1329704303.100568 0 0 0
3.414304 1329704303.119095 0 0 0
3.456094 1329704303.125779 0 0 0
3.456094 1329704303.134136 0 0 0
3.514956 1329704303.142184 0 0 0
3.514956 1329704303.150159 0 0 0
3.530935 1329704303.159032 0 0 0
3.530935 1329704303.171137 0 0 0
3.572684 1329704303.175640 0 0 0
3.572684 1329704303.189026 0 0 0
3.616566 1329704303.191980 0 0 0
3.616566 1329704303.200516 0 0 0
3.656050 1329704303.208676 0 0 0
3.656050 1329704303.217233 0 0 0
3.697637 1329704303.225370 0 0 0
3.697637 1329704303.233940 0 0 0
3.730703 1329704303.242109 0 0 0
3.730703 1329704303.250331 0 0 0
3.772644 1329704303.258742 0 0 0
3.772644 1329704303.274664 0 0 0
3.814360 1329704303.277953 0 0 0
3.814360 1329704303.290155 0 0 0
3.855697 1329704303.294797 0 0 0
3.855697 1329704303.300070 0 1 0
3.898237 1329704303.308684 0 1 0
3.898237 1329704303.317302 0 1 0
3.931390 1329704303.325221 0 1 0
3.931390 1329704303.333847 1 0 0
3.972625 1329704303.341982 2 0 -1
3.972625 1329704303.350351 4 0 -1
4.012416 1329704303.358836 5 0 -2
4.012416 1329704303.367257 6 0 -3
4.056034 1329704303.377176 7 0 -4
4.056034 1329704303.383804 7 0 -5
4.097348 1329704303.391611 7 0 -6
4.097348 1329704303.400210 6 0 -8
4.155767 1329704303.408649 6 0 -9
4.155767 1329704303.417138 5 1 -11
4.172596 1329704303.430331 5 1 -13
4.172596 1329704303.435988 5 2 -15
4.213679 1329704303.450414 5 3 -16
