vicon_t u v w x y z
1329704302.493088 3.079554 0.595111 0.029474 989.211670 491.118622 763.231995
1329704302.501260 3.079562 0.595136 0.029350 989.214417 491.121002 763.245056
1329704302.518023 3.079521 0.595100 0.029447 989.223267 491.121552 763.226135
1329704302.526234 3.079452 0.595117 0.029309 989.236633 491.125549 763.242798
1329704302.534216 3.079428 0.595111 0.029365 989.241150 491.130768 763.217834
1329704302.543759 3.079508 0.595194 0.029474 989.247314 491.136810 763.188110
1329704302.551132 3.079438 0.595168 0.029334 989.232178 491.140961 763.219788
1329704302.560938 3.079499 0.595191 0.029427 989.238892 491.136597 763.196167
1329704302.567952 3.079494 0.595136 0.029441 989.226929 491.131134 763.199951
1329704302.575964 3.079534 0.595133 0.029419 989.228027 491.121124 763.204956
1329704302.584256 3.079435 0.595073 0.029477 989.221313 491.115234 763.226990
1329704302.592877 3.079534 0.595161 0.029453 989.227661 491.112427 763.204895
1329704302.601099 3.079461 0.595100 0.029411 989.224060 491.107697 763.227234
1329704302.613603 3.079507 0.595158 0.029350 989.226807 491.105286 763.206665
1329704302.617865 3.079547 0.595146 0.029379 989.225586 491.109467 763.209412
1329704302.625853 3.079497 0.595123 0.029373 989.229370 491.110199 763.211304
1329704302.634276 3.079562 0.595105 0.029408 989.227783 491.115173 763.191528
1329704302.643014 3.079493 0.595113 0.029341 989.233398 491.125610 763.210449
1329704302.651164 3.079521 0.595156 0.029325 989.247437 491.129089 763.192810
1329704302.659644 3.079496 0.595130 0.029350 989.237000 491.133026 763.197754
1329704302.668003 3.079501 0.595116 0.029435 989.240295 491.137207 763.192444
1329704302.675948 3.079489 0.595130 0.029444 989.238586 491.136841 763.199829
1329704302.684080 3.079525 0.595036 0.029348 989.213318 491.132080 763.206543
1329704302.692753 3.079536 0.595173 0.029428 989.238342 491.127625 763.204529
1329704302.701076 3.079464 0.595116 0.029306 989.214661 491.116150 763.226562
1329704302.709416 3.079543 0.595118 0.029333 989.216431 491.118164 763.194275
1329704302.728752 3.079540 0.595193 0.029486 989.233459 491.113007 763.207336
1329704302.734269 3.079542 0.595187 0.029400 989.230469 491.126221 763.194885
1329704302.742422 3.079430 0.595068 0.029407 989.230469 491.124969 763.208801
1329704302.751102 3.079489 0.595261 0.029419 989.263123 491.122009 763.176697
1329704302.759345 3.079419 0.595160 0.029375 989.242493 491.122314 763.200867
1329704302.767729 3.079516 0.595161 0.029503 989.247314 491.125732 763.172913
1329704302.781595 3.079543 0.595119 0.029441 989.228638 491.126709 763.197327
1329704302.784155 3.079547 0.595161 0.029325 989.237305 491.120636 763.208374
1329704302.792580 3.079526 0.595053 0.029423 989.214905 491.122925 763.217407
1329704302.801046 3.079561 0.595085 0.029430 989.225891 491.118713 763.206848
1329704302.809990 3.079554 0.595154 0.029421 989.222778 491.117889 763.208313
1329704302.817349 3.079593 0.595152 0.029401 989.223206 491.122833 763.199585
1329704302.826715 3.079492 0.595080 0.029379 989.224731 491.123932 763.216675
1329704302.833930 3.079543 0.595095 0.029427 989.230164 491.127747 763.187012
1329704302.842193 3.079572 0.595133 0.029391 989.233215 491.125916 763.186768
1329704302.850900 3.079500 0.595097 0.029436 989.240540 491.127686 763.195557
1329704302.859083 3.079463 0.595112 0.029398 989.243652 491.127838 763.206970
1329704302.867479 3.079504 0.595126 0.029446 989.240601 491.123108 763.190125
1329704302.876773 3.079481 0.595201 0.029401 989.250244 491.121552 763.199158
1329704302.896354 3.079501 0.595148 0.029424 989.242859 491.124573 763.198975
1329704302.900552 3.079438 0.595078 0.029433 989.228394 491.126617 763.219177
1329704302.909164 3.079490 0.595148 0.029522 989.239929 491.132263 763.194336
1329704302.917481 3.079539 0.595149 0.029456 989.224731 491.131714 763.198608
1329704302.925844 3.079493 0.595174 0.029392 989.229553 491.139557 763.207275
1329704302.944417 3.079521 0.595188 0.029421 989.226135 491.139282 763.186157
1329704302.960142 3.079530 0.595119 0.029471 989.211060 491.133759 763.185974
1329704302.967181 3.079533 0.595148 0.029424 989.242493 491.117523 763.191895
1329704302.975933 3.079468 0.595099 0.029447 989.240601 491.113983 763.205872
1329704302.983918 3.079447 0.595171 0.029477 989.259766 491.109680 763.205444
1329704302.992136 3.079501 0.595099 0.029443 989.237000 491.103363 763.212830
1329704303.001044 3.079474 0.595091 0.029481 989.238281 491.102478 763.222961
1329704303.009073 3.079453 0.595148 0.029408 989.234558 491.106537 763.223450
1329704303.017105 3.079482 0.595056 0.029388 989.217590 491.117340 763.218140
1329704303.025640 3.079512 0.595187 0.029389 989.231689 491.127869 763.214233
1329704303.034073 3.079535 0.595137 0.029423 989.207642 491.131439 763.208557
1329704303.042488 3.079500 0.595086 0.029469 989.214355 491.136780 763.212341
1329704303.050700 3.079523 0.595111 0.029370 989.220032 491.138306 763.199646
1329704303.059298 3.079542 0.595134 0.029402 989.238037 491.137970 763.185425
1329704303.067236 3.079550 0.595154 0.029480 989.241577 491.132233 763.184875
1329704303.075781 3.079511 0.595149 0.029495 989.239746 491.130768 763.192749
1329704303.083682 3.079515 0.595153 0.029433 989.242859 491.122314 763.195679
1329704303.092068 3.079590 0.595128 0.029424 989.240662 491.111603 763.195374
1329704303.100568 3.079552 0.595111 0.029485 989.237305 491.114349 763.206055
1329704303.119095 3.079545 0.595058 0.029449 989.223511 491.111359 763.207764
1329704303.125779 3.079514 0.595139 0.029410 989.227051 491.119690 763.211670
1329704303.134136 3.079493 0.595109 0.029416 989.219727 491.126282 763.202576
1329704303.142184 3.079475 0.595044 0.029361 989.205688 491.134430 763.202881
1329704303.150159 3.079549 0.595129 0.029432 989.222229 491.136993 763.178711
1329704303.159032 3.079565 0.595173 0.029393 989.219421 491.136871 763.194153
1329704303.171137 3.079562 0.595135 0.029398 989.217712 491.134857 763.192078
1329704303.175640 3.079391 0.595116 0.029393 989.233276 491.124420 763.216064
