imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
1.077275 1329704478.124245 506 505 605 375 376 370
1.140217 1329704478.274817 506 505 605 375 376 369
1.140217 1329704478.282451 506 505 605 375 377 370
1.140217 1329704478.290750 506 505 606 374 376 370
1.140217 1329704478.298873 506 505 606 373 375 370
1.140217 1329704478.310025 506 505 605 375 376 369
1.140217 1329704478.315493 506 506 605 375 375 371
1.198458 1329704478.324040 506 505 606 374 376 369
1.198458 1329704478.332466 506 505 605 374 376 370
1.198458 1329704478.341390 506 505 605 374 377 371
1.198458 1329704478.349094 506 505 605 374 377 370
1.198458 1329704478.356835 506 505 605 374 375 371
1.198458 1329704478.365523 507 506 605 374 375 371
1.256632 1329704478.374693 506 506 604 374 376 370
1.256632 1329704478.382352 506 505 605 375 376 371
1.256632 1329704478.391247 506 505 606 374 376 371
1.256632 1329704478.398854 506 505 605 374 376 369
1.256632 1329704478.406861 506 505 605 374 376 370
1.256632 1329704478.418808 506 505 605 374 376 370
1.331344 1329704478.425746 506 505 605 374 376 370
1.331344 1329704478.432251 506 505 605 374 376 370
1.331344 1329704478.440495 506 505 605 375 376 370
1.331344 1329704478.449155 506 505 606 374 376 370
1.331344 1329704478.457458 506 505 605 373 376 371
1.331344 1329704478.472664 506 505 605 374 376 370
1.381518 1329704478.484842 506 505 605 374 375 370
1.381518 1329704478.491440 507 505 605 374 377 370
1.381518 1329704478.498740 506 505 605 374 376 370
1.381518 1329704478.507036 507 505 605 374 377 372
1.381518 1329704478.515418 507 505 605 375 378 370
1.381518 1329704478.524355 506 505 605 374 376 370
1.440295 1329704478.532102 506 506 605 374 375 371
1.440295 1329704478.540606 506 505 605 374 375 371
1.440295 1329704478.548838 506 505 605 375 376 369
1.440295 1329704478.556917 506 505 605 374 376 370
1.440295 1329704478.565357 506 505 605 374 376 370
1.440295 1329704478.573648 507 505 606 374 375 370
1.498241 1329704478.582015 507 505 605 374 376 370
1.498241 1329704478.590407 507 505 605 375 376 370
1.498241 1329704478.598394 506 505 605 374 376 370
1.498241 1329704478.606865 506 505 605 374 376 369
1.498241 1329704478.615344 506 505 605 375 376 370
1.498241 1329704478.623476 506 505 605 373 377 370
1.556013 1329704478.632000 506 506 605 375 377 369
1.556013 1329704478.640392 506 506 605 374 377 370
1.556013 1329704478.648467 507 505 605 374 376 370
1.556013 1329704478.656924 506 505 605 373 375 370
1.556013 1329704478.665228 506 505 605 374 376 370
1.556013 1329704478.673556 506 505 605 375 375 370
1.615008 1329704478.681792 507 505 605 374 376 370
1.615008 1329704478.690338 506 505 605 374 376 370
1.615008 1329704478.698321 506 505 605 374 376 370
1.615008 1329704478.707057 505 506 605 373 376 370
1.615008 1329704478.715190 505 506 605 374 375 370
1.615008 1329704478.723383 505 506 605 375 376 370
1.681237 1329704478.731759 506 505 605 374 376 371
1.681237 1329704478.740267 506 505 605 374 376 370
1.681237 1329704478.748419 507 505 605 374 375 370
1.681237 1329704478.756752 508 505 605 374 375 371
1.681237 1329704478.765248 507 505 605 373 376 369
1.681237 1329704478.773358 507 505 605 374 376 370
1.739128 1329704478.781700 506 505 605 373 376 370
1.739128 1329704478.790186 506 505 605 374 376 370
1.739128 1329704478.798309 505 506 605 375 377 370
1.739128 1329704478.806849 506 506 605 374 376 370
1.739128 1329704478.815234 506 506 605 375 376 370
1.739128 1329704478.823372 506 505 605 375 375 371
1.797661 1329704478.831717 507 505 605 374 377 370
1.797661 1329704478.840249 507 505 605 374 375 370
1.797661 1329704478.848439 507 505 605 374 376 370
1.797661 1329704478.856744 507 505 605 374 376 370
1.797661 1329704478.865483 506 505 605 373 376 370
1.797661 1329704478.875518 506 505 605 374 376 370
1.856170 1329704478.882563 506 506 605 375 376 370
1.856170 1329704478.890110 506 505 605 374 376 371
1.856170 1329704478.898338 506 505 605 374 376 370
1.856170 1329704478.906487 506 505 605 374 377 370
1.856170 1329704478.914985 506 505 605 375 375 370
1.919057 1329704478.923348 506 505 604 374 376 371
1.919057 1329704478.937255 506 505 605 374 376 369
1.919057 1329704478.942663 506 505 605 375 376 370
1.919057 1329704478.957170 507 505 605 375 377 370
1.919057 1329704478.969184 507 505 605 373 376 370
1.974339 1329704478.974899 507 505 606 374 375 369
1.974339 1329704478.987596 507 505 605 375 376 370
1.974339 1329704478.990168 506 505 605 374 376 370
1.974339 1329704479.002550 506 505 605 374 376 370
1.974339 1329704479.007157 506 506 605 374 377 369
1.974339 1329704479.015041 506 506 605 373 376 370
2.039301 1329704479.023121 506 505 605 375 376 370
2.039301 1329704479.031779 506 505 605 374 375 370
2.039301 1329704479.040129 507 505 605 374 377 370
2.039301 1329704479.048437 507 505 604 374 376 370
2.039301 1329704479.056617 506 505 605 374 376 371
2.039301 1329704479.065153 506 505 605 374 376 370
2.089160 1329704479.072947 506 506 605 374 376 370
2.089160 1329704479.081799 506 506 605 375 376 370
2.089160 1329704479.090180 506 506 605 374 376 370
2.089160 1329704479.098261 506 505 605 374 376 369
2.114007 1329704479.106646 507 505 605 375 376 370
2.114007 1329704479.114680 506 505 605 375 376 371
2.155052 1329704479.123107 506 506 604 375 375 370
2.186515 1329704479.131611 506 505 605 375 377 370
2.186515 1329704479.140063 506 505 605 374 376 370
2.208893 1329704479.148279 506 505 605 374 376 370
2.238647 1329704479.156633 507 505 604 374 375 370
2.238647 1329704479.164834 506 505 605 374 376 371
2.263763 1329704479.172893 505 506 605 375 376 371
2.297220 1329704479.181649 506 506 605 375 376 370
2.297220 1329704479.190150 507 505 605 374 376 370
2.330429 1329704479.202427 507 505 605 374 377 370
2.355349 1329704479.208542 506 506 605 374 376 370
2.355349 1329704479.221065 505 505 605 375 376 370
2.387706 1329704479.223270 506 506 604 375 376 371
2.413882 1329704479.231378 506 505 605 374 376 370
2.413882 1329704479.240161 506 505 605 375 375 370
2.447046 1329704479.255274 506 505 605 375 376 370
2.480043 1329704479.278081 506 505 605 373 376 370
2.480043 1329704479.281223 506 505 605 375 377 370
2.504382 1329704479.290520 506 506 605 373 376 369
2.543511 1329704479.298435 506 506 605 375 376 369
2.543511 1329704479.307636 506 505 605 375 377 370
2.571817 1329704479.316395 507 506 605 374 376 370
2.593582 1329704479.329236 507 505 605 374 376 370
2.593582 1329704479.342958 506 505 605 374 376 370
2.630548 1329704479.357821 506 506 605 373 377 369
2.654799 1329704479.364637 506 505 605 374 376 370
2.654799 1329704479.373068 506 505 605 375 376 370
2.688324 1329704479.380961 507 505 605 374 376 370
2.717826 1329704479.392077 506 505 605 373 375 369
2.717826 1329704479.397710 506 505 605 373 376 370
2.746772 1329704479.405884 506 505 605 374 376 370
2.788447 1329704479.414747 506 506 605 374 376 371
2.788447 1329704479.422612 506 506 605 374 375 370
2.805213 1329704479.430507 506 505 605 373 376 370
2.838193 1329704479.439977 506 505 605 374 377 371
2.838193 1329704479.447518 507 505 605 375 376 370
2.871909 1329704479.455857 506 505 605 374 376 369
2.896641 1329704479.464187 506 506 605 375 376 371
2.896641 1329704479.472472 506 505 605 373 376 370
2.929914 1329704479.480400 506 505 605 375 376 371
2.954984 1329704479.499377 506 505 606 374 376 369
2.954984 1329704479.513062 506 506 605 373 377 370
2.988179 1329704479.515113 506 506 605 374 376 370
3.013704 1329704479.522328 506 505 604 375 376 371
3.013704 1329704479.530806 506 505 605 375 376 370
3.043511 1329704479.538607 506 505 605 374 376 370
3.079559 1329704479.547257 506 505 605 374 376 370
3.079559 1329704479.555512 506 505 605 375 377 370
3.104740 1329704479.563615 506 505 605 375 376 369
3.146398 1329704479.572005 506 506 605 375 376 371
3.146398 1329704479.597018 506 505 605 374 375 371
3.188077 1329704479.599046 506 506 605 374 375 370
3.188077 1329704479.605310 507 505 605 374 377 370
3.229663 1329704479.615179 506 505 605 374 377 370
3.229663 1329704479.635580 506 506 605 374 376 369
3.265886 1329704479.638822 506 506 604 374 375 371
3.265886 1329704479.647203 506 505 605 375 376 370
3.304531 1329704479.655362 506 505 605 374 376 370
3.304531 1329704479.663836 506 505 605 373 377 370
3.346020 1329704479.671960 506 505 605 373 377 370
3.346020 1329704479.684457 506 505 605 374 375 371
3.388136 1329704479.688559 505 506 604 374 376 370
3.388136 1329704479.697121 505 506 605 377 378 370
3.426426 1329704479.705922 506 505 605 372 374 371
3.426426 1329704479.714002 508 504 604 374 377 370
3.472693 1329704479.722153 507 505 606 375 378 369
3.472693 1329704479.730327 501 508 607 376 378 370
3.505985 1329704479.738776 501 509 602 387 393 372
3.505985 1329704479.747112 493 512 608 381 385 364
3.546442 1329704479.755260 514 501 602 395 403 370
3.546442 1329704479.763884 511 501 609 402 412 378
3.587630 1329704479.771805 512 506 604 400 414 383
3.587630 1329704479.784756 520 511 611 405 425 385
3.630744 1329704479.788766 524 511 617 398 433 379
3.630744 1329704479.796985 524 506 633 389 426 378
3.670908 1329704479.805100 525 508 641 375 415 375
3.670908 1329704479.814183 527 514 642 368 408 373
3.712205 1329704479.821687 526 512 639 373 387 375
3.750796 1329704479.834666 528 511 636 363 368 381
3.787551 1329704479.838660 529 510 629 363 347 385
3.813183 1329704479.846976 525 511 610 372 340 383
3.847580 1329704479.855277 523 510 603 390 342 379
3.892380 1329704479.863611 520 504 598 401 355 374
3.892380 1329704479.871677 516 501 594 405 370 368
3.920797 1329704479.880749 513 502 596 411 389 383
3.946038 1329704479.888740 518 494 597 401 392 384
3.989423 1329704479.897005 520 491 598 384 383 378
3.989423 1329704479.904861 515 494 599 371 374 371
4.020663 1329704479.914017 516 498 598 369 368 368
4.046434 1329704479.921762 516 495 595 371 365 366
4.087824 1329704479.935279 512 497 595 377 363 365
4.087824 1329704479.938507 515 498 593 381 367 367
4.129145 1329704479.947059 512 498 591 382 371 368
4.129145 1329704479.954868 513 495 594 384 372 371
4.171061 1329704479.963399 515 490 598 380 371 370
4.171061 1329704479.971898 512 488 601 370 371 373
4.204426 1329704479.979866 509 493 601 367 367 376
4.204426 1329704479.988615 514 493 599 362 369 378
4.246033 1329704479.996758 510 494 598 364 377 376
4.246033 1329704480.004709 510 498 597 369 392 374
4.304354 1329704480.013749 512 497 595 375 401 370
4.304354 1329704480.021755 515 495 594 381 395 363
4.329039 1329704480.034701 512 491 596 381 385 355
4.329039 1329704480.038439 507 491 599 374 377 356
4.370520 1329704480.046869 502 491 603 370 373 359
4.370520 1329704480.055714 500 493 606 362 374 369
4.412102 1329704480.063388 502 486 605 353 371 377
4.412102 1329704480.072594 503 492 605 350 362 378
4.445737 1329704480.084522 506 494 601 351 360 379
4.445737 1329704480.088348 508 493 597 357 353 376
4.487411 1329704480.096821 507 497 597 366 345 374
4.487411 1329704480.104845 505 495 596 364 338 371
4.528955 1329704480.113393 506 495 596 357 331 373
4.528955 1329704480.121697 508 500 596 351 333 379
4.570276 1329704480.130779 511 495 595 342 360 370
4.570276 1329704480.142269 507 503 591 343 384 359
