imu_t vicon_t roll pitch yaw
2.089160 1329704478.124245 0 0 0
2.114007 1329704478.274817 0 0 0
2.155052 1329704478.282451 0 0 0
2.155052 1329704478.290750 0 0 0
2.186515 1329704478.298873 0 0 0
2.208893 1329704478.310025 0 0 0
2.208893 1329704478.315493 0 0 0
2.238647 1329704478.324040 0 0 0
2.263763 1329704478.332466 0 0 0
2.263763 1329704478.341390 0 0 0
2.297220 1329704478.349094 0 0 0
2.330429 1329704478.356835 0 0 0
2.330429 1329704478.365523 0 0 0
2.355349 1329704478.374693 0 0 0
2.387706 1329704478.382352 0 0 0
2.387706 1329704478.391247 0 0 0
2.413882 1329704478.398854 0 0 0
2.447046 1329704478.406861 0 0 0
2.447046 1329704478.418808 0 0 0
2.480043 1329704478.425746 0 0 0
2.504382 1329704478.432251 0 0 0
2.504382 1329704478.440495 0 0 0
2.543511 1329704478.449155 0 0 0
2.571817 1329704478.457458 0 0 0
2.571817 1329704478.472664 0 0 0
2.593582 1329704478.484842 0 0 0
2.630548 1329704478.491440 0 0 0
2.630548 1329704478.498740 0 0 0
2.654799 1329704478.507036 0 0 0
2.688324 1329704478.515418 0 0 0
2.688324 1329704478.524355 0 0 0
2.717826 1329704478.532102 0 0 0
2.746772 1329704478.540606 0 0 0
2.746772 1329704478.548838 0 0 0
2.788447 1329704478.556917 0 0 0
2.805213 1329704478.565357 0 0 0
2.805213 1329704478.573648 0 0 0
2.838193 1329704478.582015 0 0 0
2.871909 1329704478.590407 0 0 0
2.871909 1329704478.598394 0 0 0
2.896641 1329704478.606865 0 0 0
2.929914 1329704478.615344 0 0 0
2.929914 1329704478.623476 0 0 0
2.954984 1329704478.632000 0 0 0
2.988179 1329704478.640392 0 0 0
2.988179 1329704478.648467 0 0 0
3.013704 1329704478.656924 0 0 0
3.043511 1329704478.665228 0 0 0
3.043511 1329704478.673556 0 0 0
3.079559 1329704478.681792 0 0 0
3.104740 1329704478.690338 0 0 0
3.104740 1329704478.698321 0 0 0
3.146398 1329704478.707057 0 0 0
3.146398 1329704478.715190 0 0 0
3.188077 1329704478.723383 0 0 0
3.188077 1329704478.731759 0 0 0
3.229663 1329704478.740267 0 0 0
3.229663 1329704478.748419 0 0 0
3.265886 1329704478.756752 0 0 0
3.265886 1329704478.765248 0 0 0
3.304531 1329704478.773358 0 0 0
3.304531 1329704478.781700 0 0 0
3.346020 1329704478.790186 0 0 0
3.346020 1329704478.798309 0 0 0
3.388136 1329704478.806849 0 0 0
3.388136 1329704478.815234 0 0 0
3.426426 1329704478.823372 0 0 0
3.426426 1329704478.831717 0 0 0
3.472693 1329704478.840249 0 0 0
3.472693 1329704478.848439 0 0 0
3.505985 1329704478.856744 0 0 0
3.505985 1329704478.865483 0 0 0
3.546442 1329704478.875518 0 0 0
3.546442 1329704478.882563 0 1 0
3.587630 1329704478.890110 1 2 0
3.587630 1329704478.898338 1 3 0
3.630744 1329704478.906487 2 4 0
3.630744 1329704478.914985 2 5 1
3.670908 1329704478.923348 2 5 1
3.670908 1329704478.937255 2 6 1
3.712205 1329704478.942663 1 6 1
3.712205 1329704478.957170 1 7 1
3.750796 1329704478.969184 1 7 1
3.750796 1329704478.974899 1 6 1
3.787551 1329704478.987596 1 6 2
3.787551 1329704478.990168 1 5 2
3.813183 1329704479.002550 0 5 2
3.847580 1329704479.007157 0 4 2
3.847580 1329704479.015041 1 3 3
3.892380 1329704479.023121 1 3 3
3.892380 1329704479.031779 2 3 3
3.920797 1329704479.040129 2 3 3
3.946038 1329704479.048437 3 3 3
3.946038 1329704479.056617 4 4 3
3.989423 1329704479.065153 4 4 3
3.989423 1329704479.072947 4 4 3
4.020663 1329704479.081799 4 4 3
4.046434 1329704479.090180 3 3 3
4.046434 1329704479.098261 3 3 3
4.087824 1329704479.106646 3 3 3
4.087824 1329704479.114680 4 3 3
4.129145 1329704479.123107 4 3 3
4.129145 1329704479.131611 4 3 3
4.171061 1329704479.140063 4 2 3
4.171061 1329704479.148279 4 2 3
4.204426 1329704479.156633 4 2 3
4.204426 1329704479.164834 4 2 3
4.246033 1329704479.172893 3 2 3
4.246033 1329704479.181649 3 2 4
4.304354 1329704479.190150 3 3 4
4.304354 1329704479.202427 4 3 3
4.329039 1329704479.208542 4 3 3
4.329039 1329704479.221065 4 3 3
4.370520 1329704479.223270 3 3 3
4.370520 1329704479.231378 3 3 3
4.412102 1329704479.240161 3 3 3
4.412102 1329704479.255274 2 3 3
4.445737 1329704479.278081 2 2 3
4.445737 1329704479.281223 2 2 3
4.487411 1329704479.290520 2 1 3
4.487411 1329704479.298435 1 0 3
4.528955 1329704479.307636 1 0 3
4.528955 1329704479.316395 1 0 3
4.570276 1329704479.329236 0 0 3
4.570276 1329704479.342958 0 0 3
4.612338 1329704479.357821 0 0 3
4.612338 1329704479.364637 0 0 3
4.645806 1329704479.373068 -1 1 2
4.645806 1329704479.380961 -1 2 2
4.689296 1329704479.392077 -2 2 2
4.689296 1329704479.397710 -2 2 2
4.729298 1329704479.405884 -1 2 2
4.729298 1329704479.414747 -1 2 2
4.765431 1329704479.422612 0 1 2
4.765431 1329704479.430507 0 1 1
4.804555 1329704479.439977 1 1 1
4.804555 1329704479.447518 3 1 1
4.844995 1329704479.455857 4 1 1
4.844995 1329704479.464187 5 1 1
4.886775 1329704479.472472 5 1 0
4.886775 1329704479.480400 4 1 0
4.928241 1329704479.499377 3 0 0
4.928241 1329704479.513062 2 0 0
4.970172 1329704479.515113 2 0 0
4.970172 1329704479.522328 1 0 0
5.011973 1329704479.530806 1 -1 0
5.011973 1329704479.538607 2 -1 0
5.045017 1329704479.547257 3 -1 0
5.045017 1329704479.555512 3 -1 0
5.087766 1329704479.563615 4 -1 0
5.087766 1329704479.572005 4 -1 0
5.128280 1329704479.597018 4 -1 0
5.128280 1329704479.599046 4 -1 0
5.170412 1329704479.605310 4 -1 0
5.170412 1329704479.615179 3 -1 0
5.211557 1329704479.635580 3 -1 0
5.211557 1329704479.638822 3 -1 0
5.244466 1329704479.647203 3 0 -1
5.244466 1329704479.655362 3 0 -1
5.286441 1329704479.663836 3 0 -1
5.286441 1329704479.671960 3 0 -1
5.327868 1329704479.684457 3 0 -1
5.327868 1329704479.688559 3 0 -1
5.369882 1329704479.697121 3 0 -1
5.369882 1329704479.705922 3 0 -1
5.411035 1329704479.714002 4 0 -1
5.411035 1329704479.722153 4 0 -1
5.444889 1329704479.730327 5 0 -1
5.444889 1329704479.738776 7 1 -1
