vicon_t u v w x y z
1329704478.124245 2.977258 0.918457 0.048528 996.571960 522.583252 763.547729
1329704478.274817 2.977281 0.918475 0.048570 996.570007 522.592224 763.549805
1329704478.282451 2.977285 0.918523 0.048643 996.571533 522.601135 763.527344
1329704478.290750 2.977263 0.918539 0.048661 996.569763 522.594482 763.541077
1329704478.298873 2.977274 0.918521 0.048798 996.576294 522.594666 763.523193
1329704478.310025 2.977248 0.918600 0.048806 996.591614 522.585571 763.524963
1329704478.315493 2.977200 0.918632 0.048681 996.595154 522.575073 763.528137
1329704478.324040 2.977182 0.918615 0.048636 996.594727 522.570190 763.520935
1329704478.332466 2.977116 0.918691 0.048423 996.597595 522.555725 763.521606
1329704478.341390 2.977151 0.918636 0.048401 996.588013 522.546631 763.510681
1329704478.349094 2.977080 0.918632 0.048407 996.579834 522.542542 763.505920
1329704478.356835 2.977216 0.918602 0.048554 996.561829 522.559937 763.472351
1329704478.365523 2.977236 0.918530 0.048488 996.546753 522.567444 763.496948
1329704478.374693 2.977306 0.918427 0.048558 996.543091 522.581787 763.481567
1329704478.382352 2.977332 0.918401 0.048758 996.560059 522.581787 763.481750
1329704478.391247 2.977407 0.918370 0.048739 996.574219 522.581177 763.482056
1329704478.398854 2.977392 0.918475 0.048810 996.600159 522.566101 763.477661
1329704478.406861 2.977342 0.918542 0.048703 996.614685 522.551941 763.491638
1329704478.418808 2.977325 0.918659 0.048694 996.627319 522.540161 763.481812
1329704478.425746 2.977276 0.918660 0.048604 996.616211 522.518799 763.482910
1329704478.432251 2.977264 0.918704 0.048521 996.615662 522.512634 763.483154
1329704478.440495 2.977305 0.918756 0.048599 996.611023 522.508301 763.471924
1329704478.449155 2.977252 0.918662 0.048491 996.592346 522.511047 763.489441
1329704478.457458 2.977315 0.918582 0.048552 996.580017 522.522766 763.458191
1329704478.472664 2.977320 0.918491 0.048638 996.572937 522.536072 763.455322
1329704478.484842 2.977375 0.918427 0.048688 996.569397 522.546875 763.433044
1329704478.491440 2.977392 0.918496 0.048639 996.576477 522.552551 763.398560
1329704478.498740 2.977385 0.918461 0.048643 996.573181 522.545898 763.406921
1329704478.507036 2.977314 0.918581 0.048566 996.587646 522.528809 763.409729
1329704478.515418 2.977397 0.918515 0.048601 996.582336 522.518799 763.410400
1329704478.524355 2.977371 0.918629 0.048613 996.603210 522.508057 763.437500
1329704478.532102 2.977377 0.918735 0.048547 996.610168 522.493042 763.438538
1329704478.540606 2.977344 0.918684 0.048590 996.606934 522.487976 763.446106
1329704478.548838 2.977426 0.918685 0.048633 996.608154 522.484375 763.432129
1329704478.556917 2.977503 0.918599 0.048605 996.593445 522.489014 763.431274
1329704478.565357 2.977522 0.918558 0.048577 996.593140 522.492676 763.424377
1329704478.573648 2.977489 0.918511 0.048636 996.579041 522.491272 763.410889
1329704478.582015 2.977494 0.918462 0.048356 996.563965 522.502930 763.412476
1329704478.590407 2.977484 0.918499 0.048572 996.570251 522.521240 763.387451
1329704478.598394 2.977458 0.918499 0.048456 996.567566 522.527161 763.404724
1329704478.606865 2.977417 0.918535 0.048581 996.577820 522.526550 763.395386
1329704478.615344 2.977357 0.918478 0.048552 996.580139 522.529175 763.412842
1329704478.623476 2.977369 0.918558 0.048616 996.596985 522.523315 763.409729
1329704478.632000 2.977363 0.918561 0.048588 996.601929 522.514648 763.412415
1329704478.640392 2.977397 0.918607 0.048635 996.609680 522.500610 763.415588
1329704478.648467 2.977350 0.918672 0.048648 996.611755 522.495789 763.421753
1329704478.656924 2.977449 0.918544 0.048579 996.589355 522.489746 763.420227
1329704478.665228 2.977445 0.918597 0.048577 996.605774 522.492065 763.420837
1329704478.673556 2.977489 0.918581 0.048739 996.603455 522.506287 763.412720
1329704478.681792 2.977511 0.918517 0.048664 996.593201 522.511597 763.424683
1329704478.690338 2.977455 0.918491 0.048595 996.592957 522.524170 763.418152
1329704478.698321 2.977453 0.918497 0.048576 996.590942 522.533264 763.403992
1329704478.707057 2.977456 0.918483 0.048534 996.593384 522.534180 763.406433
1329704478.715190 2.977435 0.918496 0.048675 996.597473 522.535217 763.382935
1329704478.723383 2.977448 0.918455 0.048551 996.597961 522.526855 763.408997
1329704478.731759 2.977377 0.918568 0.048592 996.609680 522.515137 763.413452
