imu_t vicon_t roll pitch yaw
1.510504 1329940002.501752 0 0 0
1.543485 1329940002.526959 0 0 0
1.568539 1329940002.584689 0 0 0
1.568539 1329940002.593388 0 0 0
1.601820 1329940002.601497 0 0 0
1.627033 1329940002.609585 0 0 0
1.627033 1329940002.617877 0 0 0
1.660548 1329940002.626059 0 0 0
1.693488 1329940002.634423 0 0 0
1.693488 1329940002.645066 0 0 0
1.718311 1329940002.670785 0 0 0
1.751983 1329940002.686560 0 0 0
1.751983 1329940002.698329 0 0 0
1.776661 1329940002.708512 0 0 0
1.810033 1329940002.726150 0 0 0
1.810033 1329940002.734062 0 0 0
1.847300 1329940002.745798 0 0 0
1.868372 1329940002.751092 0 0 0
1.868372 1329940002.759124 0 0 0
1.901657 1329940002.767999 0 0 0
1.934709 1329940002.776569 0 0 0
1.934709 1329940002.784802 0 0 0
1.962627 1329940002.804316 0 0 0
1.993094 1329940002.827267 0 0 0
1.993094 1329940002.838174 0 0 0
2.018414 1329940002.842972 0 0 0
2.051299 1329940002.850971 0 0 0
2.051299 1329940002.859425 0 0 0
2.075955 1329940002.867400 0 0 0
2.109760 1329940002.875809 0 0 0
2.109760 1329940002.892617 0 0 0
2.142962 1329940002.901018 0 0 0
2.172782 1329940002.909303 0 0 0
2.172782 1329940002.917204 0 0 0
2.204729 1329940002.931426 0 0 0
2.234277 1329940002.934061 0 0 0
2.234277 1329940002.947110 0 0 0
2.259337 1329940002.950665 0 0 0
2.286783 1329940002.959014 0 0 0
2.286783 1329940002.973647 0 0 0
2.317678 1329940002.975964 0 0 0
2.362197 1329940002.983860 0 0 0
2.362197 1329940002.992372 0 0 0
2.384490 1329940003.000532 0 0 0
2.409059 1329940003.008950 0 0 0
2.409059 1329940003.017031 0 0 0
2.442597 1329940003.025602 0 0 0
2.467382 1329940003.033823 0 0 0
2.467382 1329940003.042178 0 0 0
2.500894 1329940003.050577 0 0 0
2.534154 1329940003.059005 0 0 0
2.534154 1329940003.071278 0 0 0
2.588101 1329940003.077068 0 0 0
2.588101 1329940003.083923 0 0 0
2.609208 1329940003.100136 0 0 0
2.609208 1329940003.102008 0 0 0
2.655690 1329940003.109077 0 0 0
2.655690 1329940003.130551 0 0 0
2.692444 1329940003.133800 0 0 0
2.692444 1329940003.142146 0 0 0
2.733844 1329940003.150642 0 0 0
2.733844 1329940003.158691 0 0 0
2.775649 1329940003.167231 0 0 0
2.775649 1329940003.175285 0 0 0
2.813123 1329940003.192187 0 0 0
2.813123 1329940003.200654 0 0 0
2.850778 1329940003.209086 0 0 0
2.850778 1329940003.217316 0 0 0
2.891942 1329940003.226396 0 0 0
2.891942 1329940003.233789 0 0 0
2.933921 1329940003.242082 0 0 0
2.933921 1329940003.250580 0 0 0
2.967857 1329940003.258855 0 0 0
2.967857 1329940003.267323 0 0 0
3.009024 1329940003.275861 0 0 0
3.009024 1329940003.283793 0 0 0
3.050370 1329940003.295877 0 0 0
3.050370 1329940003.300238 0 0 0
3.091779 1329940003.308815 0 0 0
3.091779 1329940003.321742 0 0 0
3.133595 1329940003.327295 0 0 0
3.133595 1329940003.333757 0 0 0
3.174687 1329940003.342365 0 0 0
3.174687 1329940003.350297 0 0 0
3.208396 1329940003.359692 0 0 0
3.208396 1329940003.367246 0 0 0
3.249362 1329940003.375581 0 0 0
3.249362 1329940003.383692 0 0 0
3.291494 1329940003.392283 0 0 0
3.291494 1329940003.400404 0 0 0
3.335477 1329940003.409159 0 0 0
3.335477 1329940003.417130 0 0 0
3.379564 1329940003.425462 0 0 0
3.379564 1329940003.438024 0 0 0
3.408348 1329940003.442274 0 0 0
3.408348 1329940003.450273 0 0 0
3.450158 1329940003.458926 0 0 0
3.450158 1329940003.466905 0 0 0
3.491546 1329940003.475526 0 0 0
3.491546 1329940003.488501 0 0 0
3.533542 1329940003.492129 0 0 0
3.533542 1329940003.500369 0 0 0
3.577450 1329940003.508869 0 0 0
3.577450 1329940003.517084 0 0 0
3.608354 1329940003.525192 0 0 0
3.608354 1329940003.539161 0 0 0
3.649829 1329940003.552903 0 0 0
3.649829 1329940003.558281 0 0 0
3.691231 1329940003.566992 0 0 0
3.691231 1329940003.575305 0 0 0
3.732989 1329940003.583535 0 0 0
