vicon_t u v w x y z
1329940002.501752 3.094123 0.493167 0.002509 999.996948 508.295410 763.494507
1329940002.526959 3.094218 0.493213 0.002643 999.977539 508.286560 763.539612
1329940002.584689 3.093961 0.493248 0.002783 999.966614 508.293640 763.567932
1329940002.593388 3.093872 0.493335 0.002881 999.981995 508.310974 763.570007
1329940002.601497 3.093886 0.493295 0.002666 999.955811 508.316162 763.577148
1329940002.609585 3.093579 0.493486 0.002651 999.981506 508.365051 763.633789
1329940002.617877 3.094372 0.492947 0.002191 999.854736 508.323242 763.498169
1329940002.626059 3.094379 0.492905 0.002175 999.877014 508.293060 763.574646
1329940002.634423 3.094372 0.492924 0.002173 999.866943 508.291962 763.597046
1329940002.645066 3.094795 0.492292 0.003336 999.724426 508.309479 763.466187
1329940002.670785 3.094666 0.492254 0.003685 999.764709 508.294586 763.561157
1329940002.686560 3.094578 0.492268 0.003914 999.761475 508.294800 763.579468
1329940002.698329 3.094367 0.492429 0.004523 999.821960 508.326111 763.590271
1329940002.708512 3.094253 0.492457 0.004324 999.816040 508.334595 763.595703
1329940002.726150 3.094464 0.492512 0.003338 999.792664 508.344238 763.578125
1329940002.734062 3.094501 0.492442 0.003071 999.763428 508.332458 763.596130
1329940002.745798 3.094547 0.492390 0.002980 999.750183 508.319458 763.595642
1329940002.751092 3.094601 0.492416 0.003009 999.732422 508.310852 763.598755
1329940002.759124 3.094586 0.492265 0.003275 999.700989 508.311096 763.608765
1329940002.767999 3.094524 0.492349 0.003632 999.709961 508.316101 763.614502
1329940002.776569 3.094442 0.492266 0.004089 999.698120 508.318726 763.626709
1329940002.784802 3.094323 0.491989 0.004770 999.719910 508.328003 763.621765
1329940002.804316 3.094210 0.492087 0.005128 999.758484 508.324524 763.638611
1329940002.827267 3.094085 0.492152 0.005144 999.766724 508.320374 763.657043
1329940002.838174 3.094348 0.492374 0.004214 999.773315 508.321869 763.614197
1329940002.842972 3.094458 0.492366 0.003649 999.770081 508.327332 763.607605
1329940002.850971 3.094536 0.492420 0.003255 999.764954 508.333710 763.598083
1329940002.859425 3.094634 0.492434 0.003028 999.750732 508.333954 763.578064
1329940002.867400 3.094666 0.492433 0.002932 999.750366 508.331024 763.584839
1329940002.875809 3.094615 0.492462 0.002969 999.739563 508.338379 763.596008
1329940002.892617 3.094628 0.492330 0.003443 999.718811 508.342621 763.601562
1329940002.901018 3.094517 0.492281 0.004090 999.720703 508.343445 763.603516
1329940002.909303 3.094507 0.491886 0.004569 999.717163 508.340302 763.613586
1329940002.917204 3.094410 0.492148 0.004729 999.742920 508.329071 763.633850
1329940002.931426 3.094254 0.491816 0.005049 999.728455 508.335571 763.636597
1329940002.934061 3.094333 0.492154 0.004838 999.747070 508.325867 763.626831
