imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.548496 1329940002.501752 508 503 605 374 374 370
0.548496 1329940002.526959 508 503 606 374 375 371
0.548496 1329940002.584689 508 503 605 374 375 370
0.548496 1329940002.593388 508 502 606 375 377 370
0.548496 1329940002.601497 507 503 605 374 376 370
0.548496 1329940002.609585 507 503 605 375 378 371
0.607789 1329940002.617877 508 503 605 374 377 370
0.607789 1329940002.626059 508 503 606 375 377 371
0.607789 1329940002.634423 508 503 606 375 378 370
0.607789 1329940002.645066 509 503 605 374 376 371
0.607789 1329940002.670785 508 503 606 374 376 369
0.607789 1329940002.686560 508 502 606 374 376 370
0.669545 1329940002.698329 508 503 605 374 375 370
0.669545 1329940002.708512 508 503 605 373 375 370
0.669545 1329940002.726150 508 502 606 373 374 370
0.669545 1329940002.734062 507 502 606 374 375 370
0.669545 1329940002.745798 508 503 603 373 376 370
0.669545 1329940002.751092 508 503 604 375 377 370
0.727843 1329940002.759124 508 503 606 375 376 370
0.727843 1329940002.767999 508 503 606 374 377 370
0.727843 1329940002.776569 508 502 606 374 376 371
0.727843 1329940002.784802 508 502 605 375 376 370
0.727843 1329940002.804316 507 503 606 375 376 370
0.727843 1329940002.827267 507 503 606 374 376 370
0.799068 1329940002.838174 508 503 604 374 376 370
0.799068 1329940002.842972 508 502 605 374 376 372
0.799068 1329940002.850971 509 503 606 374 377 370
0.799068 1329940002.859425 509 503 605 375 375 371
0.799068 1329940002.867400 509 503 605 374 376 371
0.799068 1329940002.875809 508 502 606 375 377 370
0.852750 1329940002.892617 508 502 606 374 376 370
0.852750 1329940002.901018 507 503 605 375 377 370
0.852750 1329940002.909303 507 503 605 375 376 371
0.852750 1329940002.917204 507 503 605 375 376 371
0.852750 1329940002.931426 508 502 606 374 376 370
0.852750 1329940002.934061 508 502 605 373 375 371
0.915235 1329940002.947110 509 503 605 374 377 370
0.915235 1329940002.950665 509 503 606 374 377 371
0.915235 1329940002.959014 509 503 605 375 377 370
0.915235 1329940002.973647 508 502 605 373 376 370
0.915235 1329940002.975964 508 503 605 374 376 371
0.915235 1329940002.983860 508 503 606 374 377 370
0.969275 1329940002.992372 507 503 605 374 376 369
0.969275 1329940003.000532 507 503 605 373 375 370
0.969275 1329940003.008950 507 503 605 372 375 370
0.969275 1329940003.017031 507 503 605 373 376 371
0.969275 1329940003.025602 508 503 605 374 377 370
0.969275 1329940003.033823 508 503 605 374 376 370
1.030062 1329940003.042178 508 503 605 375 376 371
1.030062 1329940003.050577 509 502 606 374 378 370
1.030062 1329940003.059005 509 502 605 374 377 371
1.030062 1329940003.071278 508 503 606 375 377 370
1.030062 1329940003.077068 508 503 605 374 376 370
1.030062 1329940003.083923 508 503 606 374 375 370
1.097410 1329940003.100136 508 502 606 374 375 370
1.097410 1329940003.102008 507 503 606 374 374 371
1.097410 1329940003.109077 507 503 605 374 374 371
1.097410 1329940003.130551 507 503 605 374 376 371
1.097410 1329940003.133800 507 502 605 374 376 369
1.097410 1329940003.142146 508 503 605 374 377 371
1.158282 1329940003.150642 508 503 605 375 377 370
1.158282 1329940003.158691 508 503 606 375 378 370
1.158282 1329940003.167231 509 502 606 374 378 369
1.158282 1329940003.175285 508 503 606 375 377 370
1.158282 1329940003.192187 508 502 606 374 377 370
1.158282 1329940003.200654 508 503 606 373 376 370
1.218122 1329940003.209086 508 502 605 374 374 371
1.218122 1329940003.217316 508 503 605 374 375 371
1.218122 1329940003.226396 508 503 606 374 375 370
1.218122 1329940003.233789 508 503 605 373 375 371
1.218122 1329940003.242082 508 503 605 375 376 370
1.218122 1329940003.250580 508 503 605 374 376 370
1.271220 1329940003.258855 508 503 605 374 376 371
1.271220 1329940003.267323 508 502 606 375 377 370
1.271220 1329940003.275861 508 502 606 374 377 370
1.271220 1329940003.283793 508 503 606 375 378 370
1.271220 1329940003.295877 508 503 605 373 377 371
1.271220 1329940003.300238 508 503 605 373 376 369
1.327333 1329940003.308815 508 503 605 374 376 371
1.327333 1329940003.321742 508 503 606 374 375 370
1.327333 1329940003.327295 508 503 606 373 375 371
1.327333 1329940003.333757 508 503 606 374 375 369
1.327333 1329940003.342365 508 503 605 374 376 370
1.327333 1329940003.350297 508 503 605 375 377 370
1.393899 1329940003.359692 508 503 605 374 376 371
1.393899 1329940003.367246 508 503 606 374 378 370
1.393899 1329940003.375581 508 503 605 375 377 371
1.393899 1329940003.383692 508 503 605 373 377 370
1.393899 1329940003.392283 508 502 605 374 376 371
1.393899 1329940003.400404 508 503 605 373 376 370
1.456771 1329940003.409159 508 503 606 373 376 371
1.456771 1329940003.417130 508 503 605 374 376 370
1.456771 1329940003.425462 508 503 605 375 375 370
1.456771 1329940003.438024 508 502 605 374 376 371
1.456771 1329940003.442274 508 503 606 374 376 370
1.456771 1329940003.450273 508 502 606 375 375 370
1.510504 1329940003.458926 508 503 606 374 377 371
1.510504 1329940003.466905 507 503 605 374 376 370
1.510504 1329940003.475526 507 503 605 375 377 370
1.510504 1329940003.488501 508 503 605 374 378 370
1.510504 1329940003.492129 508 503 605 374 376 371
1.543485 1329940003.500369 508 503 605 375 376 371
1.543485 1329940003.508869 508 503 605 375 376 370
1.568539 1329940003.517084 508 503 605 373 376 370
1.601820 1329940003.525192 508 503 606 374 376 370
1.601820 1329940003.539161 508 503 605 374 376 370
1.627033 1329940003.552903 508 503 605 374 376 371
1.660548 1329940003.558281 508 503 605 374 376 371
1.660548 1329940003.566992 508 503 606 375 377 371
1.693488 1329940003.575305 508 502 606 375 376 371
1.718311 1329940003.583535 508 503 606 374 376 370
1.718311 1329940003.592048 508 503 605 375 376 370
1.751983 1329940003.609034 508 503 606 374 376 370
1.776661 1329940003.620096 508 503 605 375 377 370
1.776661 1329940003.625410 508 503 606 374 377 370
1.810033 1329940003.633488 508 503 605 375 376 370
1.847300 1329940003.641962 508 503 606 375 376 370
