imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.846466 1329939686.305692 507 502 606 374 376 370
0.913229 1329939686.320012 507 502 605 375 376 370
0.913229 1329939686.333997 507 502 605 373 376 370
0.913229 1329939686.348383 507 502 605 374 377 369
0.913229 1329939686.355657 508 502 605 374 378 371
0.913229 1329939686.364280 508 502 605 374 377 370
0.913229 1329939686.372511 509 502 605 373 377 370
0.971183 1329939686.380866 509 503 606 373 376 370
0.971183 1329939686.394145 508 502 605 375 376 370
0.971183 1329939686.397410 507 502 605 374 376 370
0.971183 1329939686.405698 507 502 605 375 375 370
0.971183 1329939686.413784 506 502 605 374 376 370
0.971183 1329939686.422405 507 502 605 375 376 370
1.033284 1329939686.430667 507 502 605 374 377 370
1.033284 1329939686.438823 508 502 606 375 377 370
1.033284 1329939686.447229 509 502 605 374 376 371
1.033284 1329939686.455809 509 502 605 374 376 370
1.033284 1329939686.463471 509 502 605 374 376 370
1.033284 1329939686.472228 508 502 605 373 375 370
1.091496 1329939686.480473 508 502 605 373 376 371
1.091496 1329939686.488922 507 502 605 374 376 369
1.091496 1329939686.507246 507 502 605 375 377 370
1.091496 1329939686.513995 507 502 605 374 376 370
1.091496 1329939686.521859 508 502 605 375 376 371
1.091496 1329939686.530462 508 502 605 374 377 370
1.154470 1329939686.538795 508 502 605 375 376 370
1.154470 1329939686.547307 508 502 606 374 375 370
1.154470 1329939686.566740 508 502 605 374 376 371
1.154470 1329939686.572298 507 502 605 374 377 370
1.154470 1329939686.580229 508 502 605 374 376 370
1.154470 1329939686.588843 508 502 605 375 377 371
1.212808 1329939686.597186 508 502 605 374 377 370
1.212808 1329939686.605468 508 502 605 375 377 371
1.212808 1329939686.613914 508 502 606 373 377 370
1.212808 1329939686.621910 508 502 605 374 376 369
1.212808 1329939686.630292 507 502 606 374 375 371
1.212808 1329939686.638771 507 502 606 374 377 370
1.270869 1329939686.647078 507 502 605 374 375 369
1.270869 1329939686.655310 508 502 605 374 376 369
1.270869 1329939686.664083 508 502 606 374 377 370
1.270869 1329939686.692954 508 502 605 374 376 371
1.270869 1329939686.715996 508 502 605 375 376 370
1.270869 1329939686.739882 509 502 605 374 376 370
1.328827 1329939686.753920 508 502 606 375 375 370
1.328827 1329939686.756744 508 502 605 375 375 370
1.328827 1329939686.763638 508 502 605 374 376 370
1.328827 1329939686.771763 507 502 606 374 376 370
1.328827 1329939686.779922 507 502 605 374 376 370
1.328827 1329939686.788773 507 502 605 374 376 370
1.395850 1329939686.796922 508 502 605 374 376 370
1.395850 1329939686.805228 508 502 606 373 377 371
1.395850 1329939686.813744 508 502 605 374 376 370
1.395850 1329939686.821798 508 502 605 374 376 370
1.395850 1329939686.834776 507 502 607 374 376 370
1.395850 1329939686.838719 508 502 606 375 376 370
1.454275 1329939686.846755 508 502 606 373 377 370
1.454275 1329939686.855099 508 502 606 373 377 371
1.454275 1329939686.863627 509 502 605 374 376 371
1.454275 1329939686.871765 508 502 606 374 378 370
1.454275 1329939686.887685 508 502 604 374 376 370
1.454275 1329939686.890541 508 502 606 374 376 370
1.518023 1329939686.896914 508 502 605 374 375 370
1.518023 1329939686.905090 507 502 605 374 376 370
1.518023 1329939686.913501 506 502 605 374 376 370
1.518023 1329939686.921924 507 502 605 374 376 370
1.518023 1329939686.935973 507 502 605 374 376 371
1.518023 1329939686.938798 507 502 605 374 376 371
1.608464 1329939686.946721 508 502 605 375 377 371
1.608464 1329939686.954751 508 502 606 373 376 371
1.608464 1329939686.963756 509 502 605 374 377 370
1.608464 1329939686.971679 509 502 606 375 376 370
1.608464 1329939686.980036 509 503 605 375 376 371
1.608464 1329939686.988610 509 503 606 374 376 369
1.628933 1329939686.996879 508 502 605 373 376 370
1.628933 1329939687.004565 507 502 605 375 376 370
1.628933 1329939687.013307 507 502 605 375 375 370
1.628933 1329939687.021533 506 502 605 373 376 369
1.628933 1329939687.030087 506 502 605 375 376 370
1.628933 1329939687.038452 507 502 605 375 376 371
1.695605 1329939687.046609 507 502 606 374 377 370
1.695605 1329939687.054516 508 502 606 374 377 371
1.695605 1329939687.069424 509 502 605 375 377 370
1.695605 1329939687.072881 509 502 606 374 376 370
1.695605 1329939687.086606 509 502 606 373 376 370
1.695605 1329939687.089597 508 502 606 375 376 370
1.753915 1329939687.096810 508 502 605 374 376 370
1.753915 1329939687.104535 508 502 605 374 376 370
1.753915 1329939687.113292 507 502 606 374 376 370
1.753915 1329939687.121299 506 502 605 375 376 370
1.753915 1329939687.129805 506 502 605 374 376 370
1.753915 1329939687.138405 507 502 605 374 376 371
1.818130 1329939687.146520 507 502 605 374 377 371
1.818130 1329939687.154537 508 502 606 373 377 371
1.818130 1329939687.163361 509 502 605 374 376 371
1.818130 1329939687.171314 509 502 606 374 376 371
1.818130 1329939687.179877 509 502 606 374 376 370
1.818130 1329939687.190304 508 502 606 374 376 371
1.862120 1329939687.196311 508 502 605 374 375 370
1.862120 1329939687.204499 507 502 605 374 376 369
1.862120 1329939687.213033 507 502 605 374 375 370
1.862120 1329939687.221230 507 502 605 375 376 369
1.895446 1329939687.239491 507 502 605 374 377 371
1.895446 1329939687.240026 508 502 605 374 376 370
1.925283 1329939687.245919 509 502 605 374 377 370
1.953854 1329939687.254152 508 503 606 374 376 370
1.953854 1329939687.262592 508 502 605 374 377 369
1.978755 1329939687.270797 506 502 605 375 376 370
2.011934 1329939687.279128 507 502 605 374 376 370
2.011934 1329939687.287785 508 502 605 373 377 370
2.048343 1329939687.295879 509 502 605 374 376 370
2.073242 1329939687.304239 508 502 605 374 376 369
2.073242 1329939687.312425 507 502 605 375 377 370
2.103686 1329939687.321082 507 502 605 373 376 370
2.128474 1329939687.329199 507 502 606 375 376 371
2.128474 1329939687.341170 508 502 605 374 376 370
2.162037 1329939687.345804 508 502 605 374 377 370
2.194735 1329939687.353869 508 502 605 374 376 370
2.194735 1329939687.362596 508 502 606 374 375 370
2.219881 1329939687.370694 507 502 606 374 375 370
2.247374 1329939687.379333 507 502 606 374 377 370
2.247374 1329939687.399417 508 502 605 374 377 371
2.278486 1329939687.423664 509 502 605 374 376 370
2.313596 1329939687.428975 509 502 605 373 375 371
2.313596 1329939687.436918 507 502 605 375 376 370
2.344953 1329939687.445831 507 502 605 374 376 370
2.369776 1329939687.453889 507 502 605 374 376 370
2.369776 1329939687.462393 508 502 605 374 377 370
2.402595 1329939687.470781 509 502 606 374 376 370
2.428138 1329939687.478735 509 502 606 375 376 370
2.428138 1329939687.486987 508 502 605 374 376 370
2.463236 1329939687.495684 507 502 605 374 377 371
2.496940 1329939687.503960 507 502 606 375 376 370
2.496940 1329939687.512401 507 502 605 375 377 371
2.519615 1329939687.520820 509 502 605 374 376 371
2.554639 1329939687.529079 509 502 606 374 377 371
2.554639 1329939687.536952 508 502 606 373 376 370
2.585051 1329939687.545743 508 502 605 375 376 370
2.611011 1329939687.553955 507 502 605 375 376 370
2.611011 1329939687.562474 508 502 606 374 377 370
2.639836 1329939687.570833 508 502 606 374 377 370
2.669962 1329939687.578787 509 502 606 374 376 370
2.669962 1329939687.587127 508 502 605 374 376 370
2.702899 1329939687.595702 507 502 606 374 375 371
2.727856 1329939687.603901 507 502 605 375 376 370
2.727856 1329939687.612061 507 502 605 374 377 370
2.760776 1329939687.620640 508 502 605 375 376 370
2.794771 1329939687.628844 508 502 606 374 376 370
2.794771 1329939687.636720 508 502 606 374 377 369
