imu_t vicon_t roll pitch yaw
1.862120 1329939686.305692 0 0 0
1.895446 1329939686.320012 0 0 0
1.925283 1329939686.333997 0 0 0
1.925283 1329939686.348383 0 0 0
1.953854 1329939686.355657 0 0 0
1.978755 1329939686.364280 0 0 0
1.978755 1329939686.372511 0 0 0
2.011934 1329939686.380866 0 0 0
2.048343 1329939686.394145 0 0 0
2.048343 1329939686.397410 0 0 0
2.073242 1329939686.405698 0 0 0
2.103686 1329939686.413784 0 0 0
2.103686 1329939686.422405 0 0 0
2.128474 1329939686.430667 0 0 0
2.162037 1329939686.438823 0 0 0
2.162037 1329939686.447229 0 0 0
2.194735 1329939686.455809 0 0 0
2.219881 1329939686.463471 0 0 0
2.219881 1329939686.472228 0 0 0
2.247374 1329939686.480473 0 0 0
2.278486 1329939686.488922 0 0 0
2.278486 1329939686.507246 0 0 0
2.313596 1329939686.513995 0 0 0
2.344953 1329939686.521859 0 0 0
2.344953 1329939686.530462 0 0 0
2.369776 1329939686.538795 0 0 0
2.402595 1329939686.547307 0 0 0
2.402595 1329939686.566740 0 0 0
2.428138 1329939686.572298 0 0 0
2.463236 1329939686.580229 0 0 0
2.463236 1329939686.588843 0 0 0
2.496940 1329939686.597186 0 0 0
2.519615 1329939686.605468 0 0 0
2.519615 1329939686.613914 0 0 0
2.554639 1329939686.621910 0 0 0
2.585051 1329939686.630292 0 0 0
2.585051 1329939686.638771 0 0 0
2.611011 1329939686.647078 0 0 0
2.639836 1329939686.655310 0 0 0
2.639836 1329939686.664083 0 0 0
2.669962 1329939686.692954 0 0 0
2.702899 1329939686.715996 0 0 0
2.702899 1329939686.739882 0 0 0
2.727856 1329939686.753920 0 0 0
2.760776 1329939686.756744 0 0 0
2.760776 1329939686.763638 0 0 0
2.794771 1329939686.771763 0 0 0
2.819289 1329939686.779922 0 0 0
2.819289 1329939686.788773 0 0 0
2.852782 1329939686.796922 0 0 0
2.886002 1329939686.805228 0 0 0
2.886002 1329939686.813744 0 0 0
2.919373 1329939686.821798 0 0 0
2.919373 1329939686.834776 0 0 0
2.960675 1329939686.838719 0 0 0
2.960675 1329939686.846755 0 0 0
3.002354 1329939686.855099 0 0 0
3.002354 1329939686.863627 0 0 0
3.044142 1329939686.871765 0 0 0
3.044142 1329939686.887685 0 0 0
3.085669 1329939686.890541 0 0 0
3.085669 1329939686.896914 0 0 0
3.123804 1329939686.905090 0 0 0
3.123804 1329939686.913501 0 0 0
3.160835 1329939686.921924 0 0 0
3.160835 1329939686.935973 0 0 0
3.202490 1329939686.938798 0 0 0
3.202490 1329939686.946721 0 0 0
3.243895 1329939686.954751 0 0 0
3.243895 1329939686.963756 0 0 0
3.284485 1329939686.971679 0 0 0
3.284485 1329939686.980036 0 0 0
3.326711 1329939686.988610 0 0 0
3.326711 1329939686.996879 0 0 0
3.360646 1329939687.004565 0 0 0
3.360646 1329939687.013307 0 0 0
3.401903 1329939687.021533 0 0 0
3.401903 1329939687.030087 0 0 0
3.445246 1329939687.038452 0 0 0
3.445246 1329939687.046609 0 0 0
3.484983 1329939687.054516 0 0 0
3.484983 1329939687.069424 0 0 0
3.526697 1329939687.072881 0 0 0
3.526697 1329939687.086606 0 0 0
3.560395 1329939687.089597 0 0 0
3.560395 1329939687.096810 0 0 0
3.617259 1329939687.104535 0 0 0
3.617259 1329939687.113292 0 0 0
3.643261 1329939687.121299 0 0 0
3.643261 1329939687.129805 0 0 0
3.685019 1329939687.138405 0 0 0
3.685019 1329939687.146520 0 0 0
3.726970 1329939687.154537 0 0 0
3.726970 1329939687.163361 0 0 0
3.760083 1329939687.171314 0 0 0
3.760083 1329939687.179877 0 0 0
3.802069 1329939687.190304 0 0 0
3.802069 1329939687.196311 0 0 0
3.843232 1329939687.204499 0 0 0
3.843232 1329939687.213033 0 0 0
3.883915 1329939687.221230 0 1 0
3.883915 1329939687.239491 0 1 0
3.929943 1329939687.240026 0 1 0
3.929943 1329939687.245919 0 1 0
3.959630 1329939687.254152 0 0 0
3.959630 1329939687.262592 0 0 0
4.001936 1329939687.270797 0 0 0
4.001936 1329939687.279128 0 -1 -1
4.048453 1329939687.287785 0 -1 -1
4.048453 1329939687.295879 0 -1 -1
4.084762 1329939687.304239 0 -1 -1
4.084762 1329939687.312425 0 -1 -1
4.126119 1329939687.321082 0 -1 -2
4.126119 1329939687.329199 0 -1 -2
4.159811 1329939687.341170 0 -1 -3
4.159811 1329939687.345804 0 -1 -3
4.203414 1329939687.353869 -1 -1 -3
4.203414 1329939687.362596 -1 -1 -4
4.243329 1329939687.370694 -1 -1 -4
4.243329 1329939687.379333 -2 -1 -5
4.285096 1329939687.399417 -2 -1 -5
4.285096 1329939687.423664 -2 -1 -6
4.322396 1329939687.428975 -3 -1 -6
4.322396 1329939687.436918 -3 0 -7
4.360096 1329939687.445831 -3 0 -7
4.360096 1329939687.453889 -3 0 -7
4.402094 1329939687.462393 -3 0 -8
4.402094 1329939687.470781 -3 0 -8
4.443242 1329939687.478735 -4 0 -9
4.443242 1329939687.486987 -4 0 -9
4.485053 1329939687.495684 -4 0 -9
4.485053 1329939687.503960 -4 0 -10
4.526381 1329939687.512401 -4 -1 -10
4.526381 1329939687.520820 -4 -1 -10
4.560023 1329939687.529079 -4 -1 -11
4.560023 1329939687.536952 -4 -2 -11
4.602062 1329939687.545743 -3 -2 -11
4.602062 1329939687.553955 -3 -3 -11
4.643455 1329939687.562474 -3 -3 -11
4.643455 1329939687.570833 -3 -4 -11
4.685480 1329939687.578787 -3 -4 -12
4.685480 1329939687.587127 -3 -5 -12
