vicon_t u v w x y z
1329939686.305692 3.104943 -0.399160 0.007048 987.220215 593.450317 762.118286
1329939686.320012 3.104789 -0.399202 0.007028 987.219543 593.448486 762.176392
1329939686.333997 3.104988 -0.399140 0.007005 987.239624 593.452148 762.127991
1329939686.348383 3.104872 -0.399158 0.007039 987.226868 593.454163 762.147827
1329939686.355657 3.104727 -0.399128 0.007139 987.212830 593.463379 762.122803
1329939686.364280 3.104864 -0.399128 0.007050 987.198914 593.465759 762.096985
1329939686.372511 3.104702 -0.399113 0.007108 987.201355 593.465942 762.144287
1329939686.380866 3.104582 -0.399016 0.007053 987.209961 593.454468 762.155823
1329939686.394145 3.104661 -0.399090 0.007002 987.208984 593.460754 762.134766
1329939686.397410 3.104734 -0.399063 0.006981 987.224121 593.454285 762.135376
1329939686.405698 3.104709 -0.399121 0.006939 987.214417 593.444153 762.132385
1329939686.413784 3.104762 -0.399081 0.007061 987.238403 593.437988 762.115784
1329939686.422405 3.104680 -0.399111 0.007081 987.228333 593.433716 762.130188
1329939686.430667 3.104879 -0.399134 0.007043 987.220093 593.452148 762.083008
1329939686.438823 3.104931 -0.399116 0.007057 987.219849 593.456299 762.088989
1329939686.447229 3.105099 -0.399085 0.007042 987.216797 593.462708 762.087524
1329939686.455809 3.104909 -0.399102 0.007048 987.191040 593.474060 762.137878
1329939686.463471 3.104914 -0.399057 0.007039 987.196167 593.477051 762.117676
1329939686.472228 3.104903 -0.399131 0.007071 987.190186 593.475403 762.122742
1329939686.480473 3.104850 -0.399010 0.006966 987.222656 593.465942 762.137878
1329939686.488922 3.104729 -0.399101 0.007005 987.212646 593.455505 762.141357
1329939686.507246 3.104760 -0.398997 0.007010 987.241882 593.439819 762.119690
1329939686.513995 3.104659 -0.399145 0.007137 987.232483 593.430847 762.131165
1329939686.521859 3.104702 -0.399068 0.007086 987.246399 593.435425 762.120789
1329939686.530462 3.104824 -0.399063 0.007097 987.228333 593.443420 762.094727
1329939686.538795 3.104594 -0.399133 0.007036 987.192322 593.451294 762.134949
1329939686.547307 3.104769 -0.399134 0.007065 987.204102 593.464600 762.081665
1329939686.566740 3.104837 -0.399175 0.007058 987.194580 593.475220 762.091797
1329939686.572298 3.104842 -0.399154 0.007056 987.197327 593.463989 762.101196
1329939686.580229 3.105084 -0.399159 0.006978 987.208374 593.462097 762.080811
1329939686.588843 3.104847 -0.399086 0.007116 987.229553 593.436035 762.156677
1329939686.597186 3.104677 -0.399117 0.007147 987.231995 593.426575 762.162231
