imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.510817 1329949370.831001 506 503 605 374 377 369
0.527514 1329949370.847870 506 503 605 374 377 370
0.600463 1329949370.864510 506 503 605 375 377 370
0.600463 1329949370.872646 506 503 605 374 377 370
0.600463 1329949370.882967 506 503 605 375 376 371
0.600463 1329949370.889229 506 503 605 374 375 370
0.632207 1329949370.908624 506 503 605 375 376 370
0.632207 1329949370.922513 506 503 605 374 376 370
0.632207 1329949370.924763 506 503 605 375 376 370
0.632207 1329949370.930766 506 503 605 374 376 370
0.632207 1329949370.939075 506 503 605 374 377 370
0.632207 1329949370.947474 506 503 605 374 376 370
0.695983 1329949370.955874 506 503 606 375 375 371
0.695983 1329949370.964598 506 503 605 375 376 370
0.695983 1329949370.972563 506 503 605 374 377 371
0.695983 1329949370.980574 506 503 605 374 376 370
0.695983 1329949370.989210 506 503 605 374 376 370
0.695983 1329949370.997154 506 503 605 374 377 371
0.752200 1329949371.005913 506 503 605 374 377 370
0.752200 1329949371.014153 506 503 605 375 376 370
0.752200 1329949371.022761 506 503 605 374 376 370
0.752200 1329949371.030757 506 503 605 374 376 370
0.752200 1329949371.038948 506 503 605 374 376 370
0.752200 1329949371.047595 506 503 605 375 376 370
0.810852 1329949371.055893 506 503 605 373 375 371
0.810852 1329949371.064061 506 503 605 374 376 370
0.810852 1329949371.072275 506 503 606 374 378 371
0.810852 1329949371.080659 506 503 605 374 376 370
0.810852 1329949371.089037 506 503 605 374 375 371
0.810852 1329949371.097289 506 503 605 374 375 370
0.877077 1329949371.105993 506 503 605 374 376 370
0.877077 1329949371.114136 506 503 605 374 377 371
0.877077 1329949371.122339 506 503 605 374 377 370
0.877077 1329949371.130470 506 503 605 374 375 371
0.877077 1329949371.139037 506 503 605 374 376 370
0.877077 1329949371.147227 506 503 605 374 376 370
0.935652 1329949371.155962 506 503 606 374 376 370
0.935652 1329949371.166633 506 503 605 374 376 371
0.935652 1329949371.174268 506 503 605 373 376 370
0.935652 1329949371.180546 506 503 606 375 376 370
0.935652 1329949371.188717 506 503 605 374 377 371
0.935652 1329949371.197279 506 503 605 375 376 370
0.994182 1329949371.205707 507 503 605 373 376 370
0.994182 1329949371.214273 506 503 605 374 376 370
0.994182 1329949371.231749 506 503 606 374 377 371
0.994182 1329949371.239639 506 503 605 375 376 371
0.994182 1329949371.253742 506 503 605 374 376 371
0.994182 1329949371.255567 506 503 605 374 375 371
1.071101 1329949371.264011 506 503 605 373 376 368
