imu_t vicon_t roll pitch yaw
1.538561 1329949370.831001 0 0 0
1.550779 1329949370.847870 0 0 0
1.584671 1329949370.864510 0 0 0
1.584671 1329949370.872646 0 0 0
1.610248 1329949370.882967 0 0 0
1.643415 1329949370.889229 0 0 0
1.643415 1329949370.908624 0 0 0
1.668528 1329949370.922513 0 0 0
1.701881 1329949370.924763 0 0 0
1.701881 1329949370.930766 0 0 0
1.734809 1329949370.939075 0 0 0
1.760247 1329949370.947474 0 0 0
1.760247 1329949370.955874 0 0 0
1.793386 1329949370.964598 0 0 0
1.826084 1329949370.972563 0 0 0
1.826084 1329949370.980574 0 0 0
1.854855 1329949370.989210 0 0 0
1.884733 1329949370.997154 0 0 0
1.884733 1329949371.005913 0 0 0
1.915609 1329949371.014153 0 0 0
1.943379 1329949371.022761 0 0 0
1.943379 1329949371.030757 0 0 0
1.968295 1329949371.038948 0 0 0
2.001452 1329949371.047595 0 0 0
2.001452 1329949371.055893 0 0 0
2.034184 1329949371.064061 0 0 0
2.064708 1329949371.072275 0 0 0
2.064708 1329949371.080659 0 0 0
2.092942 1329949371.089037 0 0 0
2.126020 1329949371.097289 0 0 0
2.126020 1329949371.105993 0 0 0
2.151347 1329949371.114136 0 0 0
2.183751 1329949371.122339 0 0 0
2.183751 1329949371.130470 0 0 0
2.209350 1329949371.139037 0 0 0
2.242882 1329949371.147227 0 0 0
2.242882 1329949371.155962 0 0 0
2.276287 1329949371.166633 0 0 0
2.301299 1329949371.174268 0 0 0
2.301299 1329949371.180546 0 0 0
2.329749 1329949371.188717 0 0 0
2.359287 1329949371.197279 0 0 0
2.359287 1329949371.205707 0 0 0
2.392366 1329949371.214273 0 0 0
2.425602 1329949371.231749 0 0 0
2.425602 1329949371.239639 0 0 0
2.450670 1329949371.253742 0 0 0
2.479673 1329949371.255567 0 0 0
2.479673 1329949371.264011 0 0 0
2.516481 1329949371.294114 0 0 0
2.542190 1329949371.297426 0 0 0
2.542190 1329949371.310478 0 0 0
2.585851 1329949371.319320 0 0 0
2.585851 1329949371.326801 0 0 0
2.611597 1329949371.330427 0 0 0
2.641999 1329949371.348440 0 0 0
2.641999 1329949371.355548 0 0 0
2.683757 1329949371.363794 0 0 0
2.683757 1329949371.372314 0 0 0
2.708951 1329949371.380769 0 0 0
2.741776 1329949371.388926 0 0 0
2.741776 1329949371.399355 0 0 0
2.784218 1329949371.411397 0 0 0
2.784218 1329949371.445183 0 0 0
2.825129 1329949371.456929 0 0 0
2.825129 1329949371.464230 0 0 0
2.860297 1329949371.476922 0 0 0
2.860297 1329949371.488406 0 0 0
2.900169 1329949371.490391 0 0 0
2.900169 1329949371.497581 0 0 0
2.941785 1329949371.505440 0 0 0
2.941785 1329949371.513712 0 0 0
2.983509 1329949371.521979 0 0 0
2.983509 1329949371.530770 0 0 0
3.024782 1329949371.540641 0 0 0
3.024782 1329949371.546888 0 0 0
3.066575 1329949371.555335 0 0 0
3.066575 1329949371.563874 0 0 0
3.108389 1329949371.571966 0 1 0
3.108389 1329949371.580473 0 1 0
3.141798 1329949371.589039 0 1 0
3.141798 1329949371.596930 0 0 0
3.183116 1329949371.605451 -1 0 0
3.183116 1329949371.613635 -1 0 0
3.225260 1329949371.621925 -1 -1 0
3.225260 1329949371.630723 -1 -1 0
3.283628 1329949371.638719 -1 -2 0
3.283628 1329949371.647148 -1 -2 0
3.306637 1329949371.655442 -1 -2 0
3.306637 1329949371.666765 -1 -1 0
3.341857 1329949371.671716 -1 -1 0
3.341857 1329949371.680458 -1 -1 0
3.384469 1329949371.688558 -1 0 0
3.384469 1329949371.697003 -1 0 0
3.425669 1329949371.705142 -1 0 -1
3.425669 1329949371.713568 -1 0 -1
3.466809 1329949371.721739 -1 0 -1
3.466809 1329949371.730567 0 0 -1
3.508611 1329949371.747352 0 1 -1
3.508611 1329949371.755205 0 1 -1
3.541480 1329949371.763547 0 1 -2
3.541480 1329949371.771709 0 2 -2
3.583267 1329949371.780239 0 2 -2
3.583267 1329949371.788659 -1 3 -2
3.624902 1329949371.796591 -1 3 -2
3.624902 1329949371.805315 -1 3 -2
3.666873 1329949371.813554 -2 3 -2
3.666873 1329949371.821493 -2 3 -2
3.708547 1329949371.830016 -2 3 -2
3.708547 1329949371.838787 -2 3 -2
3.741419 1329949371.847541 -1 3 -3
3.741419 1329949371.855169 -1 3 -3
3.783165 1329949371.863275 -1 3 -3
3.783165 1329949371.871402 0 3 -3
3.824783 1329949371.879774 0 4 -3
3.824783 1329949371.888568 1 4 -3
3.866694 1329949371.915785 1 4 -3
3.866694 1329949371.927953 1 4 -3
3.908337 1329949371.931926 1 4 -3
3.908337 1329949371.938604 1 5 -2
3.941263 1329949371.946443 1 5 -2
3.941263 1329949371.954988 1 5 -2
3.982828 1329949371.962780 0 5 -2
3.982828 1329949371.974479 0 5 -2
4.025098 1329949372.007817 0 5 -2
4.025098 1329949372.018763 0 4 -2
4.066524 1329949372.021329 -1 4 -1
4.066524 1329949372.029712 -1 4 -1
4.108053 1329949372.037731 -1 4 -1
4.108053 1329949372.046559 -1 4 -1
4.141481 1329949372.055001 -2 3 -1
4.141481 1329949372.062946 -2 3 -1
4.183405 1329949372.071004 -2 3 -1
4.183405 1329949372.079573 -2 2 -1
4.222434 1329949372.087891 -2 2 -1
4.222434 1329949372.096563 -2 1 -1
4.266490 1329949372.104967 -1 1 -1
4.266490 1329949372.114208 -1 0 -1
4.307780 1329949372.121082 -1 0 0
4.307780 1329949372.129518 -1 0 0
4.341075 1329949372.137799 -1 0 0
4.341075 1329949372.146486 -1 0 0
4.383043 1329949372.154839 -1 0 0
4.383043 1329949372.165007 -2 0 0
4.424921 1329949372.196465 -2 0 0
4.424921 1329949372.207609 -2 1 0
4.466031 1329949372.212613 -2 1 0
4.466031 1329949372.221371 -2 1 0
4.507950 1329949372.229819 -2 1 -1
4.507950 1329949372.237756 -2 1 -1
4.541332 1329949372.254645 -2 1 -1
4.541332 1329949372.278133 -2 1 -1
4.582710 1329949372.300437 -2 1 -1
4.582710 1329949372.323917 -2 1 -1
4.624497 1329949372.337751 -2 1 -1
4.624497 1329949372.351547 -2 1 -1
4.668583 1329949372.383323 -2 1 0
4.668583 1329949372.395398 -3 1 0
4.707674 1329949372.399697 -3 1 0
4.707674 1329949372.404923 -3 1 0
4.740764 1329949372.413146 -3 0 0
4.740764 1329949372.421391 -3 0 0
4.785095 1329949372.429424 -3 0 0
4.785095 1329949372.437855 -3 0 0
4.824080 1329949372.445904 -3 0 0
4.824080 1329949372.455011 -3 0 0
4.866025 1329949372.463068 -3 0 0
4.866025 1329949372.471056 -3 0 0
4.907212 1329949372.479373 -3 0 0
4.907212 1329949372.488062 -2 0 0
4.943935 1329949372.496080 -2 0 0
4.943935 1329949372.504833 -2 0 0
4.985849 1329949372.513162 -2 0 0
4.985849 1329949372.521298 -3 0 0
5.023830 1329949372.529528 -3 0 0
5.023830 1329949372.537936 -3 0 0
5.065458 1329949372.546517 -3 0 0
5.065458 1329949372.554815 -3 1 0
5.107104 1329949372.563210 -3 1 0
