vicon_t u v w x y z
1329949370.831001 3.128677 -0.090132 0.035642 968.322876 624.998413 761.593384
1329949370.847870 3.128539 -0.090276 0.035664 968.309937 624.981628 761.619873
1329949370.864510 3.128560 -0.090221 0.035739 968.321777 624.977661 761.604614
1329949370.872646 3.128688 -0.090243 0.035519 968.312317 624.973755 761.604187
1329949370.882967 3.128734 -0.090312 0.035608 968.309204 624.981262 761.608154
1329949370.889229 3.128597 -0.090269 0.035515 968.313721 624.979980 761.639832
1329949370.908624 3.128437 -0.090291 0.035315 968.304993 624.977966 761.649780
1329949370.922513 3.128483 -0.090353 0.035406 968.324951 624.984070 761.621948
1329949370.924763 3.128545 -0.090591 0.035201 968.300598 624.971619 761.616699
1329949370.930766 3.128644 -0.090586 0.035265 968.328674 624.960938 761.596069
1329949370.939075 3.128552 -0.090512 0.035271 968.319702 624.960876 761.617554
1329949370.947474 3.128687 -0.090575 0.035386 968.313599 624.959351 761.582031
1329949370.955874 3.128639 -0.090665 0.035274 968.288452 624.946594 761.607544
1329949370.964598 3.128575 -0.090629 0.035422 968.312866 624.949646 761.620789
1329949370.972563 3.128657 -0.090524 0.035048 968.283508 624.965515 761.596130
1329949370.980574 3.128625 -0.090550 0.035112 968.284180 624.967957 761.607666
1329949370.989210 3.128671 -0.090545 0.035541 968.336548 624.963013 761.606567
1329949370.997154 3.128537 -0.090484 0.035510 968.348083 624.960999 761.643433
1329949371.005913 3.128437 -0.090503 0.035443 968.346069 624.960571 761.631287
1329949371.014153 3.128597 -0.090505 0.035469 968.353821 624.963257 761.592896
1329949371.022761 3.128438 -0.090500 0.035458 968.362854 624.948975 761.638672
1329949371.030757 3.128614 -0.090499 0.035488 968.354919 624.945068 761.583923
1329949371.038948 3.128648 -0.090569 0.035538 968.340576 624.943420 761.611206
1329949371.047595 3.128560 -0.090487 0.035654 968.355408 624.930298 761.623535
1329949371.055893 3.128684 -0.090620 0.035500 968.324402 624.944458 761.606079
1329949371.064061 3.128583 -0.090627 0.035635 968.339966 624.941101 761.624451
1329949371.072275 3.128639 -0.090584 0.035573 968.339478 624.947754 761.599487
1329949371.080659 3.128549 -0.090639 0.035628 968.332581 624.948486 761.616272
1329949371.089037 3.128618 -0.090572 0.035603 968.335144 624.952209 761.586670
1329949371.097289 3.128455 -0.090625 0.035575 968.331360 624.951599 761.609497
1329949371.105993 3.128528 -0.090583 0.035569 968.335999 624.955811 761.585205
1329949371.114136 3.128501 -0.090631 0.035674 968.326721 624.949036 761.593567
1329949371.122339 3.128632 -0.090516 0.035441 968.339966 624.946289 761.588257
1329949371.130470 3.128523 -0.090558 0.035575 968.343872 624.943481 761.625183
1329949371.139037 3.128714 -0.090616 0.035527 968.336060 624.935303 761.579407
1329949371.147227 3.128597 -0.090566 0.035600 968.362793 624.923279 761.622131
1329949371.155962 3.128633 -0.090445 0.035544 968.383606 624.926086 761.604797
1329949371.166633 3.128775 -0.090593 0.035538 968.359558 624.925781 761.570679
1329949371.174268 3.128646 -0.090628 0.035509 968.363831 624.922241 761.600647
1329949371.180546 3.128707 -0.090568 0.035499 968.357910 624.934265 761.564148
1329949371.188717 3.128689 -0.090618 0.035449 968.344055 624.944763 761.579224
1329949371.197279 3.128553 -0.090652 0.035549 968.343201 624.943848 761.589355
1329949371.205707 3.128634 -0.090590 0.035554 968.344360 624.946960 761.579041
1329949371.214273 3.128718 -0.090575 0.035389 968.323242 624.947144 761.569763
1329949371.231749 3.128716 -0.090513 0.035362 968.329590 624.932129 761.578003
1329949371.239639 3.128656 -0.090456 0.035555 968.343323 624.935974 761.585449
1329949371.253742 3.128652 -0.090484 0.035645 968.339661 624.935547 761.575806
1329949371.255567 3.128657 -0.090321 0.035528 968.359741 624.938477 761.583801
1329949371.264011 3.128590 -0.090361 0.035600 968.338562 624.944397 761.591187
1329949371.294114 3.128677 -0.090224 0.035515 968.360352 624.952698 761.574768
1329949371.297426 3.128444 -0.090221 0.035624 968.345703 624.952209 761.611267
1329949371.310478 3.128716 -0.090187 0.035542 968.341614 624.950806 761.541443
1329949371.319320 3.128615 -0.090255 0.035635 968.344727 624.943237 761.581909
1329949371.326801 3.128642 -0.090216 0.035577 968.354004 624.935608 761.568665
1329949371.330427 3.128699 -0.090393 0.035821 968.338623 624.939270 761.566589
1329949371.348440 3.128774 -0.090301 0.035782 968.356995 624.930481 761.570251
1329949371.355548 3.128732 -0.090260 0.035742 968.344727 624.937012 761.584167
1329949371.363794 3.128560 -0.090186 0.035747 968.345642 624.938232 761.596680
1329949371.372314 3.128572 -0.090131 0.035716 968.346313 624.944885 761.562378
1329949371.380769 3.128589 -0.090150 0.035612 968.340881 624.942444 761.546387
1329949371.388926 3.128652 -0.090198 0.035663 968.347839 624.947021 761.533691
1329949371.399355 3.128721 -0.090199 0.035677 968.358215 624.943970 761.533630
1329949371.411397 3.128618 -0.090231 0.035751 968.355652 624.931641 761.561646
1329949371.445183 3.128598 -0.090118 0.035725 968.370850 624.917969 761.565735
1329949371.456929 3.128764 -0.090226 0.035832 968.352844 624.917480 761.548767
1329949371.464230 3.128845 -0.090255 0.035681 968.354004 624.929443 761.525452
1329949371.476922 3.128672 -0.090192 0.035647 968.361023 624.939331 761.542908
1329949371.488406 3.128715 -0.090187 0.035748 968.355103 624.953186 761.508118
1329949371.490391 3.128805 -0.090251 0.035730 968.332886 624.957275 761.506958
1329949371.497581 3.128634 -0.090288 0.035623 968.340881 624.947876 761.547607
1329949371.505440 3.128720 -0.090216 0.035698 968.345825 624.936829 761.531860
1329949371.513712 3.128699 -0.090171 0.035612 968.348083 624.926697 761.566223
1329949371.521979 3.128730 -0.090229 0.035765 968.352844 624.917542 761.556946
1329949371.530770 3.128778 -0.090216 0.035741 968.360229 624.905457 761.558411
1329949371.540641 3.128778 -0.090249 0.035774 968.366272 624.906738 761.558044
1329949371.546888 3.128750 -0.090237 0.035765 968.381226 624.906860 761.560120
1329949371.555335 3.128793 -0.090156 0.035697 968.390015 624.918335 761.535217
1329949371.563874 3.128850 -0.090083 0.035740 968.383545 624.930359 761.533081
1329949371.571966 3.128584 -0.090135 0.035720 968.358398 624.935913 761.571594
1329949371.580473 3.128761 -0.090122 0.035672 968.351868 624.943237 761.505066
1329949371.589039 3.128628 -0.090199 0.035587 968.340271 624.943115 761.553589
1329949371.596930 3.128653 -0.090053 0.035605 968.352112 624.937561 761.535156
1329949371.605451 3.128649 -0.090152 0.035620 968.342163 624.925537 761.539673
1329949371.613635 3.128681 -0.090297 0.035720 968.340637 624.930542 761.528198
1329949371.621925 3.128674 -0.090274 0.035582 968.363403 624.918213 761.548462
1329949371.630723 3.128740 -0.090351 0.035695 968.354431 624.921631 761.530518
1329949371.638719 3.128786 -0.090241 0.035670 968.368042 624.917053 761.542847
1329949371.647148 3.128630 -0.090307 0.035768 968.356812 624.914856 761.575073
1329949371.655442 3.128572 -0.090125 0.035746 968.374023 624.915344 761.563232
1329949371.666765 3.128778 -0.090181 0.035801 968.354797 624.929382 761.522461
1329949371.671716 3.128636 -0.089966 0.035661 968.380554 624.931030 761.561768
1329949371.680458 3.128761 -0.090166 0.035628 968.350769 624.946106 761.524536
1329949371.688558 3.128705 -0.090077 0.035619 968.365662 624.948914 761.541382
1329949371.697003 3.128663 -0.090079 0.035726 968.362244 624.945496 761.535461
1329949371.705142 3.128660 -0.090243 0.035661 968.341797 624.953674 761.535706
1329949371.713568 3.128808 -0.090201 0.035766 968.366760 624.931702 761.526611
1329949371.721739 3.128669 -0.090329 0.035695 968.354065 624.928589 761.579651
1329949371.730567 3.128675 -0.090299 0.035710 968.362976 624.918335 761.562134
1329949371.747352 3.128753 -0.090320 0.035734 968.356201 624.928711 761.547058
1329949371.755205 3.128745 -0.090140 0.035783 968.381104 624.924866 761.544312
1329949371.763547 3.128800 -0.090187 0.035587 968.363342 624.943909 761.524841
1329949371.771709 3.128603 -0.090146 0.035542 968.366455 624.952026 761.539185
1329949371.780239 3.128669 -0.090125 0.035596 968.367371 624.958008 761.504639
1329949371.788659 3.128651 -0.090118 0.035559 968.361755 624.955811 761.530334
1329949371.796591 3.128756 -0.090244 0.035420 968.344910 624.958557 761.511536
1329949371.805315 3.128703 -0.090261 0.035547 968.345032 624.954407 761.549011
1329949371.813554 3.128724 -0.090339 0.035492 968.342712 624.933289 761.554993
1329949371.821493 3.128841 -0.090503 0.035495 968.347351 624.932251 761.546448
1329949371.830016 3.128937 -0.090558 0.035545 968.355652 624.923340 761.553101
1329949371.838787 3.128907 -0.090644 0.035399 968.357117 624.925293 761.546143
1329949371.847541 3.129041 -0.090690 0.035439 968.369202 624.927551 761.520569
1329949371.855169 3.129097 -0.090685 0.035329 968.356506 624.935120 761.507263
1329949371.863275 3.128914 -0.090737 0.035220 968.348694 624.938049 761.524414
1329949371.871402 3.128735 -0.090862 0.035215 968.334839 624.924194 761.518433
1329949371.879774 3.128784 -0.090729 0.035538 968.361694 624.943054 761.506348
1329949371.888568 3.128911 -0.090664 0.035450 968.364075 624.938782 761.508911
1329949371.915785 3.128747 -0.090664 0.035526 968.353943 624.928833 761.553711
1329949371.927953 3.128960 -0.090767 0.035457 968.364990 624.906372 761.522827
1329949371.931926 3.128756 -0.090632 0.035521 968.369690 624.899292 761.558167
1329949371.938604 3.129787 -0.091040 0.035371 968.342529 624.963684 761.418945
1329949371.946443 3.127649 -0.090430 0.035915 968.385559 624.815186 761.773376
1329949371.954988 3.127867 -0.090374 0.035712 968.332458 624.881836 761.493225
1329949371.962780 3.127945 -0.090370 0.035780 968.340942 624.890137 761.504028
1329949371.974479 3.127781 -0.090425 0.035716 968.331970 624.890076 761.535889
1329949372.007817 3.127709 -0.090338 0.035690 968.343079 624.886475 761.508911
1329949372.018763 3.127780 -0.090307 0.035612 968.347168 624.869385 761.492615
1329949372.021329 3.127698 -0.090353 0.035736 968.333557 624.855103 761.512085
1329949372.029712 3.127775 -0.090407 0.035754 968.330322 624.858521 761.508240
1329949372.037731 3.127861 -0.090337 0.035771 968.336487 624.860840 761.507935
1329949372.046559 3.127642 -0.090357 0.035730 968.327759 624.860046 761.562378
1329949372.055001 3.127636 -0.090324 0.035741 968.335449 624.874573 761.536743
1329949372.062946 3.127800 -0.090400 0.035741 968.328857 624.883484 761.495056
1329949372.071004 3.127858 -0.090388 0.035658 968.342957 624.883362 761.504944
1329949372.079573 3.127788 -0.090325 0.035605 968.344055 624.870850 761.505371
1329949372.087891 3.127723 -0.090395 0.035712 968.332520 624.883057 761.498413
1329949372.096563 3.127558 -0.090309 0.035703 968.337646 624.875122 761.524658
1329949372.104967 3.127854 -0.090314 0.035602 968.330383 624.879272 761.473389
1329949372.114208 3.127711 -0.090386 0.035832 968.329651 624.872253 761.539795
1329949372.121082 3.127656 -0.090398 0.035757 968.329102 624.863098 761.538147
1329949372.129518 3.127652 -0.090391 0.035701 968.328430 624.869080 761.528992
1329949372.137799 3.127764 -0.090355 0.035593 968.330627 624.857422 761.511719
1329949372.146486 3.127686 -0.090396 0.035651 968.325867 624.868469 761.520264
1329949372.154839 3.127712 -0.090356 0.035718 968.350769 624.859436 761.499207
1329949372.165007 3.127490 -0.090373 0.035693 968.344910 624.856506 761.528687
1329949372.196465 3.127837 -0.090321 0.035630 968.359741 624.860291 761.461792
1329949372.207609 3.127758 -0.090397 0.035641 968.321350 624.862854 761.518005
1329949372.212613 3.127715 -0.090317 0.035697 968.329712 624.854492 761.505859
1329949372.221371 3.127852 -0.090406 0.035775 968.322876 624.855164 761.473633
1329949372.229819 3.127863 -0.090465 0.035685 968.319275 624.837219 761.481934
1329949372.237756 3.127834 -0.090536 0.035787 968.324829 624.823242 761.475098
1329949372.254645 3.127761 -0.090437 0.035726 968.339905 624.819275 761.484558
1329949372.278133 3.127697 -0.090376 0.035782 968.336182 624.822876 761.485474
1329949372.300437 3.128062 -0.090406 0.035547 968.330383 624.833618 761.432129
1329949372.323917 3.128026 -0.090314 0.035600 968.340515 624.809387 761.467285
1329949372.337751 3.127927 -0.090403 0.035686 968.313232 624.800476 761.481995
1329949372.351547 3.127874 -0.090441 0.035708 968.308105 624.805969 761.489136
1329949372.383323 3.127784 -0.090396 0.035676 968.313171 624.813843 761.497009
1329949372.395398 3.127903 -0.090535 0.035753 968.303101 624.814575 761.419128
1329949372.399697 3.127768 -0.090409 0.035739 968.308594 624.793579 761.455200
1329949372.404923 3.127684 -0.090397 0.035658 968.300049 624.799988 761.467407
1329949372.413146 3.127899 -0.090404 0.035770 968.301758 624.806030 761.446716
1329949372.421391 3.127724 -0.090401 0.035724 968.299072 624.799133 761.512878
1329949372.429424 3.127842 -0.090411 0.035732 968.295471 624.806030 761.479370
1329949372.437855 3.127629 -0.090340 0.035837 968.293213 624.791748 761.532410
1329949372.445904 3.127748 -0.090293 0.035799 968.285034 624.810120 761.491089
1329949372.455011 3.127821 -0.090379 0.035786 968.271118 624.807617 761.497131
1329949372.463068 3.127793 -0.090413 0.035687 968.251343 624.815247 761.509338
1329949372.471056 3.127866 -0.090416 0.035708 968.234192 624.815613 761.501587
1329949372.479373 3.127576 -0.090403 0.035909 968.212036 624.815979 761.559265
1329949372.488062 3.127932 -0.091115 0.035045 968.098511 624.798767 761.467896
1329949372.496080 3.127748 -0.090341 0.035650 968.242065 624.813599 761.555542
1329949372.504833 3.127725 -0.090528 0.035785 968.157471 624.833130 761.534668
1329949372.513162 3.127680 -0.090114 0.036023 968.218445 624.838318 761.553833
1329949372.521298 3.127563 -0.090007 0.036139 968.203979 624.842102 761.567627
1329949372.529528 3.127512 -0.089896 0.036093 968.206665 624.846375 761.556458
1329949372.537936 3.127692 -0.089829 0.036106 968.208984 624.857544 761.514099
1329949372.546517 3.127569 -0.089827 0.036111 968.191833 624.854980 761.555786
1329949372.554815 3.127486 -0.089738 0.036044 968.211121 624.847351 761.563477
1329949372.563210 3.127534 -0.089865 0.036115 968.180237 624.868408 761.549194
1329949372.571330 3.127546 -0.089751 0.036010 968.198608 624.864075 761.561401
1329949372.579468 3.127692 -0.090005 0.036129 968.177124 624.879272 761.543152
1329949372.588180 3.127609 -0.089952 0.036172 968.197327 624.863831 761.562683
1329949372.598432 3.127863 -0.089854 0.035943 968.208679 624.855896 761.521729
1329949372.604791 3.127575 -0.089892 0.036121 968.198669 624.844849 761.574097
1329949372.612918 3.127504 -0.089892 0.036127 968.200989 624.842407 761.539795
1329949372.621221 3.127760 -0.089854 0.036098 968.210510 624.836060 761.500366
1329949372.629545 3.127434 -0.089915 0.036214 968.184937 624.836792 761.573364
1329949372.637974 3.127477 -0.089958 0.036181 968.179871 624.849121 761.550415
1329949372.646123 3.127411 -0.089937 0.036136 968.181946 624.852173 761.577271
1329949372.654675 3.127352 -0.089903 0.036135 968.185120 624.857361 761.579956
