imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
1.086362 1329704121.308178 502 502 605 373 376 370
1.145448 1329704121.322668 502 502 605 375 376 370
1.145448 1329704121.332805 503 502 605 375 376 369
1.145448 1329704121.341515 503 502 605 375 377 370
1.145448 1329704121.349593 502 502 605 374 376 371
1.145448 1329704121.358097 502 502 605 374 376 371
1.145448 1329704121.366441 503 502 604 375 375 371
1.204986 1329704121.374731 502 502 605 375 377 370
1.204986 1329704121.382819 502 502 605 374 376 370
1.204986 1329704121.391493 502 502 605 374 375 370
1.204986 1329704121.399458 502 502 605 374 376 372
1.204986 1329704121.408101 502 502 605 374 376 369
1.204986 1329704121.416384 502 502 604 373 376 370
1.267256 1329704121.424819 502 502 605 375 377 371
1.267256 1329704121.432806 503 502 604 374 377 371
1.267256 1329704121.442110 503 502 605 375 376 369
1.267256 1329704121.449243 503 502 605 375 377 370
1.267256 1329704121.462819 503 502 604 375 376 371
1.267256 1329704121.466272 503 502 605 376 376 370
1.325650 1329704121.474513 503 502 605 374 376 370
1.325650 1329704121.482597 503 502 605 375 376 370
1.325650 1329704121.491749 502 502 605 374 376 371
1.325650 1329704121.499399 502 502 604 375 376 371
1.325650 1329704121.513902 502 502 605 374 376 370
1.325650 1329704121.516690 503 502 605 374 376 370
1.383686 1329704121.524386 503 502 605 375 376 371
1.383686 1329704121.532887 503 502 605 374 376 370
1.383686 1329704121.541305 503 502 605 374 376 370
1.383686 1329704121.549291 502 502 605 374 376 370
1.383686 1329704121.558006 503 502 604 373 375 370
1.383686 1329704121.567499 503 502 605 373 376 370
1.442259 1329704121.574329 502 502 605 374 376 370
1.442259 1329704121.582775 503 502 604 375 376 371
1.442259 1329704121.591339 502 502 605 375 375 370
1.442259 1329704121.599741 502 502 605 374 376 371
1.442259 1329704121.607831 502 502 605 375 375 371
1.442259 1329704121.617905 502 502 605 374 375 370
1.508562 1329704121.626474 502 502 605 373 377 371
1.508562 1329704121.632842 503 502 605 375 376 370
1.508562 1329704121.641293 503 502 605 375 376 369
1.508562 1329704121.649257 503 502 605 375 376 370
1.508562 1329704121.657940 503 502 605 374 376 371
1.508562 1329704121.666306 503 502 605 375 377 371
1.567348 1329704121.674957 502 502 605 373 376 369
1.567348 1329704121.682919 502 502 604 374 376 371
1.567348 1329704121.691533 502 502 605 374 377 370
1.567348 1329704121.699442 502 502 605 374 376 370
1.567348 1329704121.708222 502 502 604 373 376 371
1.567348 1329704121.716281 502 502 604 374 376 371
1.625484 1329704121.726897 502 502 605 373 376 370
1.625484 1329704121.741667 503 502 605 374 377 371
1.625484 1329704121.754011 503 502 604 374 377 370
1.625484 1329704121.768588 502 502 604 373 376 370
1.625484 1329704121.792042 502 502 605 374 376 370
1.625484 1329704121.815368 503 502 605 374 375 370
1.684716 1329704121.829082 502 502 605 375 377 370
1.684716 1329704121.832530 503 502 605 374 375 370
1.684716 1329704121.841619 502 502 605 374 377 370
1.684716 1329704121.850929 503 502 605 374 377 370
1.684716 1329704121.858382 502 502 604 374 376 370
1.684716 1329704121.866111 502 502 605 374 376 370
1.741453 1329704121.874505 502 502 605 375 376 370
1.741453 1329704121.882754 502 502 605 374 377 370
1.741453 1329704121.891397 502 502 605 374 376 370
1.741453 1329704121.899532 502 502 604 374 376 370
1.741453 1329704121.908872 502 502 605 374 376 370
1.741453 1329704121.916026 503 502 605 374 376 370
1.808636 1329704121.925778 502 502 604 373 376 370
1.808636 1329704121.932801 502 502 605 374 376 370
1.808636 1329704121.944423 503 502 605 374 376 371
1.808636 1329704121.949092 503 502 605 374 376 371
1.808636 1329704121.957702 503 502 605 374 377 370
1.808636 1329704121.965649 503 502 605 375 376 370
1.867013 1329704121.974450 502 502 605 374 376 370
1.867013 1329704121.982553 502 502 605 374 376 370
1.867013 1329704121.997200 502 502 604 373 376 371
1.867013 1329704122.010864 503 502 605 374 376 370
1.867013 1329704122.015982 502 502 605 375 375 371
1.867013 1329704122.023944 503 502 605 373 375 370
1.922602 1329704122.032629 502 502 605 374 376 371
1.922602 1329704122.040860 502 502 605 374 377 370
1.922602 1329704122.049392 502 502 604 375 376 371
1.922602 1329704122.060066 502 502 605 374 376 370
1.922602 1329704122.066106 502 502 605 374 376 370
1.922602 1329704122.073888 503 502 605 374 376 370
1.990616 1329704122.082572 502 502 605 374 376 369
1.990616 1329704122.090813 503 502 605 374 376 370
1.990616 1329704122.101396 502 502 605 375 376 370
1.990616 1329704122.124813 503 502 605 374 376 370
1.990616 1329704122.132647 502 502 605 375 376 370
1.990616 1329704122.140266 503 502 605 374 376 370
2.047819 1329704122.149296 502 502 605 375 377 371
2.047819 1329704122.157590 502 502 604 374 376 370
2.047819 1329704122.165870 503 502 605 375 377 370
2.047819 1329704122.174174 503 502 605 374 376 370
2.047819 1329704122.182716 502 502 605 374 377 369
2.047819 1329704122.190320 503 502 605 375 375 371
2.091007 1329704122.198876 502 502 605 374 376 370
2.091007 1329704122.207547 502 502 605 374 376 370
2.091007 1329704122.215674 503 502 605 374 376 370
2.091007 1329704122.223913 502 502 604 374 377 369
2.125046 1329704122.232673 502 502 605 374 376 370
2.125046 1329704122.240477 503 502 605 374 376 370
2.150413 1329704122.248980 502 502 605 374 376 371
2.183064 1329704122.257443 502 502 605 374 376 370
2.183064 1329704122.266009 502 502 605 374 376 370
2.216718 1329704122.274046 503 502 605 374 376 370
2.241659 1329704122.287637 502 502 605 374 377 370
2.241659 1329704122.292464 502 502 605 374 376 371
2.274718 1329704122.299826 502 502 605 374 376 370
2.307944 1329704122.307454 503 502 605 375 376 371
2.307944 1329704122.317143 503 502 604 375 376 370
2.332639 1329704122.323605 503 502 604 373 377 370
2.366186 1329704122.333639 503 502 605 374 376 370
2.366186 1329704122.340206 502 502 605 374 376 370
2.391282 1329704122.349051 502 502 604 374 376 369
2.424685 1329704122.357332 502 502 605 374 376 371
2.424685 1329704122.365482 502 502 605 373 376 370
2.457986 1329704122.373757 502 502 605 375 377 370
2.482857 1329704122.382571 504 504 605 374 376 370
2.482857 1329704122.401130 502 502 607 373 376 371
2.516095 1329704122.407253 501 502 609 375 376 371
2.541206 1329704122.415518 504 503 603 374 375 371
2.541206 1329704122.423852 503 502 606 374 377 369
2.574835 1329704122.432262 503 502 603 374 376 371
2.601176 1329704122.440917 502 502 605 375 376 371
2.601176 1329704122.455209 502 503 604 374 376 371
2.632925 1329704122.460183 502 502 605 374 376 371
2.665498 1329704122.473091 503 502 604 374 377 370
2.665498 1329704122.487934 503 502 605 374 375 371
2.697724 1329704122.492857 503 503 604 374 376 371
2.724063 1329704122.507728 502 502 605 374 376 371
2.724063 1329704122.519715 502 502 604 373 376 370
2.758264 1329704122.534301 502 502 605 376 376 369
2.781798 1329704122.540963 504 503 605 374 375 369
2.781798 1329704122.557648 503 502 605 374 376 370
2.815875 1329704122.565435 502 502 604 375 377 370
2.840272 1329704122.574005 502 502 605 374 376 371
2.840272 1329704122.581967 502 502 605 374 377 371
2.876915 1329704122.590099 502 503 605 374 375 371
2.906567 1329704122.598908 503 502 604 374 375 370
2.906567 1329704122.619638 503 502 605 374 376 371
2.931438 1329704122.623583 502 502 604 374 376 370
2.964971 1329704122.632740 502 502 605 373 376 370
