imu_t vicon_t roll pitch yaw
2.091007 1329704121.308178 0 0 0
2.125046 1329704121.322668 0 0 0
2.150413 1329704121.332805 0 0 0
2.150413 1329704121.341515 0 0 0
2.183064 1329704121.349593 0 0 0
2.216718 1329704121.358097 0 0 0
2.216718 1329704121.366441 0 0 0
2.241659 1329704121.374731 0 0 0
2.274718 1329704121.382819 0 0 0
2.274718 1329704121.391493 0 0 0
2.307944 1329704121.399458 0 0 0
2.332639 1329704121.408101 0 0 0
2.332639 1329704121.416384 0 0 0
2.366186 1329704121.424819 0 0 0
2.391282 1329704121.432806 0 0 0
2.391282 1329704121.442110 0 0 0
2.424685 1329704121.449243 0 0 0
2.457986 1329704121.462819 0 0 0
2.457986 1329704121.466272 0 0 0
2.482857 1329704121.474513 0 0 0
2.516095 1329704121.482597 0 0 0
2.516095 1329704121.491749 0 0 0
2.541206 1329704121.499399 0 0 0
2.574835 1329704121.513902 0 0 0
2.574835 1329704121.516690 0 0 0
2.601176 1329704121.524386 0 0 0
2.632925 1329704121.532887 0 0 0
2.632925 1329704121.541305 0 0 0
2.665498 1329704121.549291 0 0 0
2.697724 1329704121.558006 0 0 0
2.697724 1329704121.567499 0 0 0
2.724063 1329704121.574329 0 0 0
2.758264 1329704121.582775 0 0 0
2.758264 1329704121.591339 0 0 0
2.781798 1329704121.599741 0 0 0
2.815875 1329704121.607831 0 0 0
2.815875 1329704121.617905 0 0 0
2.840272 1329704121.626474 0 0 0
2.876915 1329704121.632842 0 0 0
2.876915 1329704121.641293 0 0 0
2.906567 1329704121.649257 0 0 0
2.931438 1329704121.657940 0 0 0
2.931438 1329704121.666306 0 0 0
2.964971 1329704121.674957 0 0 0
2.997708 1329704121.682919 0 0 0
2.997708 1329704121.691533 0 0 0
3.024844 1329704121.699442 0 0 0
3.056492 1329704121.708222 0 0 0
3.056492 1329704121.716281 0 -1 0
3.098020 1329704121.726897 0 -1 0
3.098020 1329704121.741667 0 -1 0
3.123307 1329704121.754011 0 -1 0
3.156347 1329704121.768588 0 -1 0
3.156347 1329704121.792042 0 -1 0
3.200362 1329704121.815368 0 -1 0
3.200362 1329704121.829082 0 0 0
3.231099 1329704121.832530 0 0 0
3.231099 1329704121.841619 0 0 0
3.272810 1329704121.850929 0 0 0
3.272810 1329704121.858382 0 0 0
3.314370 1329704121.866111 0 0 0
3.314370 1329704121.874505 0 0 0
3.356159 1329704121.882754 0 0 0
3.356159 1329704121.891397 0 0 0
3.398759 1329704121.899532 0 0 0
3.398759 1329704121.908872 0 0 0
3.431116 1329704121.916026 0 0 0
3.431116 1329704121.925778 0 0 0
3.474701 1329704121.932801 0 0 0
3.474701 1329704121.944423 0 0 0
3.515744 1329704121.949092 0 0 0
3.515744 1329704121.957702 0 1 0
3.556168 1329704121.965649 0 1 0
3.556168 1329704121.974450 0 2 0
3.597600 1329704121.982553 0 2 0
3.597600 1329704121.997200 0 3 0
3.631102 1329704122.010864 0 3 0
3.631102 1329704122.015982 0 4 0
3.684006 1329704122.023944 0 5 0
3.684006 1329704122.032629 0 5 0
3.714271 1329704122.040860 0 6 0
3.714271 1329704122.049392 1 6 0
3.755796 1329704122.060066 1 5 0
3.755796 1329704122.066106 1 5 0
3.796973 1329704122.073888 1 4 0
3.796973 1329704122.082572 1 4 0
3.840875 1329704122.090813 0 3 -1
3.840875 1329704122.101396 0 3 -1
3.872391 1329704122.124813 0 3 -1
3.872391 1329704122.132647 0 3 -1
3.914180 1329704122.140266 -1 3 -1
3.914180 1329704122.149296 -1 4 -1
3.964547 1329704122.157590 -2 4 -2
3.964547 1329704122.165870 -3 5 -2
3.997725 1329704122.174174 -3 5 -2
3.997725 1329704122.182716 -4 6 -3
4.039586 1329704122.190320 -4 6 -3
4.039586 1329704122.198876 -5 7 -4
4.072730 1329704122.207547 -5 7 -4
4.072730 1329704122.215674 -6 7 -5
4.113922 1329704122.223913 -6 8 -5
4.113922 1329704122.232673 -6 8 -5
4.155922 1329704122.240477 -6 9 -6
4.155922 1329704122.248980 -6 9 -6
4.197800 1329704122.257443 -7 10 -7
4.197800 1329704122.266009 -6 11 -7
4.231725 1329704122.274046 -6 11 -7
4.231725 1329704122.287637 -6 12 -8
4.303973 1329704122.292464 -7 13 -9
4.303973 1329704122.299826 -7 14 -9
4.314311 1329704122.307454 -7 15 -10
4.314311 1329704122.317143 -7 17 -10
4.356156 1329704122.323605 -7 18 -11
4.356156 1329704122.333639 -7 20 -11
4.397878 1329704122.340206 -6 21 -12
4.397878 1329704122.349051 -5 22 -12
4.431096 1329704122.357332 -5 23 -12
4.431096 1329704122.365482 -5 24 -13
4.473963 1329704122.373757 -4 24 -13
4.473963 1329704122.382571 -4 25 -13
4.513825 1329704122.401130 -4 25 -13
4.513825 1329704122.407253 -4 25 -14
4.564948 1329704122.415518 -4 25 -14
4.564948 1329704122.423852 -4 25 -14
4.593949 1329704122.432262 -4 25 -14
4.593949 1329704122.440917 -4 25 -14
4.634751 1329704122.455209 -4 25 -14
4.634751 1329704122.460183 -4 25 -14
4.673519 1329704122.473091 -4 25 -15
4.673519 1329704122.487934 -4 25 -15
4.718932 1329704122.492857 -5 25 -15
4.718932 1329704122.507728 -5 26 -15
4.766909 1329704122.519715 -5 27 -16
4.766909 1329704122.534301 -6 28 -16
4.797210 1329704122.540963 -6 28 -16
4.797210 1329704122.557648 -6 29 -16
4.838895 1329704122.565435 -6 30 -16
4.838895 1329704122.574005 -6 31 -16
4.874610 1329704122.581967 -6 31 -16
4.874610 1329704122.590099 -6 32 -16
4.913835 1329704122.598908 -6 33 -15
4.913835 1329704122.619638 -6 34 -15
4.955429 1329704122.623583 -5 34 -14
4.955429 1329704122.632740 -5 35 -13
4.996601 1329704122.640505 -4 36 -13
4.996601 1329704122.649204 -4 38 -12
5.038553 1329704122.657005 -4 39 -12
5.038553 1329704122.665806 -5 42 -12
5.071818 1329704122.673360 -6 44 -14
5.071818 1329704122.682219 -9 46 -16
5.113253 1329704122.690038 -10 48 -18
5.113253 1329704122.698414 -11 50 -19
5.154931 1329704122.706789 -11 51 -20
5.154931 1329704122.715679 -11 51 -21
5.196450 1329704122.723383 -11 50 -21
5.196450 1329704122.732025 -11 49 -21
5.231222 1329704122.740510 -11 47 -21
5.231222 1329704122.748145 -10 46 -20
5.274303 1329704122.757033 -10 44 -20
5.274303 1329704122.765474 -10 43 -19
5.313211 1329704122.773422 -10 42 -19
5.313211 1329704122.782419 -11 41 -19
5.354960 1329704122.790416 -11 41 -19
5.354960 1329704122.798721 -11 41 -19
5.396331 1329704122.806979 -12 40 -19
5.396331 1329704122.815366 -12 40 -18
5.434467 1329704122.823452 -13 38 -18
5.434467 1329704122.831964 -13 36 -18
5.472564 1329704122.840266 -14 34 -17
5.472564 1329704122.848268 -15 31 -17
5.513848 1329704122.856813 -16 27 -16
5.513848 1329704122.866754 -17 23 -15
5.555149 1329704122.873139 -19 19 -15
5.555149 1329704122.881999 -20 15 -14
5.596978 1329704122.890161 -22 11 -13
5.596978 1329704122.898283 -24 7 -12
5.640231 1329704122.916961 -27 3 -10
5.640231 1329704122.923673 -29 -1 -9
5.673568 1329704122.931415 -31 -5 -7
5.673568 1329704122.940237 -33 -9 -5
5.712785 1329704122.948315 -35 -12 -3
5.712785 1329704122.956475 -37 -16 0
5.753691 1329704122.965244 -39 -19 1
5.753691 1329704122.973576 -41 -22 3
5.796539 1329704122.981516 -43 -25 6
5.796539 1329704122.990488 -45 -27 8
5.836670 1329704122.998631 -46 -30 11
5.836670 1329704123.006438 -48 -32 14
5.872196 1329704123.019115 -50 -35 16
5.872196 1329704123.023565 -51 -37 19
5.912465 1329704123.031372 -53 -38 21
5.912465 1329704123.040104 -54 -40 23
5.953237 1329704123.048820 -56 -40 25
5.953237 1329704123.056326 -57 -41 26
5.994004 1329704123.071590 -57 -41 26
5.994004 1329704123.083647 -57 -41 26
6.036087 1329704123.089734 -57 -40 26
6.036087 1329704123.098723 -57 -40 25
6.077428 1329704123.106750 -56 -39 24
6.077428 1329704123.115516 -55 -38 23
6.111959 1329704123.123477 -53 -37 21
6.111959 1329704123.132877 -51 -35 19
6.152342 1329704123.139636 -49 -34 18
6.152342 1329704123.148187 -47 -32 16
6.195634 1329704123.156397 -45 -31 14
6.195634 1329704123.164745 -42 -29 12
6.236906 1329704123.173400 -40 -27 9
6.236906 1329704123.181755 -38 -25 7
6.279417 1329704123.189693 -35 -22 5
6.279417 1329704123.198015 -33 -20 3
6.311972 1329704123.206443 -31 -17 1
6.311972 1329704123.214857 -29 -15 0
6.354237 1329704123.223278 -27 -12 -1
6.354237 1329704123.237251 -25 -9 -2
6.392854 1329704123.242279 -22 -6 -4
6.392854 1329704123.263716 -21 -4 -5
6.437509 1329704123.266194 -19 -1 -6
6.437509 1329704123.273245 -18 0 -7
6.470986 1329704123.281619 -17 2 -8
6.470986 1329704123.289848 -15 4 -9
6.512577 1329704123.305262 -15 6 -10
6.512577 1329704123.319556 -14 8 -10
6.553971 1329704123.332357 -13 10 -11
6.553971 1329704123.339875 -12 12 -12
6.595536 1329704123.347903 -12 14 -12
6.595536 1329704123.362468 -12 15 -13
6.642286 1329704123.365413 -11 17 -14
6.642286 1329704123.382329 -10 18 -14
6.690075 1329704123.405754 -10 19 -15
6.690075 1329704123.408751 -9 20 -15
6.712092 1329704123.414948 -9 21 -16
6.712092 1329704123.422996 -8 22 -16
6.753293 1329704123.431573 -8 22 -17
6.753293 1329704123.439822 -8 23 -17
6.794167 1329704123.454601 -7 23 -17
6.794167 1329704123.457798 -7 24 -18
6.837100 1329704123.464983 -7 24 -18
6.837100 1329704123.473092 -7 24 -19
6.878675 1329704123.481419 -7 25 -19
6.878675 1329704123.489770 -7 25 -19
6.911866 1329704123.497828 -6 26 -20
6.911866 1329704123.509124 -6 26 -20
6.953576 1329704123.514911 -6 27 -20
6.953576 1329704123.522960 -6 27 -20
7.001359 1329704123.531421 -5 28 -21
7.001359 1329704123.539628 -5 28 -21
7.033229 1329704123.550103 -5 29 -21
7.033229 1329704123.556356 -4 29 -21
7.079258 1329704123.564599 -4 29 -20
7.079258 1329704123.573192 -4 29 -20
7.112475 1329704123.581266 -4 29 -20
7.112475 1329704123.589446 -4 29 -20
7.152893 1329704123.597527 -4 29 -20
7.152893 1329704123.606438 -5 29 -20
7.194959 1329704123.614715 -5 30 -20
7.194959 1329704123.622677 -5 30 -20
7.236255 1329704123.631385 -5 30 -20
7.236255 1329704123.639636 -5 30 -20
7.271658 1329704123.647519 -5 30 -20
7.271658 1329704123.656178 -5 30 -20
7.311413 1329704123.664607 -5 30 -20
7.311413 1329704123.672736 -5 30 -20
7.352574 1329704123.680927 -5 30 -20
7.352574 1329704123.689500 -5 30 -20
7.394896 1329704123.697464 -5 30 -20
7.394896 1329704123.706032 -5 30 -20
7.436326 1329704123.714408 -5 30 -20
7.436326 1329704123.722618 -4 30 -20
7.482955 1329704123.730974 -4 30 -20
7.482955 1329704123.739430 -4 30 -20
7.519869 1329704123.747421 -4 31 -20
7.519869 1329704123.761557 -5 31 -20
7.552770 1329704123.764099 -5 31 -20
7.552770 1329704123.772678 -5 32 -20
7.598470 1329704123.780893 -5 32 -20
7.598470 1329704123.789484 -5 32 -20
7.636095 1329704123.797658 -5 33 -21
7.636095 1329704123.805878 -5 33 -21
7.677825 1329704123.814337 -5 33 -21
7.677825 1329704123.822639 -6 33 -21
7.711529 1329704123.830989 -6 33 -21
7.711529 1329704123.839289 -6 33 -21
7.752997 1329704123.847465 -6 33 -21
7.752997 1329704123.855933 -6 33 -21
7.793996 1329704123.864273 -5 34 -20
7.793996 1329704123.872438 -5 34 -20
7.834076 1329704123.880698 -4 36 -20
7.834076 1329704123.889531 -3 37 -19
7.877485 1329704123.897497 -3 39 -19
7.877485 1329704123.905945 -3 41 -19
7.910865 1329704123.915957 -4 44 -19
7.910865 1329704123.928486 -7 46 -21
7.952205 1329704123.931403 -9 47 -23
7.952205 1329704123.938784 -11 49 -24
7.993646 1329704123.947103 -12 50 -25
7.993646 1329704123.960422 -12 51 -25
8.034897 1329704123.963521 -11 51 -25
8.034897 1329704123.972381 -11 51 -25
8.076708 1329704123.980245 -10 50 -25
8.076708 1329704123.988529 -10 49 -25
8.110616 1329704123.996567 -10 47 -24
8.110616 1329704124.012474 -9 45 -24
8.152394 1329704124.014622 -9 43 -23
8.152394 1329704124.021812 -10 42 -23
8.193971 1329704124.030141 -11 40 -23
8.193971 1329704124.038754 -12 39 -23
8.235775 1329704124.046354 -13 36 -22
8.235775 1329704124.055213 -14 34 -22
8.277643 1329704124.073011 -15 30 -21
8.277643 1329704124.079888 -16 26 -20
8.311800 1329704124.088134 -17 21 -19
8.311800 1329704124.096580 -17 16 -17
8.353794 1329704124.104815 -18 10 -15
8.353794 1329704124.113138 -19 4 -13
8.395535 1329704124.130577 -21 -1 -11
8.395535 1329704124.141835 -22 -7 -9
8.440037 1329704124.148160 -24 -12 -6
8.440037 1329704124.155053 -26 -18 -3
8.476681 1329704124.163079 -28 -23 0
8.476681 1329704124.171566 -30 -27 2
8.518111 1329704124.179899 -32 -31 5
8.518111 1329704124.191562 -34 -35 8
8.552743 1329704124.196515 -36 -38 11
8.552743 1329704124.204883 -39 -41 14
8.591064 1329704124.213229 -41 -44 17
8.591064 1329704124.221303 -44 -46 20
8.634764 1329704124.229737 -46 -47 23
8.634764 1329704124.237887 -48 -48 25
8.675572 1329704124.246249 -49 -49 26
8.675572 1329704124.254811 -49 -49 26
8.716862 1329704124.262786 -49 -48 25
8.716862 1329704124.271391 -48 -47 24
8.750991 1329704124.279740 -46 -45 22
8.750991 1329704124.299162 -45 -43 19
8.792723 1329704124.312503 -42 -41 17
8.792723 1329704124.314205 -40 -38 14
8.841789 1329704124.322049 -38 -35 11
8.841789 1329704124.329740 -35 -32 8
8.875686 1329704124.337967 -32 -28 5
8.875686 1329704124.346298 -30 -25 2
8.917779 1329704124.354614 -28 -21 0
8.917779 1329704124.362506 -25 -17 -1
8.963016 1329704124.371258 -23 -13 -3
8.963016 1329704124.379782 -22 -9 -5
8.992710 1329704124.387831 -20 -6 -7
8.992710 1329704124.396146 -18 -2 -8
9.036943 1329704124.404395 -17 0 -10
9.036943 1329704124.412801 -16 4 -12
9.076497 1329704124.420991 -15 6 -13
9.076497 1329704124.429195 -13 9 -14
9.116086 1329704124.438017 -12 12 -15
9.116086 1329704124.446903 -11 15 -16
9.151526 1329704124.454149 -11 17 -17
9.151526 1329704124.462514 -10 19 -18
9.192709 1329704124.471021 -9 21 -19
