vicon_t u v w x y z
1329704121.308178 -0.044521 -0.075408 0.924020 858.804077 479.504181 757.033447
1329704121.322668 -0.044731 -0.075876 0.924072 858.828796 479.500977 756.962280
1329704121.332805 -0.044584 -0.075442 0.924070 858.802979 479.512665 757.017517
1329704121.341515 -0.044706 -0.075661 0.924065 858.798035 479.525574 756.981995
1329704121.349593 -0.044644 -0.075601 0.924044 858.785889 479.545715 756.986572
1329704121.358097 -0.044570 -0.075607 0.924113 858.789856 479.536652 756.992249
1329704121.366441 -0.044486 -0.075474 0.924097 858.775085 479.535919 757.014465
1329704121.374731 -0.044640 -0.075919 0.924113 858.803955 479.524353 756.950439
1329704121.382819 -0.044533 -0.075592 0.924079 858.782227 479.518402 757.034668
1329704121.391493 -0.044691 -0.075968 0.924070 858.814514 479.504059 756.965332
1329704121.399458 -0.044646 -0.075695 0.924021 858.803040 479.493317 757.021912
1329704121.408101 -0.044579 -0.075585 0.924035 858.811523 479.486511 757.024292
1329704121.416384 -0.044613 -0.075698 0.924047 858.822388 479.496429 756.996460
1329704121.424819 -0.044471 -0.075306 0.924097 858.802612 479.499298 757.060242
1329704121.432806 -0.044749 -0.075875 0.924064 858.814453 479.513428 756.947571
1329704121.442110 -0.044690 -0.075684 0.924044 858.783081 479.526062 756.992615
1329704121.449243 -0.044671 -0.075571 0.924110 858.788269 479.525818 757.000244
1329704121.462819 -0.044674 -0.075668 0.924074 858.771240 479.547729 756.974304
1329704121.466272 -0.044643 -0.075626 0.924112 858.778564 479.536652 756.985046
1329704121.474513 -0.044665 -0.075701 0.924133 858.788696 479.531342 756.981140
1329704121.482597 -0.044508 -0.075447 0.924064 858.776367 479.534058 757.015686
1329704121.491749 -0.044716 -0.075910 0.924059 858.815247 479.520721 756.951172
1329704121.499399 -0.044664 -0.076031 0.924054 858.825623 479.506134 756.961121
1329704121.513902 -0.044569 -0.075626 0.924095 858.819702 479.488068 757.038086
1329704121.516690 -0.044616 -0.075809 0.923991 858.809753 479.505432 756.986694
1329704121.524386 -0.044430 -0.075370 0.924023 858.807739 479.498688 757.059998
1329704121.532887 -0.044728 -0.075953 0.923989 858.819092 479.511780 756.957886
1329704121.541305 -0.044540 -0.075370 0.924063 858.786377 479.508698 757.064819
1329704121.549291 -0.044567 -0.075543 0.924105 858.789612 479.519348 757.002747
1329704121.558006 -0.044623 -0.075511 0.924090 858.766052 479.519806 757.014221
1329704121.567499 -0.044467 -0.075239 0.924107 858.761108 479.521454 757.035400
1329704121.574329 -0.044526 -0.075393 0.924150 858.777649 479.518799 757.000244
1329704121.582775 -0.044566 -0.075500 0.924089 858.775574 479.544708 756.989319
1329704121.591339 -0.044572 -0.075462 0.924053 858.788208 479.527832 757.005493
1329704121.599741 -0.044454 -0.075420 0.924036 858.800720 479.529358 757.007080
1329704121.607831 -0.044494 -0.075537 0.924045 858.816711 479.525330 757.004089
1329704121.617905 -0.044598 -0.075834 0.924010 858.825378 479.519897 756.968506
1329704121.626474 -0.044443 -0.075508 0.924046 858.813538 479.512817 757.035156
1329704121.632842 -0.044594 -0.075828 0.923977 858.812988 479.516968 756.987976
1329704121.641293 -0.044556 -0.075633 0.924039 858.805542 479.502533 757.021606
1329704121.649257 -0.044455 -0.075523 0.924070 858.786865 479.506775 757.021790
1329704121.657940 -0.044481 -0.075554 0.924072 858.782043 479.507690 757.011414
1329704121.666306 -0.044664 -0.075675 0.924080 858.784485 479.507202 756.995789
1329704121.674957 -0.044621 -0.075787 0.924057 858.779114 479.520935 756.976624
1329704121.682919 -0.044552 -0.075537 0.924103 858.789612 479.516846 757.022339
1329704121.691533 -0.044400 -0.075093 0.924078 858.774170 479.520325 757.067566
1329704121.699442 -0.044559 -0.075527 0.924067 858.806091 479.524811 756.979797
1329704121.708222 -0.044507 -0.075370 0.923995 858.795227 479.532501 757.022156
1329704121.716281 -0.044572 -0.075516 0.924044 858.807312 479.521729 756.998657
1329704121.726897 -0.044606 -0.075667 0.924056 858.810669 479.524506 756.980103
1329704121.741667 -0.044641 -0.075857 0.924027 858.804749 479.528656 756.976440
1329704121.754011 -0.044530 -0.075746 0.924024 858.790588 479.524841 757.007019
1329704121.768588 -0.044654 -0.076027 0.924081 858.804321 479.514832 756.968018
1329704121.792042 -0.044525 -0.075625 0.924082 858.781128 479.508972 757.041626
1329704121.815368 -0.044470 -0.075447 0.923945 858.784485 479.516022 757.019653
1329704121.829082 -0.044489 -0.075340 0.924000 858.807556 479.507935 757.038696
1329704121.832530 -0.044512 -0.075418 0.924096 858.806580 479.516754 757.020447
1329704121.841619 -0.044389 -0.075191 0.924051 858.780090 479.533569 757.058472
1329704121.850929 -0.044438 -0.075589 0.924113 858.788086 479.531738 756.989563
1329704121.858382 -0.044496 -0.075592 0.924080 858.775024 479.536163 757.011658
1329704121.866111 -0.044633 -0.075865 0.924044 858.777710 479.530090 756.976990
1329704121.874505 -0.044462 -0.075524 0.924038 858.774658 479.526489 757.021851
1329704121.882754 -0.044521 -0.075680 0.924046 858.786743 479.523163 756.989441
1329704121.891397 -0.044629 -0.075724 0.924063 858.803284 479.511200 756.998657
1329704121.899532 -0.044463 -0.075420 0.924020 858.792969 479.516479 757.043335
1329704121.908872 -0.044559 -0.075778 0.924065 858.822998 479.507507 756.984009
1329704121.916026 -0.044510 -0.075576 0.924047 858.802551 479.501526 757.038330
1329704121.925778 -0.044490 -0.075502 0.924092 858.807373 479.500732 757.029663
1329704121.932801 -0.044613 -0.075560 0.924060 858.800232 479.507050 757.010620
1329704121.944423 -0.044506 -0.075360 0.924008 858.775757 479.515289 757.029419
1329704121.949092 -0.044467 -0.075327 0.924063 858.791016 479.515808 757.021973
1329704121.957702 -0.044690 -0.075834 0.924101 858.785889 479.514038 756.951538
1329704121.965649 -0.044472 -0.075372 0.924074 858.763977 479.536499 757.030701
1329704121.974450 -0.044689 -0.075874 0.924064 858.793335 479.537781 756.945862
1329704121.982553 -0.044458 -0.075586 0.924105 858.780640 479.540131 757.020569
1329704121.997200 -0.044446 -0.075523 0.924067 858.786560 479.538116 757.023682
1329704122.010864 -0.044474 -0.075635 0.924046 858.805420 479.533905 757.004395
1329704122.015982 -0.044560 -0.075656 0.924037 858.815613 479.510193 757.012573
1329704122.023944 -0.044688 -0.075722 0.924102 858.815063 479.492737 756.996399
1329704122.032629 -0.044536 -0.075532 0.923989 858.779846 479.519958 757.009338
1329704122.040860 -0.044682 -0.075720 0.924054 858.805908 479.501038 756.992065
1329704122.049392 -0.044676 -0.075783 0.924043 858.789001 479.508423 756.996460
1329704122.060066 -0.044517 -0.075393 0.924065 858.774658 479.514709 757.056213
1329704122.066106 -0.044468 -0.075358 0.924053 858.772461 479.523743 757.040039
1329704122.073888 -0.044395 -0.075250 0.924083 858.779419 479.526062 757.053711
1329704122.082572 -0.044387 -0.075146 0.924072 858.777039 479.529724 757.062256
1329704122.090813 -0.044566 -0.075630 0.924071 858.805542 479.523560 756.972351
1329704122.101396 -0.044514 -0.075480 0.924052 858.794128 479.518341 757.004761
1329704122.124813 -0.044703 -0.075854 0.924007 858.815247 479.527527 756.945435
1329704122.132647 -0.044537 -0.075530 0.924082 858.801880 479.520721 757.035461
1329704122.140266 -0.044660 -0.075947 0.924028 858.794739 479.529968 756.955688
1329704122.149296 -0.044582 -0.075660 0.924104 858.786194 479.518524 757.032532
1329704122.157590 -0.044527 -0.075488 0.924097 858.774414 479.513092 757.043396
1329704122.165870 -0.044571 -0.075546 0.924116 858.776794 479.499756 757.026001
1329704122.174174 -0.044559 -0.075560 0.924066 858.779602 479.511108 757.016296
1329704122.182716 -0.044499 -0.075414 0.924055 858.780884 479.510681 757.047241
1329704122.190320 -0.044493 -0.075377 0.924053 858.786377 479.508057 757.039490
1329704122.198876 -0.044464 -0.075428 0.924026 858.803040 479.521301 757.027344
1329704122.207547 -0.044572 -0.075651 0.924080 858.819275 479.513733 757.007202
1329704122.215674 -0.044475 -0.075489 0.924070 858.797791 479.525604 757.030579
1329704122.223913 -0.044511 -0.075534 0.924097 858.798218 479.520966 757.010376
1329704122.232673 -0.044575 -0.075599 0.924018 858.786621 479.531982 757.004089
1329704122.240477 -0.044770 -0.075954 0.924044 858.795105 479.521179 756.943665
1329704122.248980 -0.044488 -0.075424 0.924085 858.772339 479.509308 757.033264
1329704122.257443 -0.044648 -0.075804 0.924075 858.790161 479.513916 756.973816
1329704122.266009 -0.044432 -0.075299 0.924122 858.773010 479.505920 757.074524
1329704122.274046 -0.044536 -0.075672 0.924099 858.793457 479.499756 757.008606
1329704122.287637 -0.044675 -0.075871 0.924097 858.802979 479.501953 757.010376
1329704122.292464 -0.044409 -0.075325 0.924101 858.792847 479.496338 757.094116
1329704122.299826 -0.044380 -0.075272 0.924074 858.810669 479.497192 757.072815
1329704122.307454 -0.044640 -0.075794 0.924074 858.831360 479.505127 756.985535
1329704122.317143 -0.044594 -0.075514 0.924071 858.803650 479.508728 757.028503
1329704122.323605 -0.044581 -0.075401 0.924029 858.788635 479.521851 757.014893
1329704122.333639 -0.044630 -0.075566 0.924070 858.796997 479.533142 756.979919
1329704122.340206 -0.044599 -0.075547 0.924063 858.783203 479.540985 757.001526
1329704122.349051 -0.044443 -0.075332 0.924159 858.786255 479.525513 757.034668
1329704122.357332 -0.044461 -0.075440 0.924116 858.776550 479.528809 757.016785
1329704122.365482 -0.044624 -0.075783 0.924089 858.798828 479.521179 756.982422
1329704122.373757 -0.044654 -0.075670 0.924079 858.799316 479.508362 757.018677
1329704122.382571 -0.044346 -0.075271 0.924063 858.803467 479.500610 757.052368
1329704122.401130 -0.044627 -0.075762 0.924052 858.824219 479.490356 756.976990
1329704122.407253 -0.044667 -0.075603 0.923968 858.806091 479.506836 757.013611
1329704122.415518 -0.044634 -0.075601 0.924134 858.831482 479.498230 757.001099
1329704122.423852 -0.044718 -0.075850 0.924054 858.797302 479.524597 756.971619
1329704122.432262 -0.044712 -0.075775 0.924108 858.795349 479.525269 757.010376
1329704122.440917 -0.044650 -0.075702 0.924093 858.784119 479.536072 757.025452
1329704122.455209 -0.044403 -0.075191 0.924083 858.768433 479.535736 757.083923
1329704122.460183 -0.044389 -0.075315 0.924047 858.783203 479.532227 757.039490
1329704122.473091 -0.044427 -0.075320 0.924127 858.806641 479.507843 757.045349
1329704122.487934 -0.044576 -0.075630 0.924083 858.802979 479.503326 756.988892
1329704122.492857 -0.044599 -0.075701 0.924120 858.809021 479.493103 756.988831
1329704122.507728 -0.044661 -0.075804 0.924077 858.805725 479.498566 756.981201
1329704122.519715 -0.044622 -0.075844 0.924061 858.796082 479.508911 756.975281
1329704122.534301 -0.044559 -0.075539 0.924107 858.794128 479.502777 757.027344
1329704122.540963 -0.044514 -0.075315 0.924143 858.777893 479.507812 757.030212
1329704122.557648 -0.044655 -0.075698 0.924122 858.792297 479.518066 756.978821
1329704122.565435 -0.044563 -0.075469 0.924107 858.786377 479.519836 757.037415
1329704122.574005 -0.044600 -0.075821 0.924105 858.807373 479.516479 756.982849
1329704122.581967 -0.044692 -0.075892 0.924089 858.809814 479.514008 757.000732
1329704122.590099 -0.044632 -0.075834 0.924037 858.804077 479.521362 756.997681
1329704122.598908 -0.044683 -0.075823 0.924106 858.825562 479.517517 756.983582
1329704122.619638 -0.044582 -0.075550 0.924006 858.799683 479.528961 756.999146
