imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.010357 1329704202.022178 494 519 601 376 378 368
0.958002 1329704202.113557 503 502 605 374 376 371
1.024682 1329704202.130520 503 502 605 374 376 371
1.024682 1329704202.138513 503 503 605 374 376 371
1.024682 1329704202.147911 504 502 605 375 377 371
1.024682 1329704202.155471 504 502 605 375 376 371
1.024682 1329704202.163731 504 502 605 374 376 369
1.024682 1329704202.172125 503 502 605 374 376 369
1.082904 1329704202.180703 503 502 605 374 376 370
1.082904 1329704202.193373 503 502 605 374 376 370
1.082904 1329704202.199226 503 502 605 374 375 370
1.082904 1329704202.205509 503 503 605 374 376 370
1.082904 1329704202.213480 503 502 605 374 376 371
1.082904 1329704202.222232 503 502 605 374 376 370
1.141231 1329704202.234014 503 502 604 375 376 370
1.141231 1329704202.238525 503 502 604 374 376 370
1.141231 1329704202.246964 503 502 605 374 376 371
1.141231 1329704202.255900 504 502 605 375 377 370
1.141231 1329704202.263571 503 502 605 373 376 370
1.141231 1329704202.271995 503 502 604 375 377 369
1.211952 1329704202.280317 504 502 605 374 377 370
1.211952 1329704202.288710 503 502 605 374 376 370
1.211952 1329704202.297444 503 502 605 375 377 370
1.211952 1329704202.305601 504 502 605 374 377 370
1.211952 1329704202.313467 503 502 605 374 377 370
1.211952 1329704202.322295 503 503 605 373 376 370
1.270901 1329704202.341663 504 503 605 374 376 370
1.270901 1329704202.346870 503 502 605 373 376 369
1.270901 1329704202.355190 503 502 605 374 377 370
1.270901 1329704202.363906 503 502 605 375 376 370
1.270901 1329704202.371572 503 503 604 375 376 371
1.270901 1329704202.380441 503 502 604 374 376 370
1.324194 1329704202.389004 503 502 605 374 376 371
1.324194 1329704202.396845 503 502 604 375 375 371
1.324194 1329704202.405195 503 503 605 374 376 369
1.324194 1329704202.413791 504 502 604 374 375 371
1.324194 1329704202.421820 504 503 605 374 376 370
1.324194 1329704202.430103 504 502 605 375 377 370
1.382628 1329704202.438927 503 502 605 375 376 370
1.382628 1329704202.446637 503 502 605 374 375 370
1.382628 1329704202.455323 504 502 605 374 376 370
1.382628 1329704202.463720 503 502 605 375 376 369
1.382628 1329704202.471701 503 502 605 375 376 371
1.382628 1329704202.480181 503 502 604 375 376 371
1.449413 1329704202.488823 503 502 605 375 377 370
1.449413 1329704202.496820 503 502 605 374 377 370
1.449413 1329704202.505464 504 502 605 374 376 370
1.449413 1329704202.513751 503 502 604 374 376 371
1.449413 1329704202.521669 503 502 605 374 376 371
1.449413 1329704202.530110 503 502 604 374 375 370
1.507471 1329704202.550479 504 502 605 374 376 371
1.507471 1329704202.554906 503 502 604 374 376 370
1.507471 1329704202.563597 503 502 605 374 375 371
1.507471 1329704202.571789 503 502 605 374 376 371
1.507471 1329704202.579788 503 502 605 374 376 370
1.507471 1329704202.596755 503 502 605 374 376 370
1.569560 1329704202.605091 503 502 605 374 377 371
1.569560 1329704202.613501 503 502 605 374 376 370
1.569560 1329704202.621917 503 502 605 374 376 370
1.569560 1329704202.630279 503 502 605 375 376 370
1.569560 1329704202.638399 504 502 605 374 376 370
1.569560 1329704202.646445 504 502 605 375 376 371
1.623496 1329704202.655331 504 502 605 373 376 370
1.623496 1329704202.663184 504 502 605 374 376 371
1.623496 1329704202.671617 504 502 605 374 376 371
1.623496 1329704202.679855 503 502 605 374 376 370
1.623496 1329704202.688711 503 502 605 374 376 370
1.623496 1329704202.696637 503 503 605 374 377 370
