imu_t vicon_t roll pitch yaw
0.010357 1329704202.022178 -10 -7 -79
1.973058 1329704202.113557 0 0 0
2.006880 1329704202.130520 0 0 0
2.031923 1329704202.138513 0 0 0
2.031923 1329704202.147911 0 0 0
2.065269 1329704202.155471 0 0 0
2.101324 1329704202.163731 0 0 0
2.101324 1329704202.172125 0 0 0
2.123914 1329704202.180703 0 0 0
2.156318 1329704202.193373 0 0 0
2.156318 1329704202.199226 0 0 0
2.181285 1329704202.205509 0 0 0
2.214896 1329704202.213480 0 0 0
2.214896 1329704202.222232 0 0 0
2.251179 1329704202.234014 0 0 0
2.273424 1329704202.238525 0 0 0
2.273424 1329704202.246964 0 0 0
2.306379 1329704202.255900 0 0 0
2.331140 1329704202.263571 0 0 0
2.331140 1329704202.271995 0 0 0
2.364341 1329704202.280317 0 0 0
2.398356 1329704202.288710 0 0 0
2.398356 1329704202.297444 0 0 0
2.422651 1329704202.305601 0 0 0
2.451019 1329704202.313467 0 0 0
2.451019 1329704202.322295 0 0 0
2.481022 1329704202.341663 0 0 0
2.514403 1329704202.346870 0 0 0
2.514403 1329704202.355190 0 0 0
2.546962 1329704202.363906 0 0 0
2.571995 1329704202.371572 0 0 0
2.571995 1329704202.380441 0 0 0
2.604988 1329704202.389004 0 0 0
2.638671 1329704202.396845 0 0 0
2.638671 1329704202.405195 0 0 0
2.663613 1329704202.413791 0 0 0
2.696975 1329704202.421820 0 0 0
2.696975 1329704202.430103 0 0 0
2.721992 1329704202.438927 0 0 0
2.758679 1329704202.446637 0 0 0
2.758679 1329704202.455323 0 0 0
2.780265 1329704202.463720 0 0 0
2.812642 1329704202.471701 0 0 0
2.812642 1329704202.480181 0 0 0
2.846731 1329704202.488823 0 0 0
2.880907 1329704202.496820 0 0 0
2.880907 1329704202.505464 0 0 0
2.904863 1329704202.513751 0 0 0
2.936912 1329704202.521669 0 0 0
2.936912 1329704202.530110 0 0 0
2.963290 1329704202.550479 0 0 0
2.998779 1329704202.554906 0 0 0
2.998779 1329704202.563597 0 0 0
3.038164 1329704202.571789 0 0 0
3.038164 1329704202.579788 0 0 0
3.079654 1329704202.596755 0 -1 0
3.079654 1329704202.605091 0 -1 0
3.117641 1329704202.613501 0 -1 0
3.117641 1329704202.621917 0 -1 0
3.164132 1329704202.630279 0 -1 0
3.164132 1329704202.638399 0 -1 0
3.196613 1329704202.646445 0 -1 0
3.196613 1329704202.655331 0 -1 0
3.221529 1329704202.663184 0 -1 0
3.254672 1329704202.671617 0 -1 0
3.254672 1329704202.679855 0 -1 0
3.296153 1329704202.688711 0 -1 0
3.296153 1329704202.696637 0 -1 0
3.338133 1329704202.705086 0 -1 0
3.338133 1329704202.715656 0 -1 0
3.379800 1329704202.727593 0 0 0
3.379800 1329704202.730189 0 0 0
3.406066 1329704202.738356 0 0 0
3.437996 1329704202.746407 0 0 0
3.437996 1329704202.761589 0 0 0
3.479591 1329704202.764135 0 1 0
3.479591 1329704202.771741 0 2 0
3.512618 1329704202.780086 0 3 0
3.512618 1329704202.788406 0 4 0
3.554632 1329704202.796465 0 6 0
3.554632 1329704202.805094 0 7 0
3.598134 1329704202.813637 0 7 1
3.598134 1329704202.821683 0 8 1
3.637893 1329704202.829966 0 8 0
3.637893 1329704202.838471 1 8 0
3.679322 1329704202.846488 1 8 0
3.679322 1329704202.855063 1 7 0
3.723420 1329704202.863310 1 7 0
3.723420 1329704202.871822 1 6 0
3.754075 1329704202.879867 1 5 0
3.754075 1329704202.888035 1 5 0
3.791871 1329704202.896502 1 4 0
3.791871 1329704202.905540 1 4 0
3.848720 1329704202.913016 0 4 0
3.848720 1329704202.921658 0 4 0
3.871374 1329704202.929707 0 4 0
3.871374 1329704202.937730 0 4 0
3.912930 1329704202.946448 -1 5 0
3.912930 1329704202.954933 -1 5 0
3.954434 1329704202.962915 -2 6 -1
3.954434 1329704202.971767 -2 6 -1
3.996457 1329704202.979708 -2 7 -2
3.996457 1329704202.987971 -2 7 -2
4.037965 1329704202.996307 -2 6 -3
4.037965 1329704203.004863 -3 6 -3
4.071477 1329704203.012639 -3 5 -4
4.071477 1329704203.021710 -3 5 -4
4.112848 1329704203.029818 -3 4 -5
4.112848 1329704203.037850 -3 4 -6
4.160943 1329704203.046351 -3 4 -6
4.160943 1329704203.055056 -3 4 -7
4.196261 1329704203.063040 -3 4 -7
4.196261 1329704203.071531 -3 4 -8
4.237632 1329704203.079858 -3 5 -9
4.237632 1329704203.088150 -2 5 -9
4.272810 1329704203.106302 -2 5 -9
4.272810 1329704203.113169 -2 5 -10
4.312642 1329704203.121497 -1 5 -10
4.312642 1329704203.129877 -1 5 -10
4.354736 1329704203.137802 -1 5 -10
4.354736 1329704203.146551 -1 5 -11
4.396352 1329704203.156179 -1 6 -11
4.396352 1329704203.163210 0 6 -11
4.437683 1329704203.171248 0 6 -11
4.437683 1329704203.179761 0 6 -11
4.471933 1329704203.188065 0 7 -11
4.471933 1329704203.196422 0 7 -11
4.512834 1329704203.204417 0 6 -11
4.512834 1329704203.212981 0 6 -11
4.554520 1329704203.221362 1 6 -12
4.554520 1329704203.235791 1 6 -12
4.596169 1329704203.238172 1 5 -12
4.596169 1329704203.246452 1 5 -12
4.637705 1329704203.257906 1 5 -12
4.637705 1329704203.262958 2 5 -12
4.679579 1329704203.271196 2 5 -12
4.679579 1329704203.279690 2 5 -13
4.713068 1329704203.287963 2 5 -13
4.713068 1329704203.296143 2 5 -13
4.754368 1329704203.317082 2 5 -13
4.754368 1329704203.331240 2 5 -13
4.796060 1329704203.338116 2 4 -13
4.796060 1329704203.346186 2 4 -14
4.837733 1329704203.354753 1 4 -14
4.837733 1329704203.362846 1 4 -14
4.879122 1329704203.376108 1 3 -14
4.879122 1329704203.379530 1 3 -14
4.912979 1329704203.387939 1 3 -14
