vicon_t u v w x y z
1329704202.022178 3.102447 0.383698 0.072740 969.796692 516.620422 763.558594
1329704202.113557 3.102492 0.383762 0.072815 969.811279 516.616516 763.553040
1329704202.130520 3.102416 0.383684 0.072785 969.797729 516.618958 763.569458
1329704202.138513 3.102433 0.383751 0.072883 969.813477 516.623840 763.545288
1329704202.147911 3.102413 0.383730 0.072842 969.803894 516.632080 763.551514
1329704202.155471 3.102436 0.383700 0.072876 969.804626 516.635315 763.546143
1329704202.163731 3.102385 0.383772 0.072836 969.815186 516.634521 763.561462
1329704202.172125 3.102418 0.383716 0.072870 969.804626 516.635925 763.557251
1329704202.180703 3.102425 0.383786 0.072877 969.819641 516.630798 763.557495
1329704202.193373 3.102409 0.383666 0.073004 969.804077 516.626465 763.566223
1329704202.199226 3.102404 0.383678 0.072848 969.810608 516.612305 763.572876
1329704202.205509 3.102425 0.383753 0.072789 969.812134 516.610352 763.570557
1329704202.213480 3.102441 0.383725 0.072836 969.809387 516.619568 763.561646
1329704202.222232 3.102481 0.383741 0.072845 969.819519 516.617249 763.554871
1329704202.234014 3.102463 0.383698 0.072839 969.808167 516.624817 763.559082
1329704202.238525 3.102468 0.383764 0.072847 969.812439 516.637207 763.541870
1329704202.246964 3.102442 0.383719 0.072801 969.801941 516.644714 763.542786
1329704202.255900 3.102461 0.383784 0.072794 969.802002 516.640503 763.533875
1329704202.263571 3.102407 0.383725 0.072844 969.799744 516.643677 763.548035
1329704202.271995 3.102416 0.383782 0.072831 969.797607 516.643799 763.536804
1329704202.280317 3.102369 0.383750 0.072859 969.794739 516.635071 763.555237
1329704202.288710 3.102411 0.383767 0.072811 969.799377 516.627136 763.553894
1329704202.297444 3.102382 0.383771 0.072877 969.807251 516.615967 763.563904
1329704202.305601 3.102470 0.383737 0.072911 969.809509 516.611084 763.561584
1329704202.313467 3.102453 0.383744 0.072992 969.820435 516.603333 763.570129
1329704202.322295 3.102488 0.383720 0.072842 969.812134 516.601562 763.574585
1329704202.341663 3.102499 0.383696 0.072824 969.816345 516.608215 763.559570
1329704202.346870 3.102467 0.383755 0.072774 969.807373 516.618469 763.551514
1329704202.355190 3.102435 0.383758 0.072826 969.797180 516.626221 763.536499
1329704202.363906 3.102428 0.383756 0.072851 969.791992 516.636292 763.534302
1329704202.371572 3.102461 0.383812 0.072851 969.797241 516.635742 763.525085
1329704202.380441 3.102460 0.383763 0.072719 969.783447 516.634766 763.538452
1329704202.389004 3.102417 0.383731 0.072841 969.794373 516.625488 763.539734
1329704202.396845 3.102456 0.383708 0.072891 969.802185 516.619019 763.541077
1329704202.405195 3.102419 0.383715 0.072860 969.811462 516.614685 763.553162
1329704202.413791 3.102441 0.383698 0.072806 969.819763 516.608643 763.559204
1329704202.421820 3.102452 0.383718 0.072892 969.827515 516.609741 763.556580
1329704202.430103 3.102475 0.383687 0.072813 969.820374 516.613403 763.568665
