imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.009748 1329703794.687979 501 498 604 376 371 373
0.009748 1329703794.748321 503 496 603 378 368 377
0.009748 1329703794.779660 506 493 602 380 369 378
0.009748 1329703794.788198 509 496 602 383 368 377
0.009748 1329703794.795881 508 496 603 383 367 374
0.009748 1329703794.804656 506 496 603 377 371 370
0.009748 1329703794.812856 503 493 603 374 371 370
0.009748 1329703794.821304 504 492 602 377 372 371
0.009748 1329703794.839864 507 494 603 378 376 370
0.009748 1329703794.846455 507 495 603 374 381 365
0.009748 1329703794.854459 504 494 604 372 382 363
0.009748 1329703794.862743 504 494 603 370 383 365
0.009748 1329703794.871267 505 492 603 369 381 366
0.009748 1329703794.888005 505 493 603 370 379 366
0.009748 1329703794.896377 507 494 605 371 379 366
0.009748 1329703794.904813 508 493 605 370 379 363
0.009748 1329703794.912473 507 493 605 368 379 362
0.009748 1329703794.921129 508 493 606 370 384 362
0.009748 1329703794.929633 508 493 606 370 387 363
0.009748 1329703794.937661 504 491 606 367 385 363
0.009748 1329703794.946377 505 492 607 366 382 366
0.009748 1329703794.954700 509 493 608 371 380 368
0.009748 1329703794.962803 513 493 609 372 381 369
0.009748 1329703794.971984 510 495 610 370 381 367
0.009748 1329703794.979720 511 496 608 368 379 367
0.009748 1329703795.000983 511 494 607 368 378 367
0.009748 1329703795.005181 512 493 607 370 377 367
0.009748 1329703795.012692 512 496 608 372 376 366
0.009748 1329703795.021397 511 498 607 373 375 366
0.009748 1329703795.029636 511 497 607 374 372 367
0.009748 1329703795.037753 513 496 607 373 372 364
0.009748 1329703795.046062 514 497 608 374 373 365
0.009748 1329703795.054533 513 497 608 374 368 365
0.009748 1329703795.062917 512 498 608 373 368 366
0.009748 1329703795.070861 515 498 605 374 368 370
0.009748 1329703795.079572 515 501 604 376 369 368
0.009748 1329703795.087541 513 504 603 381 373 368
0.009748 1329703795.096072 511 505 600 385 376 368
0.009748 1329703795.114966 512 505 595 389 379 368
0.009748 1329703795.121001 511 506 593 387 383 365
0.009748 1329703795.129343 514 507 594 384 386 360
0.009748 1329703795.137571 513 506 595 386 388 353
0.009748 1329703795.145966 514 507 596 388 387 350
0.009748 1329703795.154286 514 504 594 388 391 349
0.009748 1329703795.169566 517 512 595 379 392 340
0.009748 1329703795.172391 513 504 595 370 391 335
0.009748 1329703795.179409 508 507 601 364 390 338
0.009748 1329703795.187750 512 511 604 362 392 337
0.009748 1329703795.195868 518 510 606 362 394 338
0.009748 1329703795.204404 520 500 607 366 395 343
0.009748 1329703795.212442 517 498 610 382 393 353
0.009748 1329703795.225093 517 498 608 396 390 363
0.009748 1329703795.229304 522 499 611 408 394 371
0.009748 1329703795.237495 520 496 608 413 399 375
0.009748 1329703795.246006 516 495 608 399 395 372
0.009748 1329703795.254251 515 495 609 387 391 363
0.009748 1329703795.263824 517 491 605 374 390 359
0.009748 1329703795.270789 510 487 607 362 397 360
0.009748 1329703795.279065 517 495 611 356 406 365
0.009748 1329703795.287539 520 500 615 350 404 368
0.009748 1329703795.295837 529 499 618 341 395 365
0.009748 1329703795.303921 522 496 621 342 386 376
0.009748 1329703795.312171 521 493 623 344 376 383
0.009748 1329703795.321159 522 492 622 349 359 381
0.009748 1329703795.328959 519 494 621 359 343 379
0.009748 1329703795.337508 519 495 620 371 328 381
0.053338 1329703795.345898 517 498 617 382 314 378
0.053338 1329703795.353984 515 501 615 390 304 373
0.053338 1329703795.362265 516 500 612 396 303 372
0.053338 1329703795.370777 508 502 605 374 376 370
0.086534 1329703795.378867 508 502 605 374 376 370
0.086534 1329703795.387329 508 502 605 374 377 370
0.127865 1329703795.395737 508 502 605 374 377 370
0.127865 1329703795.403977 508 502 605 374 376 369
0.169927 1329703795.412216 508 502 606 374 376 372
0.169927 1329703795.425282 508 502 606 374 376 370
0.211464 1329703795.428882 508 502 606 374 376 370
0.211464 1329703795.437600 508 502 605 374 376 371
0.266099 1329703795.445828 508 502 606 374 377 370
0.266099 1329703795.454179 508 502 605 376 376 370
0.286541 1329703795.462139 508 502 605 374 376 370
0.286541 1329703795.475894 508 502 605 374 375 370
0.327987 1329703795.490890 508 502 605 375 376 371
0.327987 1329703795.514324 508 502 605 374 377 371
0.380056 1329703795.528592 508 502 605 375 375 370
0.380056 1329703795.531535 507 503 605 374 376 371
0.411115 1329703795.537053 508 502 605 373 376 370
0.411115 1329703795.549049 508 502 605 374 376 371
0.453011 1329703795.553812 508 502 605 375 376 370
0.453011 1329703795.562376 508 502 605 375 377 371
0.490153 1329703795.570610 508 502 605 375 376 370
0.490153 1329703795.578727 508 502 605 374 375 371
0.528921 1329703795.598187 508 502 605 375 377 370
0.528921 1329703795.612669 508 502 605 374 376 369
0.569045 1329703795.620815 508 502 605 374 376 370
0.569045 1329703795.628803 508 502 606 374 376 371
0.610983 1329703795.637355 508 502 605 374 376 370
0.610983 1329703795.645430 508 502 605 374 376 371
0.652685 1329703795.653299 508 502 605 375 376 370
0.652685 1329703795.661785 508 502 605 375 376 371
0.690375 1329703795.670426 508 502 605 375 376 369
0.690375 1329703795.678591 508 502 605 374 376 371
0.727429 1329703795.687198 508 502 605 374 375 370
0.727429 1329703795.696102 508 502 605 374 375 370
0.779373 1329703795.703274 508 502 605 374 376 371
0.779373 1329703795.712038 508 502 605 374 377 370
0.814331 1329703795.726684 508 502 605 375 377 371
0.814331 1329703795.740512 507 502 605 374 376 370
0.863263 1329703795.764152 508 502 606 375 376 370
0.863263 1329703795.776331 508 502 605 376 376 369
0.893937 1329703795.781115 508 502 605 374 377 371
