imu_t vicon_t roll pitch yaw
0.009748 1329703794.687979 2 2 11
0.009748 1329703794.748321 2 1 12
0.009748 1329703794.779660 2 1 12
0.009748 1329703794.788198 2 1 12
0.009748 1329703794.795881 3 1 12
0.009748 1329703794.804656 3 1 12
0.009748 1329703794.812856 3 1 12
0.009748 1329703794.821304 3 1 12
0.009748 1329703794.839864 3 1 12
0.009748 1329703794.846455 3 1 12
0.009748 1329703794.854459 3 1 12
0.009748 1329703794.862743 3 1 12
0.009748 1329703794.871267 3 1 11
0.009748 1329703794.888005 2 1 11
0.009748 1329703794.896377 2 1 11
0.009748 1329703794.904813 2 1 11
0.009748 1329703794.912473 2 1 11
0.009748 1329703794.921129 2 1 11
0.009748 1329703794.929633 2 1 11
0.009748 1329703794.937661 2 2 11
0.009748 1329703794.946377 2 2 11
0.009748 1329703794.954700 2 2 11
0.009748 1329703794.962803 2 2 10
0.009748 1329703794.971984 2 2 10
0.009748 1329703794.979720 2 2 10
0.009748 1329703795.000983 1 2 10
0.009748 1329703795.005181 1 2 10
0.009748 1329703795.012692 1 2 10
0.009748 1329703795.021397 1 2 10
0.009748 1329703795.029636 1 2 10
0.009748 1329703795.037753 1 2 10
0.009748 1329703795.046062 1 2 10
0.009748 1329703795.054533 1 2 10
0.009748 1329703795.062917 1 1 10
0.009748 1329703795.070861 1 1 10
0.009748 1329703795.079572 1 1 10
0.009748 1329703795.087541 1 1 10
0.009748 1329703795.096072 2 1 9
0.009748 1329703795.114966 2 1 9
0.009748 1329703795.121001 2 1 9
0.009748 1329703795.129343 2 2 9
0.009748 1329703795.137571 2 2 9
0.009748 1329703795.145966 3 2 8
0.009748 1329703795.154286 3 2 8
0.009748 1329703795.169566 3 3 7
0.009748 1329703795.172391 2 3 7
0.009748 1329703795.179409 2 3 6
0.009748 1329703795.187750 2 4 5
0.009748 1329703795.195868 2 4 5
0.009748 1329703795.204404 1 4 4
0.009748 1329703795.212442 2 5 4
0.009748 1329703795.225093 2 5 4
0.009748 1329703795.229304 3 5 4
0.009748 1329703795.237495 3 6 4
0.009748 1329703795.246006 4 6 4
0.009748 1329703795.254251 4 6 4
0.009748 1329703795.263824 4 7 4
0.009748 1329703795.270789 4 7 4
0.009748 1329703795.279065 3 8 4
0.009748 1329703795.287539 3 8 4
0.009748 1329703795.295837 2 9 3
0.009748 1329703795.303921 2 9 4
0.009748 1329703795.312171 1 9 4
0.009748 1329703795.321159 1 8 4
0.009748 1329703795.328959 0 7 4
0.009748 1329703795.337508 0 6 4
0.053338 1329703795.345898 1 5 5
0.053338 1329703795.353984 1 4 5
0.053338 1329703795.362265 1 2 5
0.053338 1329703795.370777 -1 -1 33
0.086534 1329703795.378867 -1 -1 33
0.086534 1329703795.387329 -1 -1 33
0.127865 1329703795.395737 -1 -1 33
0.127865 1329703795.403977 -1 -1 33
0.169927 1329703795.412216 -1 -1 33
0.169927 1329703795.425282 -1 -1 33
0.211464 1329703795.428882 -1 -1 33
0.211464 1329703795.437600 -1 -1 33
0.266099 1329703795.445828 -1 -1 33
0.266099 1329703795.454179 -1 -1 33
0.286541 1329703795.462139 -1 -1 33
0.286541 1329703795.475894 -1 -1 33
0.327987 1329703795.490890 -1 -1 33
0.327987 1329703795.514324 -1 -1 33
0.380056 1329703795.528592 -1 -1 33
0.380056 1329703795.531535 -1 -1 33
0.411115 1329703795.537053 -1 -1 33
0.411115 1329703795.549049 -1 -1 33
0.453011 1329703795.553812 -1 -1 33
0.453011 1329703795.562376 -1 -1 33
0.490153 1329703795.570610 -1 -1 33
0.490153 1329703795.578727 -1 -1 33
0.528921 1329703795.598187 -1 -1 33
0.528921 1329703795.612669 -1 -1 33
0.569045 1329703795.620815 -1 -1 33
0.569045 1329703795.628803 -1 -1 33
0.610983 1329703795.637355 -1 -1 33
0.610983 1329703795.645430 -1 -1 33
0.652685 1329703795.653299 -1 -1 33
0.652685 1329703795.661785 -1 -1 33
0.690375 1329703795.670426 -1 -1 33
0.690375 1329703795.678591 -1 -1 33
0.727429 1329703795.687198 -1 -1 33
0.727429 1329703795.696102 -1 -1 33
0.779373 1329703795.703274 -1 -1 33
0.779373 1329703795.712038 -1 -1 33
0.814331 1329703795.726684 -1 -1 34
0.814331 1329703795.740512 -1 -1 34
0.863263 1329703795.764152 -1 -1 33
0.863263 1329703795.776331 -1 -1 33
0.893937 1329703795.781115 -1 -1 33
0.893937 1329703795.787040 -1 -1 33
0.926931 1329703795.795293 -1 -1 33
0.968428 1329703795.803408 -1 -1 33
0.968428 1329703795.811818 -1 -1 33
1.029349 1329703795.820473 -1 -1 33
1.029349 1329703795.828444 -1 -1 33
1.052112 1329703795.837012 -1 -1 33
1.052112 1329703795.845218 -1 -1 33
1.093574 1329703795.859537 -1 -1 33
1.093574 1329703795.862502 -1 -1 34
1.127584 1329703795.870426 -1 -1 34
1.127584 1329703795.878626 -1 -1 34
1.168389 1329703795.886956 -1 -1 34
1.168389 1329703795.895159 -1 -1 34
1.210320 1329703795.903306 -1 -1 34
1.210320 1329703795.911890 -1 -1 34
1.251973 1329703795.920664 -1 -1 33
1.251973 1329703795.928359 -1 -1 34
