vicon_t u v w x y z
1329703794.687979 -0.007839 -0.026191 -1.749377 1032.259399 578.165649 764.626892
1329703794.748321 -0.007895 -0.026233 -1.749396 1032.237305 578.163574 764.647339
1329703794.779660 -0.007819 -0.026233 -1.749465 1032.289917 578.133728 764.640991
1329703794.788198 -0.007764 -0.026251 -1.749488 1032.284424 578.146545 764.628113
1329703794.795881 -0.007877 -0.026110 -1.749451 1032.272827 578.148071 764.633789
1329703794.804656 -0.007843 -0.026223 -1.749406 1032.254028 578.156189 764.647583
1329703794.812856 -0.007830 -0.026205 -1.749375 1032.237915 578.169556 764.635864
1329703794.821304 -0.007878 -0.026209 -1.749390 1032.221069 578.183655 764.642395
1329703794.839864 -0.007903 -0.026199 -1.749380 1032.225342 578.190002 764.635925
1329703794.846455 -0.007911 -0.026178 -1.749400 1032.250854 578.193359 764.635315
1329703794.854459 -0.007804 -0.026180 -1.749418 1032.266235 578.177795 764.631348
1329703794.862743 -0.007795 -0.026238 -1.749429 1032.276367 578.161865 764.642334
1329703794.871267 -0.007811 -0.026162 -1.749432 1032.284546 578.150330 764.643738
1329703794.888005 -0.007889 -0.026201 -1.749493 1032.285645 578.136047 764.659363
1329703794.896377 -0.007872 -0.026176 -1.749408 1032.283691 578.127136 764.656372
1329703794.904813 -0.007823 -0.026261 -1.749397 1032.253174 578.140564 764.655151
1329703794.912473 -0.007918 -0.026138 -1.749422 1032.243774 578.150879 764.662109
1329703794.921129 -0.007854 -0.026183 -1.749421 1032.244263 578.162720 764.655396
1329703794.929633 -0.007838 -0.026193 -1.749407 1032.232788 578.175232 764.656921
1329703794.937661 -0.007894 -0.026233 -1.749450 1032.226562 578.171936 764.665100
1329703794.946377 -0.007846 -0.026279 -1.749406 1032.246216 578.165771 764.657166
1329703794.954700 -0.007835 -0.026229 -1.749413 1032.251343 578.171204 764.655762
1329703794.962803 -0.007853 -0.026253 -1.749423 1032.262451 578.161499 764.656372
1329703794.971984 -0.007801 -0.026174 -1.749405 1032.274414 578.159607 764.638123
1329703794.979720 -0.007881 -0.026210 -1.749378 1032.278931 578.150513 764.649292
1329703795.000983 -0.007850 -0.026189 -1.749404 1032.285278 578.163696 764.642334
1329703795.005181 -0.007941 -0.026213 -1.749411 1032.271118 578.166321 764.656250
1329703795.012692 -0.007782 -0.026167 -1.749426 1032.256836 578.170837 764.645996
1329703795.021397 -0.007762 -0.026269 -1.749398 1032.243042 578.166016 764.663696
