imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.010574 1329703610.382270 519 499 608 371 381 363
0.010574 1329703610.547817 519 495 610 369 379 362
0.010574 1329703610.580920 518 497 610 365 378 366
0.010574 1329703610.589607 516 499 609 367 376 368
0.010574 1329703610.597834 517 500 608 371 375 371
0.010574 1329703610.605968 518 500 608 375 375 370
0.010574 1329703610.614385 517 498 608 375 377 370
0.010574 1329703610.622841 515 495 608 373 375 368
0.010574 1329703610.630843 514 496 607 372 372 368
0.010574 1329703610.639567 513 500 605 371 373 369
0.010574 1329703610.647916 514 501 605 371 376 368
0.010574 1329703610.656133 513 496 605 370 378 365
0.010574 1329703610.664551 510 495 605 370 374 366
0.010574 1329703610.672910 509 498 603 371 375 368
0.010574 1329703610.680852 508 502 601 376 377 368
0.010574 1329703610.689426 507 503 601 381 383 366
0.010574 1329703610.697900 506 501 602 387 390 365
0.010574 1329703610.706262 504 499 602 393 396 364
0.010574 1329703610.714687 504 499 603 397 400 366
0.010574 1329703610.722484 504 500 605 399 402 366
0.010574 1329703610.731052 503 500 608 399 402 365
0.010574 1329703610.739804 503 501 610 394 405 366
0.010574 1329703610.750880 508 499 614 387 404 365
0.010574 1329703610.756713 510 492 618 383 401 362
0.010574 1329703610.764729 511 487 618 381 391 364
0.010574 1329703610.773583 515 491 618 382 383 370
0.010574 1329703610.780862 515 498 619 382 381 370
0.010574 1329703610.790316 518 497 618 377 378 366
0.010574 1329703610.799150 521 491 618 377 374 364
0.010574 1329703610.813187 518 488 618 378 369 362
0.010574 1329703610.816263 516 486 614 379 360 364
0.010574 1329703610.822980 521 494 613 376 358 368
0.010574 1329703610.830954 520 500 614 365 359 365
0.010574 1329703610.839527 520 488 615 361 353 359
0.010574 1329703610.847748 520 479 612 366 344 362
0.010574 1329703610.856175 522 482 609 376 344 368
0.010574 1329703610.864502 523 489 605 381 351 375
0.010574 1329703610.872806 522 491 602 382 354 376
0.010574 1329703610.881004 524 487 601 389 357 376
0.010574 1329703610.889282 523 487 602 403 365 380
0.010574 1329703610.897488 528 486 607 411 369 379
0.010574 1329703610.906164 529 489 608 419 365 378
0.010574 1329703610.914329 526 491 606 430 358 377
0.010574 1329703610.922910 526 490 601 435 355 377
0.010574 1329703610.930964 527 490 597 445 359 381
0.010574 1329703610.939264 529 491 596 462 368 381
0.010574 1329703610.947395 532 487 593 497 375 382
0.010574 1329703610.958053 538 487 590 534 383 384
0.010574 1329703610.965051 542 484 587 563 397 383
0.010574 1329703610.972802 543 479 586 587 413 379
0.010574 1329703610.980902 539 471 583 602 419 375
0.010574 1329703610.989316 536 462 581 607 414 375
0.010574 1329703610.997455 537 452 577 604 402 377
0.046088 1329703611.008326 536 443 573 584 394 378
0.046088 1329703611.015137 537 439 574 549 391 374
0.046088 1329703611.022844 534 436 576 517 388 370
0.046088 1329703611.031807 507 502 606 375 376 371
0.087403 1329703611.039162 507 502 605 374 376 372
0.087403 1329703611.047302 508 502 605 374 376 370
0.121109 1329703611.056747 508 502 605 375 377 371
0.121109 1329703611.064279 508 502 605 373 376 371
0.163759 1329703611.072631 508 502 605 374 376 371
0.163759 1329703611.080994 508 502 605 375 375 371
0.207331 1329703611.088881 508 502 605 374 376 370
0.207331 1329703611.097459 508 502 605 374 377 369
0.246938 1329703611.105935 508 502 605 374 377 370
0.246938 1329703611.114188 508 502 605 374 376 370
0.283580 1329703611.122480 508 502 605 374 376 371
0.283580 1329703611.130849 508 502 605 375 375 371
0.321927 1329703611.138900 508 502 606 374 376 370
0.321927 1329703611.147391 507 502 605 375 376 370
0.362621 1329703611.155815 507 502 605 374 376 371
0.362621 1329703611.169011 508 502 605 375 376 370
0.404883 1329703611.172376 508 502 605 374 376 370
0.404883 1329703611.180796 508 502 605 374 377 369
0.445801 1329703611.189792 508 502 605 373 377 370
0.445801 1329703611.197351 508 502 605 375 376 371
0.488417 1329703611.205976 508 502 605 375 376 370
0.488417 1329703611.214197 508 502 606 374 375 370
0.521889 1329703611.222462 508 502 605 373 376 371
0.521889 1329703611.230952 508 502 605 375 376 370
0.562349 1329703611.239229 508 502 605 375 376 370
0.562349 1329703611.247040 508 502 605 375 377 370
0.603798 1329703611.255870 508 502 605 373 376 370
0.603798 1329703611.264129 508 502 605 375 376 370
0.646383 1329703611.272472 508 502 605 374 376 369
0.646383 1329703611.280861 508 502 605 375 375 370
0.687415 1329703611.289118 508 502 605 374 376 371
0.687415 1329703611.297290 508 502 605 375 376 370
0.720683 1329703611.305923 508 502 606 374 376 370
0.720683 1329703611.319335 508 502 605 374 376 370
0.762424 1329703611.322384 508 502 605 374 377 371
0.762424 1329703611.330743 508 502 606 374 376 370
0.803640 1329703611.339030 508 502 605 375 376 371
0.803640 1329703611.347090 508 502 605 374 376 370
0.845695 1329703611.355706 507 502 605 374 375 370
0.845695 1329703611.371772 508 502 605 374 376 370
0.887122 1329703611.374277 508 502 606 374 376 370
0.887122 1329703611.380566 508 502 605 373 377 371
0.923865 1329703611.389156 508 502 605 374 377 370
0.923865 1329703611.396865 508 502 605 373 376 370
0.962015 1329703611.405570 508 502 605 374 376 371
0.962015 1329703611.414101 508 502 605 374 376 371
1.014161 1329703611.422703 508 502 605 375 376 371
1.014161 1329703611.430535 508 502 605 374 376 370
1.045440 1329703611.438976 508 502 605 375 375 370
1.045440 1329703611.446805 508 502 605 374 376 370
