imu_t vicon_t roll pitch yaw
0.010574 1329703610.382270 0 5 5
0.010574 1329703610.547817 0 5 5
0.010574 1329703610.580920 0 5 5
0.010574 1329703610.589607 0 5 5
0.010574 1329703610.597834 0 5 5
0.010574 1329703610.605968 0 5 5
0.010574 1329703610.614385 0 5 5
0.010574 1329703610.622841 0 5 5
0.010574 1329703610.630843 0 4 5
0.010574 1329703610.639567 0 4 5
0.010574 1329703610.647916 0 4 5
0.010574 1329703610.656133 0 4 5
0.010574 1329703610.664551 0 4 4
0.010574 1329703610.672910 0 4 4
0.010574 1329703610.680852 0 4 4
0.010574 1329703610.689426 0 4 4
0.010574 1329703610.697900 0 5 4
0.010574 1329703610.706262 0 5 4
0.010574 1329703610.714687 0 5 4
0.010574 1329703610.722484 1 6 4
0.010574 1329703610.731052 1 6 4
0.010574 1329703610.739804 1 7 4
0.010574 1329703610.750880 2 7 4
0.010574 1329703610.756713 2 8 3
0.010574 1329703610.764729 2 8 3
0.010574 1329703610.773583 2 8 3
0.010574 1329703610.780862 2 8 3
0.010574 1329703610.790316 2 8 3
0.010574 1329703610.799150 2 8 3
0.010574 1329703610.813187 2 8 3
0.010574 1329703610.816263 2 8 3
0.010574 1329703610.822980 2 7 3
0.010574 1329703610.830954 2 7 3
0.010574 1329703610.839527 2 6 2
0.010574 1329703610.847748 2 6 2
0.010574 1329703610.856175 2 5 2
0.010574 1329703610.864502 2 5 2
0.010574 1329703610.872806 2 4 2
0.010574 1329703610.881004 3 4 3
0.010574 1329703610.889282 3 4 3
0.010574 1329703610.897488 4 4 3
0.010574 1329703610.906164 5 3 3
0.010574 1329703610.914329 6 3 3
0.010574 1329703610.922910 7 3 3
0.010574 1329703610.930964 9 2 3
0.010574 1329703610.939264 11 2 4
0.010574 1329703610.947395 13 2 4
0.010574 1329703610.958053 16 3 4
0.010574 1329703610.965051 20 3 5
0.010574 1329703610.972802 24 4 5
0.010574 1329703610.980902 28 5 5
0.010574 1329703610.989316 33 5 6
0.010574 1329703610.997455 37 5 6
0.046088 1329703611.008326 41 6 6
0.046088 1329703611.015137 44 6 7
0.046088 1329703611.022844 47 6 7
0.046088 1329703611.031807 0 -1 19
0.046088 1329703611.039162 0 -1 19
0.087403 1329703611.047302 0 -1 19
0.087403 1329703611.056747 0 -1 19
0.121109 1329703611.064279 0 -1 19
0.121109 1329703611.072631 0 -1 19
0.163759 1329703611.080994 0 -1 19
