vicon_t u v w x y z
1329703610.382270 -0.009747 -0.022271 -1.371879 954.576477 556.271912 765.249023
1329703610.547817 -0.009722 -0.022232 -1.371879 954.569275 556.297974 765.252991
1329703610.580920 -0.009560 -0.022296 -1.371846 954.583923 556.302063 765.248352
1329703610.589607 -0.009642 -0.022267 -1.371833 954.586731 556.307068 765.258057
1329703610.597834 -0.009765 -0.022172 -1.371863 954.586426 556.310425 765.257385
1329703610.605968 -0.009604 -0.022309 -1.371871 954.588928 556.312195 765.236389
1329703610.614385 -0.009680 -0.022224 -1.371875 954.582520 556.310547 765.251770
1329703610.622841 -0.009545 -0.022285 -1.371844 954.588562 556.306641 765.245178
1329703610.630843 -0.009644 -0.022342 -1.371858 954.580750 556.303955 765.261536
1329703610.639567 -0.009682 -0.022253 -1.371848 954.577454 556.303589 765.240417
1329703610.647916 -0.009889 -0.022168 -1.371804 954.578491 556.299133 765.252869
1329703610.656133 -0.009682 -0.022268 -1.371881 954.574280 556.304138 765.219543
1329703610.664551 -0.009853 -0.022106 -1.371844 954.572632 556.297913 765.250427
1329703610.672910 -0.009699 -0.022258 -1.371835 954.580566 556.299744 765.227661
1329703610.680852 -0.009767 -0.022222 -1.371824 954.574768 556.294800 765.245422
1329703610.689426 -0.009568 -0.022275 -1.371822 954.572144 556.308533 765.228027
1329703610.697900 -0.009773 -0.022149 -1.371878 954.560669 556.299438 765.265503
1329703610.706262 -0.009570 -0.022271 -1.371829 954.574829 556.299866 765.236938
1329703610.714687 -0.009679 -0.022263 -1.371839 954.566467 556.295410 765.261841
1329703610.722484 -0.009597 -0.022229 -1.371811 954.580750 556.297119 765.230042
1329703610.731052 -0.009463 -0.022286 -1.371772 954.587219 556.293152 765.230591
1329703610.739804 -0.009649 -0.022264 -1.371862 954.572571 556.286072 765.261414
1329703610.750880 -0.009658 -0.022218 -1.371806 954.583252 556.291382 765.229126
1329703610.756713 -0.009666 -0.022235 -1.371838 954.571167 556.296936 765.232483
1329703610.764729 -0.009638 -0.022315 -1.371809 954.573669 556.293762 765.246216
1329703610.773583 -0.009728 -0.022290 -1.371844 954.570312 556.311401 765.241516
1329703610.780862 -0.009752 -0.022248 -1.371856 954.571960 556.306946 765.244263
1329703610.790316 -0.009710 -0.022298 -1.371815 954.569702 556.309387 765.241943
1329703610.799150 -0.009760 -0.022209 -1.371822 954.561646 556.298767 765.246460
1329703610.813187 -0.009796 -0.022301 -1.371800 954.571472 556.303589 765.255676
1329703610.816263 -0.009766 -0.022276 -1.371793 954.571106 556.297485 765.240967
1329703610.822980 -0.009690 -0.022268 -1.371771 954.574219 556.294861 765.242981
1329703610.830954 -0.009648 -0.022258 -1.371832 954.569641 556.291016 765.245850
1329703610.839527 -0.009600 -0.022275 -1.371847 954.575989 556.280151 765.239746
1329703610.847748 -0.009670 -0.022195 -1.371828 954.574219 556.289795 765.247375
1329703610.856175 -0.009704 -0.022225 -1.371847 954.578674 556.294861 765.251343
1329703610.864502 -0.009774 -0.022164 -1.371829 954.576660 556.296997 765.247009
1329703610.872806 -0.009671 -0.022234 -1.371818 954.579163 556.304321 765.242554
1329703610.881004 -0.009802 -0.022251 -1.371835 954.574463 556.307983 765.255493
1329703610.889282 -0.009793 -0.022219 -1.371899 954.576904 556.315308 765.237549
1329703610.897488 -0.009752 -0.022268 -1.371844 954.589905 556.308044 765.244934
1329703610.906164 -0.009759 -0.022180 -1.371831 954.582886 556.296448 765.248962
1329703610.914329 -0.009569 -0.022301 -1.371863 954.586121 556.298279 765.244324
1329703610.922910 -0.009625 -0.022310 -1.371864 954.578247 556.295959 765.269897
1329703610.930964 -0.009627 -0.022291 -1.371833 954.574768 556.293335 765.260193
1329703610.939264 -0.009711 -0.022183 -1.371839 954.566040 556.297607 765.260376
1329703610.947395 -0.009747 -0.022180 -1.371807 954.575806 556.296692 765.253967
1329703610.958053 -0.009597 -0.022232 -1.371840 954.566589 556.313416 765.234802
1329703610.965051 -0.009776 -0.022165 -1.371864 954.569763 556.308289 765.249695
1329703610.972802 -0.009821 -0.022129 -1.371825 954.580200 556.311829 765.219177
1329703610.980902 -0.009697 -0.022238 -1.371847 954.574097 556.310974 765.207397
1329703610.989316 -0.009659 -0.022279 -1.371810 954.581421 556.301636 765.224976
1329703610.997455 -0.009625 -0.022262 -1.371819 954.580383 556.293274 765.224854
1329703611.008326 -0.009685 -0.022260 -1.371824 954.576294 556.295898 765.250366
1329703611.015137 -0.009698 -0.022162 -1.371804 954.582458 556.279785 765.259521
1329703611.022844 -0.009631 -0.022225 -1.371824 954.575745 556.286072 765.265991
1329703611.031807 -0.009711 -0.022222 -1.371819 954.571472 556.285828 765.268188
1329703611.039162 -0.009616 -0.022182 -1.371827 954.578064 556.299805 765.241394
1329703611.047302 -0.009737 -0.022236 -1.371852 954.572571 556.304810 765.258606
1329703611.056747 -0.009648 -0.022177 -1.371808 954.579712 556.319824 765.225159
1329703611.064279 -0.009923 -0.022112 -1.371862 954.559204 556.324524 765.243225
