imu_t vicon_t accel_x accel_y accel_z gyro_x gyro_y gyro_z
0.073310 1329948742.245749 503 502 605 374 376 370
0.073310 1329948742.579237 504 502 605 375 376 370
0.073310 1329948742.711995 504 502 605 375 375 370
0.073310 1329948742.720084 504 502 605 374 376 370
0.073310 1329948742.728480 504 502 605 374 376 370
0.073310 1329948742.736690 504 502 605 374 376 370
0.073310 1329948742.744902 503 502 604 374 376 370
0.073310 1329948742.753496 503 502 605 373 375 370
0.073310 1329948742.761808 504 502 604 374 376 370
0.073310 1329948742.777106 503 502 604 374 377 371
0.073310 1329948742.781371 504 502 605 375 376 370
0.073310 1329948742.786835 504 502 605 374 375 370
0.073310 1329948742.795124 503 502 606 374 376 370
0.073310 1329948742.819757 504 502 604 374 376 371
0.073310 1329948742.832295 504 502 605 375 376 370
0.073310 1329948742.836635 504 502 605 374 375 369
0.073310 1329948742.845108 504 502 605 375 376 370
0.073310 1329948742.860114 503 502 605 373 376 371
0.073310 1329948742.871632 504 502 605 374 377 370
0.073310 1329948742.878319 504 502 605 374 376 370
0.073310 1329948742.887102 504 502 605 374 376 370
0.073310 1329948742.894908 504 502 605 374 376 370
0.073310 1329948742.903413 504 502 606 374 376 370
0.073310 1329948742.911365 503 502 605 375 377 370
0.073310 1329948742.920033 504 502 605 374 377 369
0.073310 1329948742.927906 504 502 605 374 377 370
0.073310 1329948742.936768 504 502 605 375 376 371
0.073310 1329948742.944877 504 502 605 375 376 370
0.073310 1329948742.953411 504 502 605 374 376 369
0.073310 1329948742.961612 504 502 605 374 376 370
0.073310 1329948742.970255 504 502 605 375 376 369
0.073310 1329948742.977949 504 502 605 374 376 369
0.073310 1329948742.986554 503 502 604 375 376 371
0.073310 1329948742.994807 504 502 605 374 375 371
0.073310 1329948743.003334 504 502 604 374 377 370
0.073310 1329948743.013714 504 502 605 374 377 370
0.073310 1329948743.019941 504 502 605 374 376 371
0.073310 1329948743.027800 504 502 605 373 376 369
0.073310 1329948743.036733 503 502 605 374 377 370
0.073310 1329948743.044717 504 502 605 374 377 370
0.073310 1329948743.053225 504 502 606 374 376 370
0.073310 1329948743.061474 504 502 605 374 375 370
0.364826 1329948743.070285 504 502 605 375 376 370
0.364826 1329948743.077872 504 502 605 374 376 370
0.364826 1329948743.086191 504 502 605 375 376 371
0.364826 1329948743.094870 503 502 606 374 376 369
0.364826 1329948743.103115 503 502 605 374 376 370
0.364826 1329948743.113737 503 502 605 374 376 370
0.422782 1329948743.119848 504 502 605 375 376 370
0.422782 1329948743.127931 503 502 605 374 376 370
0.422782 1329948743.136635 503 502 605 373 376 370
0.422782 1329948743.144690 504 502 605 373 377 370
0.422782 1329948743.153141 504 502 605 374 376 369
0.422782 1329948743.161041 504 502 605 374 376 370
0.481441 1329948743.169893 504 502 605 374 376 370
0.481441 1329948743.177793 504 502 605 374 376 370
0.481441 1329948743.186188 504 502 605 373 376 371
0.481441 1329948743.194542 504 502 605 373 376 370
0.481441 1329948743.203087 504 502 605 374 376 371
0.481441 1329948743.210674 504 502 605 375 376 371
0.539840 1329948743.219243 503 502 605 374 376 371
0.539840 1329948743.227655 503 502 605 374 375 370
0.539840 1329948743.235854 503 502 605 374 376 369
0.539840 1329948743.244399 504 502 605 375 376 370
0.539840 1329948743.252377 503 502 605 374 376 370
0.539840 1329948743.260919 503 502 605 374 376 371
0.597873 1329948743.269608 504 502 605 374 377 370
0.597873 1329948743.277713 504 502 604 374 376 369
0.597873 1329948743.286067 504 502 605 375 375 371
0.597873 1329948743.294246 504 502 605 375 376 369
0.597873 1329948743.302372 504 502 606 374 376 371
0.597873 1329948743.312775 504 502 604 374 376 370
0.664509 1329948743.319053 503 502 605 374 376 371
0.664509 1329948743.327501 504 502 605 375 375 370
0.664509 1329948743.338167 503 502 605 375 376 370
0.664509 1329948743.344159 504 502 605 373 376 371
0.664509 1329948743.351924 504 502 605 374 376 370
0.664509 1329948743.373652 504 502 605 375 376 371
0.722840 1329948743.396351 504 502 605 374 377 370
0.722840 1329948743.419114 503 502 605 375 377 371
0.722840 1329948743.442254 504 502 605 374 376 371
0.722840 1329948743.455642 504 502 605 374 376 371
0.722840 1329948743.467568 504 502 605 375 377 370
0.722840 1329948743.481942 504 502 605 374 377 370
0.780908 1329948743.504828 504 502 605 374 376 369
