imu_t vicon_t roll pitch yaw
0.889223 1329948742.245749 0 0 0
0.922210 1329948742.579237 0 0 0
0.947702 1329948742.711995 0 0 0
0.947702 1329948742.720084 0 0 0
0.999395 1329948742.728480 0 0 0
1.022218 1329948742.736690 0 0 0
1.022218 1329948742.744902 0 0 0
1.045309 1329948742.753496 0 0 0
1.070825 1329948742.761808 0 0 0
1.070825 1329948742.777106 0 0 0
1.107970 1329948742.781371 0 0 0
1.130641 1329948742.786835 0 0 0
1.130641 1329948742.795124 0 0 0
1.168224 1329948742.819757 0 0 0
1.188657 1329948742.832295 0 0 0
1.188657 1329948742.836635 0 0 0
1.222015 1329948742.845108 0 0 0
1.255290 1329948742.860114 0 0 0
1.255290 1329948742.871632 0 0 0
1.280319 1329948742.878319 0 0 0
1.313739 1329948742.887102 0 0 0
1.313739 1329948742.894908 0 0 0
1.338334 1329948742.903413 0 0 0
1.382370 1329948742.911365 0 0 0
1.382370 1329948742.920033 0 0 0
1.396354 1329948742.927906 0 0 0
1.430120 1329948742.936768 0 0 0
1.430120 1329948742.944877 0 0 0
1.462920 1329948742.953411 0 0 0
1.499964 1329948742.961612 0 0 0
1.499964 1329948742.970255 0 0 0
1.521263 1329948742.977949 0 0 0
1.554243 1329948742.986554 0 0 0
1.554243 1329948742.994807 0 0 0
1.579324 1329948743.003334 0 0 0
1.612614 1329948743.013714 0 0 0
1.612614 1329948743.019941 0 0 0
1.637818 1329948743.027800 0 0 0
1.667625 1329948743.036733 0 0 0
1.667625 1329948743.044717 0 0 0
1.714872 1329948743.053225 0 0 0
1.729065 1329948743.061474 0 0 0
1.729065 1329948743.070285 0 0 0
1.762650 1329948743.077872 0 0 0
1.788128 1329948743.086191 0 0 0
1.788128 1329948743.094870 0 0 0
1.821400 1329948743.103115 0 0 0
1.848460 1329948743.113737 0 0 0
1.848460 1329948743.119848 0 0 0
1.879901 1329948743.127931 0 0 0
1.913179 1329948743.136635 0 0 0
1.913179 1329948743.144690 0 0 0
1.954649 1329948743.153141 0 0 0
1.954649 1329948743.161041 0 0 0
1.991381 1329948743.169893 0 0 0
1.991381 1329948743.177793 0 0 0
2.029801 1329948743.186188 0 -1 0
2.029801 1329948743.194542 0 -1 0
2.071078 1329948743.203087 0 -1 0
2.071078 1329948743.210674 0 -1 0
2.112732 1329948743.219243 0 -1 0
2.112732 1329948743.227655 0 -1 0
2.155067 1329948743.235854 0 -1 0
2.155067 1329948743.244399 0 -1 0
2.188010 1329948743.252377 0 -1 0
2.188010 1329948743.260919 0 -1 0
2.231471 1329948743.269608 0 -1 0
2.231471 1329948743.277713 0 -1 0
2.270694 1329948743.286067 0 -1 0
2.270694 1329948743.294246 0 -1 0
2.313463 1329948743.302372 0 -1 0
2.313463 1329948743.312775 0 -1 0
2.355950 1329948743.319053 0 -1 0
2.355950 1329948743.327501 0 -1 0
2.395767 1329948743.338167 0 -1 0
