vicon_t u v w x y z
1329948742.245749 -0.008303 -0.053561 0.075943 966.740723 563.313110 764.601379
1329948742.579237 -0.008474 -0.053570 0.075984 966.737061 563.315491 764.596497
1329948742.711995 -0.008503 -0.053583 0.075989 966.763367 563.304810 764.643188
1329948742.720084 -0.008484 -0.053557 0.075962 966.779724 563.307983 764.629272
1329948742.728480 -0.008464 -0.053497 0.075968 966.786072 563.309204 764.630859
1329948742.736690 -0.008435 -0.053584 0.075963 966.780884 563.312805 764.630005
1329948742.744902 -0.008448 -0.053581 0.075966 966.773315 563.325256 764.637878
1329948742.753496 -0.008408 -0.053597 0.075984 966.753601 563.328918 764.643127
1329948742.761808 -0.008463 -0.053609 0.075989 966.737427 563.330322 764.651733
1329948742.777106 -0.008463 -0.053600 0.076011 966.731628 563.341431 764.646545
1329948742.781371 -0.008468 -0.053604 0.075981 966.728455 563.341919 764.642944
1329948742.786835 -0.008516 -0.053579 0.076015 966.746399 563.337463 764.644470
1329948742.795124 -0.008476 -0.053562 0.075969 966.742737 563.331177 764.627136
1329948742.819757 -0.008517 -0.053584 0.076016 966.770691 563.318726 764.650146
1329948742.832295 -0.008503 -0.053496 0.076004 966.773987 563.319885 764.651001
1329948742.836635 -0.008530 -0.053566 0.075993 966.780579 563.322144 764.659424
1329948742.845108 -0.008422 -0.053577 0.075989 966.776672 563.329163 764.640564
1329948742.860114 -0.008479 -0.053587 0.076017 966.771851 563.337769 764.643982
1329948742.871632 -0.008524 -0.053593 0.075990 966.761536 563.348633 764.631287
1329948742.878319 -0.008503 -0.053557 0.075952 966.752625 563.355774 764.614136
1329948742.887102 -0.008487 -0.053646 0.075989 966.760559 563.351868 764.614624
1329948742.894908 -0.008471 -0.053549 0.075993 966.746216 563.348572 764.638306
1329948742.903413 -0.008499 -0.053573 0.075984 966.739136 563.337952 764.653381
1329948742.911365 -0.008458 -0.053561 0.075994 966.744324 563.315247 764.657715
1329948742.920033 -0.008490 -0.053576 0.075937 966.743896 563.304321 764.669189
1329948742.927906 -0.008459 -0.053537 0.075982 966.758118 563.301880 764.657898
1329948742.936768 -0.008446 -0.053609 0.076000 966.770691 563.299805 764.639282
1329948742.944877 -0.008523 -0.053579 0.075967 966.768005 563.305481 764.643982
1329948742.953411 -0.008455 -0.053590 0.076004 966.773560 563.320618 764.607666
1329948742.961612 -0.008460 -0.053595 0.075960 966.759705 563.337891 764.613953
1329948742.970255 -0.008495 -0.053618 0.076028 966.753845 563.353088 764.615540
1329948742.977949 -0.008520 -0.053624 0.076042 966.735596 563.353577 764.628601
1329948742.986554 -0.008438 -0.053623 0.076008 966.725281 563.356567 764.623413
1329948742.994807 -0.008487 -0.053607 0.076043 966.724548 563.342224 764.645264
1329948743.003334 -0.008471 -0.053594 0.076023 966.723938 563.339050 764.642822
1329948743.013714 -0.008465 -0.053594 0.076007 966.734497 563.327332 764.649353
1329948743.019941 -0.008451 -0.053636 0.076012 966.745178 563.313354 764.646423
1329948743.027800 -0.008493 -0.053575 0.076013 966.755920 563.306396 764.653625
1329948743.036733 -0.008482 -0.053586 0.076004 966.752075 563.310364 764.642456
1329948743.044717 -0.008441 -0.053625 0.076023 966.757690 563.313232 764.636780
1329948743.053225 -0.008484 -0.053586 0.076055 966.753418 563.315247 764.644470
1329948743.061474 -0.008519 -0.053601 0.076058 966.745239 563.330261 764.635010
1329948743.070285 -0.008468 -0.053579 0.076040 966.742004 563.342651 764.626343
1329948743.077872 -0.008456 -0.053595 0.076027 966.739624 563.349792 764.625244
1329948743.086191 -0.008451 -0.053591 0.076067 966.752869 563.347717 764.624512
1329948743.094870 -0.008498 -0.053608 0.076052 966.745789 563.344116 764.633972
